model,fold,MAP,AUROC,AUPR,drugAUROC,drugAUPR,nDCG@10,P@1,P@5,P@10,P@15,R@1,R@5,R@10,R@15,Pearson,Spearman,RMSE,MAE
CAFNet,0,0.3286014333301414,0.7888837103780463,0.22309085985207416,0.8500618482997782,0.3286112237553585,0.665803806598788,0.38666666666666666,0.4773333333333334,0.4533333333333333,0.4319999999999999,0.015058941341939218,0.09301981882913685,0.17803574706226294,0.25311656439691443,0.30205782194898534,0.19449178983917448,1.3563160228648479,1.072867230265448
CAFNet,1,0.3438882536742383,0.8077800743065932,0.25608353826305486,0.8519208288016605,0.34653269293236183,0.7556715166353783,0.6266666666666667,0.5253333333333333,0.4986666666666665,0.48533333333333334,0.02231039478403435,0.08519152209758876,0.1605397442090341,0.2323553096392471,0.3377814013207239,0.22555268797351477,1.367386978250938,1.0681038668989669
CAFNet,2,0.366212939443071,0.8029734111811856,0.32001865521386047,0.8330984496199283,0.36757794639086055,0.7432354718061679,0.52,0.528,0.5213333333333332,0.5217777777777777,0.013725923876220377,0.07316692918720533,0.13794024240944786,0.19974051819762265,0.37484533050731267,0.26267382596166655,1.259394269877683,0.9601948491466984
CAFNet,3,0.29276903515074876,0.7905036141044381,0.20811557928990654,0.8429849920896753,0.2927807406083682,0.6659089740891214,0.48,0.4159999999999999,0.40666666666666673,0.39644444444444427,0.018760647984122317,0.07726495350432602,0.15748086862616514,0.2272430998285092,0.2895736276804886,0.20176409586802366,1.3957415819436008,1.0938163721539687
CAFNet,4,0.3366032088518913,0.8232088461073562,0.25902324142231753,0.8625614165885684,0.33660920062087996,0.6916236500260013,0.37333333333333335,0.46133333333333343,0.4373333333333333,0.43288888888888866,0.017228736342750708,0.10431275058578884,0.17184981395280743,0.249411021159808,0.32338842691567776,0.21490201888944094,1.385072914360139,1.1036886160604413
CAFNet,5,0.3477334449679918,0.7810573619775113,0.26369789556810447,0.8205336418122026,0.3477378355869679,0.7489803733525575,0.5466666666666666,0.538666666666667,0.5160000000000001,0.48,0.018588187026755885,0.08270717299855786,0.15888260350595018,0.21395922300661938,0.3304596232070704,0.23275327784571176,1.39311987284135,1.0972373585776245
CAFNet,6,0.3526130374869649,0.7743930809786921,0.24427299477713102,0.8323537926064308,0.3527709362976407,0.7686612760856405,0.6,0.5333333333333334,0.48400000000000004,0.4524444444444443,0.025419818335525705,0.09806807113709047,0.17085517321835006,0.22123186596237626,0.32069909084776066,0.21857373654779136,1.3571488982812943,1.067759960244763
CAFNet,7,0.3348278550634571,0.7902826996644463,0.23838288113190426,0.8414264153144344,0.3348840408998283,0.7233547660565683,0.5466666666666666,0.5253333333333333,0.47066666666666684,0.4293333333333332,0.024022341625280035,0.10734679633526795,0.17134481051046802,0.21892023091017576,0.32409494489016705,0.22920539514674348,1.3287828112997846,1.0407483182863677
CAFNet,8,0.31634390563693204,0.8083063376339873,0.23690874322519306,0.8462676732023907,0.31634778750499687,0.6967819436814093,0.4533333333333333,0.45866666666666656,0.4439999999999999,0.4257777777777778,0.019841230807688674,0.08931897092576746,0.15978564069820367,0.22888362805004916,0.3181262116376357,0.213765562622273,1.3865685945698352,1.084864659735967
CAFNet,9,0.3711380814233934,0.7921664346162505,0.2681982988320652,0.8593115266019701,0.3715484154066693,0.7463906099342728,0.5333333333333333,0.5573333333333333,0.5173333333333334,0.4764444444444447,0.02340934387795563,0.11787644688599111,0.20417120884552123,0.26021511904627753,0.3405628655072794,0.23540567272673996,1.3405679031933164,1.0452238471067488
CAFNet-D,0,0.373775065513809,0.808711320790324,0.25797291267429656,0.8696397585103868,0.3737752900817934,0.7513710674097723,0.6133333333333333,0.6000000000000003,0.5293333333333333,0.4720000000000001,0.024865399613441475,0.12948352952872297,0.22133321026830913,0.29098895019491117,0.22224176324311354,0.20765841767216212,2.8141820964661353,2.262957129843619
CAFNet-D,1,0.41663401755097135,0.8425981102435907,0.31727275146187406,0.8801977336054654,0.41663401755097135,0.8601796998469559,0.7866666666666666,0.6906666666666665,0.6013333333333334,0.5440000000000002,0.030367003300095636,0.13422109631676632,0.21088431737217334,0.2667662653070634,0.2695072815012426,0.25050804171960755,3.0992719770229575,2.581557753387074
CAFNet-D,2,0.44318149391171524,0.8355118636198426,0.3701180331185033,0.8692879207072999,0.4431818282658178,0.8474860612158086,0.7066666666666667,0.7199999999999999,0.6613333333333333,0.6106666666666666,0.020380356268211122,0.10076155021602928,0.1836260384697006,0.24151067060554704,0.3131870519396733,0.290997263401642,3.5044836070208736,2.94191780261557
CAFNet-D,3,0.3880246001363201,0.8237791322716,0.2694961714346024,0.87020089302538,0.3880247590729564,0.82752094964724,0.7333333333333333,0.6266666666666667,0.5293333333333333,0.477333333333333,0.038118577067167696,0.14569063256267328,0.2299676150033625,0.2903682734581433,0.24254029117375778,0.22459291048224225,3.1793783025051447,2.6525336448741372
CAFNet-D,4,0.39989295386526835,0.8267685863637431,0.29708002532800803,0.8717658889609123,0.3998929538652683,0.866989497315498,0.7733333333333333,0.6613333333333332,0.5880000000000001,0.5262222222222224,0.03886163300702351,0.13936062167328866,0.22665027063605217,0.284530582069736,0.23312237004349698,0.2173713285172769,2.7980996637981757,2.2797210446024523
CAFNet-D,5,0.4052600057043094,0.761126294783949,0.2902406149409133,0.8563625505924409,0.4052611846167645,0.8060704234032388,0.68,0.6346666666666666,0.592,0.5448888888888889,0.026987405566961276,0.11267453664295426,0.19155546291863285,0.25127426322172813,0.24394882542224958,0.21787163967633272,3.2465930271808827,2.644807608467024
CAFNet-D,6,0.41931750167948517,0.824186372305227,0.3243744464728987,0.8804240867454431,0.41931863490370563,0.854276553990314,0.7466666666666667,0.6773333333333331,0.612,0.5537777777777777,0.030211772117405254,0.12388651718756918,0.21022817310788333,0.2725934370226646,0.27766323389720815,0.2575837665166006,3.1246633702469104,2.5696545292602617
CAFNet-D,7,0.3878672816509624,0.8359814166505077,0.29984149298172746,0.8796920092192229,0.38786730782068735,0.7766107876205526,0.6,0.6106666666666666,0.5373333333333332,0.4968888888888889,0.024258101079704872,0.12403135026412208,0.1886007580553918,0.2578197898439077,0.2855497192892041,0.26463864140516186,3.229439049103777,2.6985991379317853
CAFNet-D,8,0.3780579690100461,0.8104040343445693,0.2710436801130869,0.8675466567201655,0.3780579690100461,0.8209629663833782,0.7066666666666667,0.6159999999999997,0.5493333333333332,0.48977777777777787,0.030561159246312523,0.12883995023142678,0.21901490267156737,0.27272493122196617,0.23862905536092482,0.21555168137748354,3.275537117893496,2.7247335551805607
CAFNet-D,9,0.437599165664109,0.8065435238375774,0.29744067729857104,0.8876851086736983,0.43759940339169723,0.8680379517987233,0.72,0.68,0.6026666666666668,0.5519999999999999,0.03940002334341178,0.15525919480447156,0.243285876173475,0.3122551996500212,0.2686603206913544,0.24685483652322773,3.276680301546836,2.7329854836779677
CAFNet-DG,0,0.3879873571487673,0.8171199162991124,0.26847274485351325,0.8782602879159136,0.38798760760825696,0.7561995647841485,0.5866666666666667,0.6000000000000002,0.5386666666666665,0.47822222222222205,0.024948718395817356,0.12469586191418704,0.22096205950092623,0.28465572992122995,0.2632741836389005,0.21330406508298733,1.6373099817347534,1.3291638175818001
CAFNet-DG,1,0.42192737222352616,0.848361515619937,0.3203900055601664,0.8838641368905555,0.42192737222352616,0.8581741590836887,0.8,0.696,0.6079999999999999,0.5431111111111111,0.03260629650165299,0.13667568214731124,0.21124738076756966,0.26616495090904835,0.30949746206493056,0.25475164920935534,1.7807814308226457,1.4912204507617635
CAFNet-DG,2,0.44909176308769666,0.8427531033210517,0.3821435841897467,0.8736997656183129,0.44909176308769666,0.8387910754733625,0.7066666666666667,0.7226666666666666,0.666666666666667,0.6088888888888889,0.02071477892616319,0.10099492954423622,0.18539977238062838,0.24055889793264684,0.35163447803970843,0.29708304915116757,2.05711511497394,1.7307672950721116
CAFNet-DG,3,0.38721997417211235,0.8299963467373277,0.27187484556473784,0.8751019600655493,0.38722007146440074,0.8107993618350644,0.68,0.6186666666666667,0.528,0.4666666666666664,0.03528898350776606,0.1428457865888984,0.22296776227973902,0.2775110599118208,0.2750798251026804,0.22888092134706184,1.8246568197629045,1.5223457859360225
CAFNet-DG,4,0.42586816500873886,0.8421866832520114,0.3222238138499415,0.8833856665742148,0.4258681650087388,0.8835535650994653,0.7866666666666666,0.6773333333333332,0.5893333333333334,0.5306666666666668,0.040717375303942274,0.1492815006765907,0.23248293422056282,0.292937270031789,0.2788759328578012,0.2275234808209628,1.6108065671485825,1.326604475640726
CAFNet-DG,5,0.4109267269116988,0.7754873927691761,0.29308013376968434,0.8602254311450909,0.410927125445096,0.8068284663400672,0.68,0.6346666666666667,0.6026666666666666,0.5582222222222222,0.02428899286854858,0.10835053281988685,0.1936345792055833,0.25373225994870713,0.2863289399205167,0.2293783367054555,1.899001298157679,1.5682847913643654
CAFNet-DG,6,0.4257995289566206,0.8259435518252618,0.3199962502121953,0.8808067346030448,0.425800163143859,0.8573582456048267,0.76,0.6773333333333331,0.6146666666666667,0.5457777777777776,0.03143538034101347,0.12346310182297734,0.21393850874204537,0.272187007389085,0.3104050759928409,0.25896065608445223,1.8168522238809799,1.5084785015022804
CAFNet-DG,7,0.39123539219581205,0.8382017783723428,0.293508602612192,0.8809547309400739,0.39123539219581205,0.7867866126012333,0.6533333333333333,0.5866666666666667,0.5293333333333333,0.4968888888888889,0.028654973024963913,0.11928080030894894,0.19050950550503462,0.2577267890919355,0.3161725109034231,0.26638189182112376,1.8672648676617998,1.5784298406316326
CAFNet-DG,8,0.38489111296845174,0.8215436574646797,0.2805026287517669,0.8734016465222205,0.38489111296845174,0.8284269166950712,0.72,0.6186666666666666,0.5399999999999999,0.4915555555555556,0.030076415524262292,0.13243735080430757,0.21571867845484965,0.27657751964791527,0.2770440581323151,0.2231609163533372,1.8855351318692901,1.590736428618359
CAFNet-DG,9,0.4485882698700581,0.8157384832610581,0.314130385325632,0.8923711826023667,0.44858830575533676,0.8795808854096365,0.76,0.6880000000000001,0.6093333333333333,0.544888888888889,0.043735040178428615,0.1560106835532429,0.2492376693750046,0.305164173069069,0.30502892148025956,0.25416197487050646,1.9143353556579021,1.618721013418496
Global popularity,0,0.37855796344753234,0.836796173248097,0.2677206868557476,0.8704507872383507,0.3788596088783676,0.7697810509151037,0.6666666666666666,0.6106666666666669,0.5226666666666666,0.4595555555555556,0.03157597121765497,0.13294902269744194,0.2175156484296007,0.28208142385858087,0.3937312329976408,0.2261601348114477,0.710841818126211,0.17834855056263507
Global popularity,1,0.4189503347275817,0.845792024422202,0.3155695922294104,0.8860139758366917,0.41924769041735416,0.8449461077434245,0.7333333333333333,0.6853333333333332,0.604,0.5368888888888891,0.029399368398960905,0.1310066441023141,0.21109041035638582,0.26630434808296966,0.43397311654708687,0.25307720243461373,0.7369699596608464,0.19243937700275723
Global popularity,2,0.4512267007256082,0.8192281471464562,0.33891227700791504,0.8716042738121831,0.4516102607753022,0.8610333287541588,0.8,0.7146666666666665,0.6613333333333336,0.6097777777777779,0.023474266933960864,0.10025355272932997,0.18203610137905823,0.23686350069323975,0.44114233232439787,0.2776357428544595,0.8995109325967505,0.26028492932906083
Global popularity,3,0.39331605716244183,0.8260192358004057,0.27259955713696493,0.8740813921241304,0.39358597722720895,0.8183413297748319,0.6933333333333334,0.6480000000000001,0.5413333333333333,0.47644444444444434,0.03453908149912949,0.1535785361515385,0.23146352523850486,0.2857577387951427,0.3978671950439573,0.22668687261694168,0.7209823763971375,0.1836383436420995
Global popularity,4,0.4196151882084104,0.8559491254882735,0.3312554148115786,0.8774608080328545,0.4199885488466091,0.8726324679399519,0.8266666666666667,0.6853333333333333,0.6080000000000001,0.5368888888888891,0.040023034276024584,0.1433010830214113,0.2352187514776646,0.2876939617958647,0.434170424493113,0.23654321654026667,0.7048892426060783,0.17398935837245696
Global popularity,5,0.39966820432744127,0.7943541877315359,0.2843756422594893,0.8546506782496979,0.40012720824177667,0.8079434427045495,0.72,0.6346666666666666,0.5826666666666668,0.5368888888888889,0.02633566577143825,0.10963566656147601,0.18478510466901044,0.24897454818748851,0.40126622982343507,0.2445680585313842,0.8437733182893449,0.23672684998882182
Global popularity,6,0.4219774617779792,0.8204087317665864,0.2991159587077381,0.8788371989475932,0.4224994893465234,0.8485756277264179,0.7333333333333333,0.6773333333333332,0.6159999999999999,0.5582222222222222,0.025587575309526926,0.1230017975887593,0.21286340323802364,0.2778755735093178,0.4190453095781871,0.2545411267912964,0.7947401255047448,0.21804859775939586
Global popularity,7,0.3805417716780662,0.8036409641541019,0.26849958847375255,0.8743351526450293,0.3809439915778675,0.7860092136427278,0.6533333333333333,0.6053333333333333,0.5333333333333333,0.4924444444444445,0.027137634210850903,0.1242455961588153,0.1897791064034684,0.24903304475043261,0.3933546808682337,0.24006444599426358,0.7700412646062632,0.21183593412325807
Global popularity,8,0.3850073663530777,0.8337198472850458,0.2800774263642107,0.8744153173543593,0.3853516550038852,0.821332979008545,0.72,0.6026666666666665,0.5519999999999999,0.4880000000000001,0.031021261346562627,0.12448612129064134,0.21508775594298735,0.2656682858138466,0.403095134445647,0.23134937882478857,0.7105456227733181,0.17993473929999754
Global popularity,9,0.4448985628698664,0.8139273102397793,0.29525387816216686,0.8888805084301318,0.44554516114410525,0.8848426192186339,0.7866666666666666,0.6960000000000002,0.593333333333333,0.5351111111111112,0.04383682397366173,0.16199084289494314,0.24211322041734698,0.30299770783783,0.4131807058771551,0.2529380093050911,0.8161973772709133,0.22648195344908964
