atc_l1,atc_l1_name,metric,n_drugs,mean_delta,median_delta,std_delta,positive_fraction,wilcoxon_p_two_sided,holm_p_within_metric
G,Genito-urinary system and sex hormones,delta_DG_minus_D_AP,50,0.01857324922363279,0.0073899071826418,0.053946814450077596,0.64,0.025500083179634814,0.28050091497598295
R,Respiratory system,delta_DG_minus_D_AP,45,0.01643773553526402,0.0105405662637643,0.03705191314155697,0.6888888888888889,0.002848973117636433,0.03703665052927363
A,Alimentary tract and metabolism,delta_DG_minus_D_AP,81,0.011157059776415776,0.0080179420817075,0.05037926734214924,0.5679012345679012,0.036786771091692864,0.36786771091692866
J,Antiinfectives for systemic use,delta_DG_minus_D_AP,105,0.010416795509065787,0.0037058227019775,0.03955518647851176,0.5904761904761905,0.017767189881025977,0.21320627857231172
L,Antineoplastic and immunomodulating agents,delta_DG_minus_D_AP,125,0.009431789372987769,0.0055925228025198,0.03397964987601141,0.632,0.0018050251016844953,0.025270351423582933
V,Various,delta_DG_minus_D_AP,32,0.009039742942892691,0.00830858918557275,0.0427352692574874,0.59375,0.5119121475145221,1.0
C,Cardiovascular system,delta_DG_minus_D_AP,111,0.007797052443214637,0.0011745724392348,0.03715877869269239,0.5135135135135135,0.06946533594812528,0.5557226875850022
B,Blood and blood forming organs,delta_DG_minus_D_AP,31,0.007236461807124164,0.0083177498033246,0.06401490866946508,0.6451612903225806,0.1756664952263236,1.0
D,Dermatologicals,delta_DG_minus_D_AP,47,0.0049774505196051285,0.0006717011375201,0.03513824670402832,0.5531914893617021,0.46558182628133693,1.0
N,Nervous system,delta_DG_minus_D_AP,143,0.004696324027420747,0.0051902372908827,0.03269767560527618,0.5944055944055944,0.05205960829828851,0.4685364746845966
S,Sensory organs,delta_DG_minus_D_AP,50,0.0027579722082627417,0.0007715113309571,0.028060971403510347,0.52,0.5398998476772991,1.0
M,Musculo-skeletal system,delta_DG_minus_D_AP,30,-0.004390247139789877,-0.00300460220945765,0.03632964389478426,0.4,0.4161298982799053,1.0
R,Respiratory system,delta_DG_minus_D_middle_AP,22,0.1430075499360863,0.005823521497331,0.29562356365618064,0.7272727272727273,0.02157115936279297,0.19414043426513672
S,Sensory organs,delta_DG_minus_D_middle_AP,39,0.05563099375834605,0.0026677210061649,0.20014297242497175,0.7435897435897436,0.002242355956695974,0.026908271480351686
B,Blood and blood forming organs,delta_DG_minus_D_middle_AP,23,0.054578408840986144,0.0012589780222617,0.209037271896679,0.5652173913043478,0.18954229354858398,0.9477114677429199
L,Antineoplastic and immunomodulating agents,delta_DG_minus_D_middle_AP,111,0.027876495386731717,0.0017566312406051,0.11587476796963955,0.6036036036036037,0.010730356316678569,0.10730356316678569
J,Antiinfectives for systemic use,delta_DG_minus_D_middle_AP,82,0.02279886483066674,0.00248709742019535,0.07906926618619256,0.6463414634146342,0.002518687701856788,0.027705564720424666
G,Genito-urinary system and sex hormones,delta_DG_minus_D_middle_AP,35,0.01997338573069247,0.0044802867383512,0.08831589170308776,0.7142857142857143,0.032772131147794425,0.2566940044663397
N,Nervous system,delta_DG_minus_D_middle_AP,121,0.016360649030247053,0.0041999904871509,0.07426168955436425,0.628099173553719,0.00016158018478226383,0.0021005424021694297
A,Alimentary tract and metabolism,delta_DG_minus_D_middle_AP,47,0.015060757416301165,0.0010502908094705,0.17051002305055232,0.6808510638297872,0.032086750558292465,0.2566940044663397
C,Cardiovascular system,delta_DG_minus_D_middle_AP,65,0.0025986462406372606,0.0006197114658716,0.16525293487420314,0.5538461538461539,0.34571253321084827,1.0
D,Dermatologicals,delta_DG_minus_D_middle_AP,38,-0.0024073360685519765,0.0007839998854435001,0.07090290912162822,0.6052631578947368,0.3279708704649238,1.0
V,Various,delta_DG_minus_D_nonhot100_AP,32,0.02402351553928763,-3.183091418385001e-05,0.2047580078982676,0.5,0.7328818910755217,1.0
L,Antineoplastic and immunomodulating agents,delta_DG_minus_D_nonhot100_AP,123,0.016650965325453453,0.0048976067272156,0.05740173930503814,0.6341463414634146,0.002475611120860772,0.03218294457119003
R,Respiratory system,delta_DG_minus_D_nonhot100_AP,40,0.014147539502848139,0.0027599513637174,0.08294991002655977,0.675,0.015876221947110025,0.15876221947110025
G,Genito-urinary system and sex hormones,delta_DG_minus_D_nonhot100_AP,49,0.0075715898914380415,0.0045796061732237,0.09124063092370259,0.673469387755102,0.011629919877584882,0.1279291186534337
A,Alimentary tract and metabolism,delta_DG_minus_D_nonhot100_AP,76,0.006794368406931422,0.00103442178433905,0.16718347854350352,0.5789473684210527,0.15153611507149553,0.7761184573173523
C,Cardiovascular system,delta_DG_minus_D_nonhot100_AP,102,0.006663864984719943,0.00430661766441895,0.05572511550819359,0.6372549019607843,0.003987083578971695,0.04784500294766034
J,Antiinfectives for systemic use,delta_DG_minus_D_nonhot100_AP,98,0.006498048179313086,0.00127255096365975,0.08315263961206776,0.6428571428571429,0.019624778406246515,0.17662300565621863
N,Nervous system,delta_DG_minus_D_nonhot100_AP,139,0.0007538275702205677,0.0033969156703844,0.06403387568490579,0.6330935251798561,0.07324293671620535,0.5859434937296428
S,Sensory organs,delta_DG_minus_D_nonhot100_AP,50,-0.0025115064039995553,0.001404125773568,0.06223862617785432,0.64,0.07719592312590784,0.5859434937296428
D,Dermatologicals,delta_DG_minus_D_nonhot100_AP,46,-0.007808869695424088,0.00106189061874825,0.07942113088937136,0.6521739130434783,0.18073375025900873,0.7761184573173523
M,Musculo-skeletal system,delta_DG_minus_D_nonhot100_AP,29,-0.00942613435443079,0.0008919810900008,0.033773535751588805,0.5862068965517241,0.7982758991420269,1.0
