atc_l1,atc_l1_name,metric,n_drugs,mean_delta,median_delta,std_delta,positive_fraction,wilcoxon_p_two_sided,holm_p_within_metric
A,Alimentary tract and metabolism,delta_DG_minus_D_AP,81,0.011157059776415776,0.0080179420817075,0.05037926734214924,0.5679012345679012,0.036786771091692864,0.36786771091692866
A,Alimentary tract and metabolism,delta_DG_minus_D_rare_AP,34,0.02010818210749608,0.0002528746328512,0.0894688114153613,0.5294117647058824,0.5134843902196735,1.0
A,Alimentary tract and metabolism,delta_DG_minus_D_middle_AP,47,0.015060757416301165,0.0010502908094705,0.17051002305055232,0.6808510638297872,0.032086750558292465,0.2566940044663397
A,Alimentary tract and metabolism,delta_DG_minus_D_nonhot100_AP,76,0.006794368406931422,0.00103442178433905,0.16718347854350352,0.5789473684210527,0.15153611507149553,0.7761184573173523
A,Alimentary tract and metabolism,delta_DG_minus_D_AUROC,81,0.003866724489608344,0.0033709716255434,0.011970964792534854,0.6296296296296297,0.00299187751984186,0.02094314263889302
A,Alimentary tract and metabolism,delta_DG_minus_D_nDCG@10,81,0.0007624562879185921,0.0,0.07690579275083138,0.4691358024691358,0.6327322588721587,1.0
A,Alimentary tract and metabolism,delta_DG_minus_D_P@15,81,0.0032921810699588537,0.0,0.07371207843728582,0.24691358024691357,0.5536995567435952,1.0
A,Alimentary tract and metabolism,delta_DG_minus_D_R@15,81,-0.005598382046976312,0.0,0.06567132774351363,0.24691358024691357,0.5272133391008538,1.0
B,Blood and blood forming organs,delta_DG_minus_D_AP,31,0.007236461807124164,0.0083177498033246,0.06401490866946508,0.6451612903225806,0.1756664952263236,1.0
B,Blood and blood forming organs,delta_DG_minus_D_rare_AP,18,0.0029839264869181677,-5.0564888111440196e-05,0.010244126759742152,0.4444444444444444,0.7987060546875,1.0
B,Blood and blood forming organs,delta_DG_minus_D_middle_AP,23,0.054578408840986144,0.0012589780222617,0.209037271896679,0.5652173913043478,0.18954229354858398,0.9477114677429199
B,Blood and blood forming organs,delta_DG_minus_D_nonhot100_AP,30,-0.014859524919251724,0.0012817808984766999,0.14530331004445468,0.7,0.12935307621955872,0.7761184573173523
B,Blood and blood forming organs,delta_DG_minus_D_AUROC,31,0.009913919158242917,0.0057215511760966,0.017858309524188713,0.7741935483870968,0.000378243625164032,0.003025949001312256
B,Blood and blood forming organs,delta_DG_minus_D_nDCG@10,31,-0.0309583794567435,-0.0058104337378256,0.0891105542854046,0.2903225806451613,0.07514902949333191,1.0
B,Blood and blood forming organs,delta_DG_minus_D_P@15,31,-0.01720430107526881,0.0,0.06878359394287945,0.25806451612903225,0.24125289916992188,1.0
B,Blood and blood forming organs,delta_DG_minus_D_R@15,31,-0.020848282170057773,0.0,0.08001433074335054,0.25806451612903225,0.25792694091796875,1.0
C,Cardiovascular system,delta_DG_minus_D_AP,111,0.007797052443214637,0.0011745724392348,0.03715877869269239,0.5135135135135135,0.06946533594812528,0.5557226875850022
C,Cardiovascular system,delta_DG_minus_D_rare_AP,50,0.013774063363083813,0.0005331546938569,0.07219977635512613,0.58,0.13045894629165566,1.0
C,Cardiovascular system,delta_DG_minus_D_middle_AP,65,0.0025986462406372606,0.0006197114658716,0.16525293487420314,0.5538461538461539,0.34571253321084827,1.0
C,Cardiovascular system,delta_DG_minus_D_nonhot100_AP,102,0.006663864984719943,0.00430661766441895,0.05572511550819359,0.6372549019607843,0.003987083578971695,0.04784500294766034
C,Cardiovascular system,delta_DG_minus_D_AUROC,111,0.003382866250993081,0.0032712915961646,0.01933240300434807,0.6756756756756757,0.00021946093856356003,0.0019751484470720403
C,Cardiovascular system,delta_DG_minus_D_nDCG@10,111,0.004996378450476351,0.0,0.06108928230584407,0.3963963963963964,0.4996241451169583,1.0
C,Cardiovascular system,delta_DG_minus_D_P@15,111,-0.004804804804804802,0.0,0.06649171693638552,0.1981981981981982,0.4605686303180647,1.0
C,Cardiovascular system,delta_DG_minus_D_R@15,111,-0.00890232698273691,0.0,0.05119547482304542,0.1981981981981982,0.08396339374022688,1.0
D,Dermatologicals,delta_DG_minus_D_AP,47,0.0049774505196051285,0.0006717011375201,0.03513824670402832,0.5531914893617021,0.46558182628133693,1.0
D,Dermatologicals,delta_DG_minus_D_rare_AP,36,0.024631829758544388,4.887090797064952e-05,0.1428468110770225,0.5,0.4059716397896409,1.0
D,Dermatologicals,delta_DG_minus_D_middle_AP,38,-0.0024073360685519765,0.0007839998854435001,0.07090290912162822,0.6052631578947368,0.3279708704649238,1.0
D,Dermatologicals,delta_DG_minus_D_nonhot100_AP,46,-0.007808869695424088,0.00106189061874825,0.07942113088937136,0.6521739130434783,0.18073375025900873,0.7761184573173523
D,Dermatologicals,delta_DG_minus_D_AUROC,47,0.0031629346548856024,0.0046675774134791,0.017153628071072156,0.6170212765957447,0.06444808175221794,0.2577923270088718
D,Dermatologicals,delta_DG_minus_D_nDCG@10,47,0.003048356610230977,0.0,0.06337661436613759,0.2978723404255319,0.9192965272814035,1.0
D,Dermatologicals,delta_DG_minus_D_P@15,47,-0.01843971631205674,0.0,0.07702453045429883,0.1702127659574468,0.12807846069335938,1.0
D,Dermatologicals,delta_DG_minus_D_R@15,47,-0.01288967293583902,0.0,0.08459612693188741,0.1702127659574468,0.35541629791259766,1.0
G,Genito-urinary system and sex hormones,delta_DG_minus_D_AP,50,0.01857324922363279,0.0073899071826418,0.053946814450077596,0.64,0.025500083179634814,0.28050091497598295
