model,fold,drug_index,drug_name,positive_count,AP,AUROC,nDCG@10,P@15,R@15,rare_AP,middle_AP,frequent_AP,nonhot100_AP,top15_hot_fraction,top_ranked_true_positives,top_ranked_nonhot_true_positives
CAFNet,0,2,calcium.folinate,18,0.6506632254235699,0.9783697632058288,0.866947989864271,0.6,0.5,,,0.6518880997954292,0.008849557522123894,1.0,asthenia; fatigue; diarrhoea; leukopenia; nausea,lethargy
CAFNet-D,0,2,calcium.folinate,18,0.500548168787626,0.9738729508196721,0.7065632165480472,0.5333333333333333,0.4444444444444444,,,0.501632824872282,0.007874015748031496,1.0,nausea; vomiting; diarrhoea; asthenia; dermatitis,lethargy
CAFNet-DG,0,2,calcium.folinate,18,0.5887649696851304,0.9787112932604736,0.756902106715231,0.6,0.5,,,0.5897678164760206,0.009615384615384616,1.0,nausea; diarrhoea; vomiting; asthenia; fatigue,lethargy
CAFNet,0,6,betaine,16,0.21952913701059218,0.6552914110429449,0.4537425745411855,0.26666666666666666,0.25,,0.01064542783330785,0.27495097380619554,0.01596539599256018,0.9333333333333333,nausea; vomiting; diarrhoea; decreased appetite; alopecia,abdominal discomfort; tooth disorder; glossitis; personality disorder; urinary incontinence
CAFNet-D,0,6,betaine,16,0.16305833749716672,0.8346114519427402,0.31879392588472627,0.2,0.1875,,0.024988481120556592,0.19310543730135094,0.0994062483420953,1.0,nausea; vomiting; diarrhoea; decreased appetite; agitation,abdominal discomfort; sleep disorder; irritability; urinary incontinence; glossitis
CAFNet-DG,0,6,betaine,16,0.20817341548240686,0.8206160531697342,0.42492601381667106,0.2,0.1875,,0.02530047764913556,0.24937067787791323,0.056362393726773694,1.0,nausea; vomiting; diarrhoea; decreased appetite; alopecia,abdominal discomfort; glossitis; sleep disorder; urinary incontinence; personality disorder
CAFNet,0,22,cladribine,100,0.5675506802026319,0.8800782997762864,0.8414929602590189,0.8,0.12,0.1132642368235681,0.18464257346904503,0.659978266233852,0.20304960484223988,1.0,neutropenia; body temperature increased; thrombocytopenia; cough; vomiting,cardiac murmur; petechiae; lethargy; pancytopenia; ecchymosis
CAFNet-D,0,22,cladribine,100,0.6067662349644718,0.8748322147651005,1.0,1.0,0.15,0.06633951967967457,0.11477904777457609,0.7145726312003051,0.21081570527214752,1.0,nausea; headache; vomiting; dizziness; asthenia,lethargy; haemoglobin; bone pain; febrile neutropenia; mucosal inflammation
CAFNet-DG,0,22,cladribine,100,0.6259866226079585,0.885055928411633,1.0,1.0,0.15,0.11201902407109353,0.23069236158654538,0.7295344208432888,0.24185589480206823,1.0,nausea; headache; vomiting; asthenia; dizziness,lethargy; bone pain; pancytopenia; mucosal inflammation; febrile neutropenia
CAFNet,0,42,amiodarone,22,0.087310847678146,0.7474747474747475,0.1388624438735545,0.13333333333333333,0.09090909090909091,0.024652147610405323,0.03408737817339968,0.1069592818185928,0.03324463300195967,0.9333333333333333,nausea; diarrhoea; vomiting; body temperature increased; shock,atrial fibrillation; cardiac failure congestive; atrioventricular block; cardiac arrest; ventricular fibrillation
CAFNet-D,0,42,amiodarone,22,0.08891510603116234,0.7320894126449682,0.18844415212771548,0.2,0.13636363636363635,0.00860566448801743,0.03799949145305296,0.11060099472823433,0.024743137531338753,1.0,nausea; vomiting; diarrhoea; hypotension; shock,ventricular tachycardia; atrioventricular block; atrial fibrillation; cardiac arrest; pulmonary oedema
CAFNet-DG,0,42,amiodarone,22,0.09568888364705624,0.7466797605686494,0.2719144540092835,0.2,0.13636363636363635,0.01052548274770497,0.04016669457312422,0.11730598300518205,0.026994296652158505,1.0,nausea; vomiting; diarrhoea; hypotension; shock,atrial fibrillation; atrioventricular block; cardiac arrest; ventricular tachycardia; ventricular fibrillation
CAFNet,0,45,amlodipine,7,0.4652930402930403,0.9819076566796932,0.661798907637971,0.3333333333333333,0.7142857142857143,,,0.4656898656898657,,0.9333333333333333,nausea; abdominal pain; gastrointestinal pain; fatigue; asthenia,
