n_drugs,mean_delta,median_delta,std_delta,positive_fraction,wilcoxon_p_two_sided,split_group,scaffold_group_size,metric,example_drugs
43,0.01257000414693348,0.0084042317786082,0.032410963815859034,0.627906976744186,0.016574969263274397,c1ccccc1,43,delta_DG_minus_D_AP,flutamide; orciprenaline; mexiletine; midodrine; terbutaline
6,0.01868238003192588,0.009068326407977301,0.032059242327651366,0.5,0.4375,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,6,delta_DG_minus_D_AP,medroxyprogesterone; levonorgestrel; testosterone; progesterone; hydroxyprogesterone
5,0.04162354769783206,0.0415111272315447,0.0428295702723228,0.8,0.125,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,5,delta_DG_minus_D_AP,dexlansoprazole; omeprazole; pantoprazole; rabeprazole; lansoprazole
5,0.034221829707413234,0.0240115445905604,0.043193468786856065,0.6,0.3125,O=C1CN=C(c2ccccc2)c2ccccc2N1,5,delta_DG_minus_D_AP,clonazepam; lorazepam; temazepam; flunitrazepam; diazepam
5,0.0287822243273206,0.0355483081979802,0.036416894246183294,0.8,0.1875,c1ccc2ccccc2c1,5,delta_DG_minus_D_AP,nabumetone; agomelatine; naproxen; propranolol; terbinafine
5,0.012023904374589382,0.0232564570543664,0.04769554420301254,0.6,0.625,C1=CC(c2ccccc2)C=CN1,5,delta_DG_minus_D_AP,amlodipine; nifedipine; nimodipine; nisoldipine; clevidipine
5,0.008633252972249419,0.0027896701385389,0.024542870414413154,0.6,1.0,O=c1nc[nH]c2[nH]cnc12,5,delta_DG_minus_D_AP,ganciclovir; valganciclovir; penciclovir; aciclovir; valaciclovir
5,-0.0030906039543107202,-0.0010923122751133,0.023488535207878764,0.4,1.0,c1ncc2ncn(C3CCCO3)c2n1,5,delta_DG_minus_D_AP,cladribine; fludarabine; clofarabine; nelarabine; adenosine
5,-0.004105109802023441,-0.0005418296568543,0.035149001001713386,0.4,1.0,c1ccncc1,5,delta_DG_minus_D_AP,betahistine; pirbuterol; risedronic.acid; fampridine; nicorandil
5,-0.02907684308213714,-0.0131819280945666,0.04923373641193377,0.2,0.3125,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,5,delta_DG_minus_D_AP,clobetasol; triamcinolone; dexamethasone; beclometasone; fluticasone
4,0.08020549864136478,0.0402444417623673,0.10965210260575914,1.0,,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,4,delta_DG_minus_D_AP,tamoxifen; toremifene; ospemifene; clomifene
4,0.046987623718238024,0.046555894026606204,0.030571855625817785,1.0,,C1=CCCCC1,4,delta_DG_minus_D_AP,tretinoin; isotretinoin; oseltamivir; alitretinoin
4,0.03988627575075322,0.054152672331934354,0.059511276423367676,0.75,,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,4,delta_DG_minus_D_AP,idarubicin; doxorubicin; epirubicin; daunorubicin
4,0.03136732456337015,-0.00769652210813515,0.08406821565420998,0.25,,c1c[nH]cn1,4,delta_DG_minus_D_AP,cimetidine; metronidazole; tinidazole; zoledronic.acid
4,0.0081761972721299,0.00185713750741505,0.018331790423723758,0.75,,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,4,delta_DG_minus_D_AP,flunisolide; desonide; budesonide; fluocinonide
4,0.004763166575953074,0.0012090866987728998,0.010624474942006629,0.5,,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,4,delta_DG_minus_D_AP,levofloxacin; gatifloxacin; sparfloxacin; ciprofloxacin
4,-0.026285149482236998,-0.02725730301108365,0.017238234233221433,0.0,,c1ccc(Cc2ccccc2)cc1,4,delta_DG_minus_D_AP,fesoterodine; armodafinil; tolterodine; modafinil
3,0.04641644290455884,0.0484701451420694,0.027418830499504155,1.0,,O=C(CNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1)NCC(=O)N1CCCC1,3,delta_DG_minus_D_AP,gonadorelin; goserelin; buserelin
3,0.0342175369167336,0.0077830965330965,0.060561029760228965,0.6666666666666666,,O=C1CCC2C3Cc4cccc5c4C2(CCN3)C1O5,3,delta_DG_minus_D_AP,hydromorphone; hydrocodone; oxycodone
3,0.0231609296388519,0.0204727471573606,0.006808175265998901,1.0,,O=c1ncccn1C1CCCO1,3,delta_DG_minus_D_AP,cytarabine; capecitabine; gemcitabine
3,0.021806627373794435,0.0290888157191139,0.03921457618088244,0.6666666666666666,,c1ccc(CC2CCCCC2)cc1,3,delta_DG_minus_D_AP,oxybutynin; venlafaxine; desvenlafaxine
3,0.014490521233998433,0.0150786306075751,0.0012434440010542424,1.0,,O=C(Nc1ccccc1)C1CCCCN1,3,delta_DG_minus_D_AP,bupivacaine; levobupivacaine; ropivacaine
3,0.011044464874435701,0.0002243698863523,0.06111128600068362,0.6666666666666666,,C1CCOCC1,3,delta_DG_minus_D_AP,mifamurtide; streptozocin; auranofin
