grouping,metric,groups_with_positive_mean,groups_total,median_group_mean_delta,min_group_mean_delta,max_group_mean_delta
scaffold_type,delta_DG_minus_D_AP,1,2,0.0037646864897801753,-0.001462372929129305,0.008991745908689655
scaffold_type,delta_DG_minus_D_rare_AP,1,2,0.0065915938555102145,-0.002653168421480557,0.015836356132500985
scaffold_type,delta_DG_minus_D_middle_AP,2,2,0.013760035495897579,0.005255656479197485,0.022264414512597672
scaffold_type,delta_DG_minus_D_nonhot100_AP,1,2,-0.0003287373638394134,-0.011914845825366786,0.011257371097687959
repeat_group,delta_DG_minus_D_AP,2,2,0.00901754080856983,0.007200202494863065,0.010834879122276594
repeat_group,delta_DG_minus_D_rare_AP,2,2,0.013292642999066446,0.007686770617890881,0.018898515380242013
repeat_group,delta_DG_minus_D_middle_AP,2,2,0.0213862660447739,0.021087612154765,0.021684919934782804
repeat_group,delta_DG_minus_D_nonhot100_AP,2,2,0.009019813862144047,0.006418219047935491,0.011621408676352604
scaffold_size_bin,delta_DG_minus_D_AP,4,4,0.009766761189647047,0.005282809093126044,0.015396696308809485
scaffold_size_bin,delta_DG_minus_D_rare_AP,4,4,0.010753342129173778,0.002248230210070113,0.018898515380242013
scaffold_size_bin,delta_DG_minus_D_middle_AP,3,4,0.02503164093541852,-0.0014275157939548308,0.03966183020039945
scaffold_size_bin,delta_DG_minus_D_nonhot100_AP,3,4,0.00827061184342764,-0.0008825579878800211,0.014390064884042783
