grouping,group,metric,n_drugs,mean_delta,median_delta,std_delta,positive_fraction,wilcoxon_p_two_sided,holm_p_within_metric
scaffold_type,acyclic_or_empty,delta_DG_minus_D_AP,43,-0.001462372929129305,0.0008886125023292,0.0565397835134317,0.5116279069767442,0.9761677595085985,0.9761677595085985
scaffold_type,acyclic_or_empty,delta_DG_minus_D_rare_AP,22,-0.002653168421480557,0.0001516781061327,0.018639773379270294,0.5909090909090909,0.46277761459350586,0.46277761459350586
scaffold_type,acyclic_or_empty,delta_DG_minus_D_middle_AP,31,0.005255656479197485,0.0003119965285789,0.027998097973003438,0.5806451612903226,0.25557575561106205,0.25557575561106205
scaffold_type,acyclic_or_empty,delta_DG_minus_D_nonhot100_AP,42,-0.011914845825366786,0.0002290202835896,0.11149268588187006,0.5476190476190477,0.921163262544269,0.921163262544269
scaffold_type,murcko,delta_DG_minus_D_AP,707,0.008991745908689655,0.0055925228025198,0.03817976319747892,0.5997171145685997,6.521625063379232e-10,1.3043250126758464e-09
scaffold_type,murcko,delta_DG_minus_D_rare_AP,420,0.015836356132500985,0.00039333657690714997,0.09934129062901448,0.5738095238095238,7.407274940811539e-07,1.4814549881623077e-06
scaffold_type,murcko,delta_DG_minus_D_middle_AP,514,0.022264414512597672,0.00132745885105055,0.12753736774540717,0.6108949416342413,2.9555184941775146e-09,5.911036988355029e-09
scaffold_type,murcko,delta_DG_minus_D_nonhot100_AP,672,0.011257371097687959,0.00271672617162765,0.08642363061486956,0.6473214285714286,1.2238136571943365e-11,2.447627314388673e-11
repeat_group,shared_scaffold_group,delta_DG_minus_D_AP,246,0.010834879122276594,0.00491441235319,0.039713083577853435,0.5691056910569106,0.00023555655120184157,0.00023555655120184157
repeat_group,shared_scaffold_group,delta_DG_minus_D_rare_AP,157,0.007686770617890881,0.0005242294294623,0.041854295323786816,0.5796178343949044,0.000313540998103688,0.000627081996207376
repeat_group,shared_scaffold_group,delta_DG_minus_D_middle_AP,191,0.021684919934782804,0.0020453345196619,0.13976045607993307,0.6282722513089005,5.1655014504164436e-05,5.1655014504164436e-05
repeat_group,shared_scaffold_group,delta_DG_minus_D_nonhot100_AP,237,0.006418219047935491,0.0041585867235766,0.07174372851968426,0.6413502109704642,0.00025558586916272786,0.00025558586916272786
