fold,drug_index,drug_name,positive_count,AP_CAFNet,AP_CAFNet-D,AP_CAFNet-DG,AUROC_CAFNet,AUROC_CAFNet-D,AUROC_CAFNet-DG,P@15_CAFNet,P@15_CAFNet-D,P@15_CAFNet-DG,R@15_CAFNet,R@15_CAFNet-D,R@15_CAFNet-DG,frequent_AP_CAFNet,frequent_AP_CAFNet-D,frequent_AP_CAFNet-DG,middle_AP_CAFNet,middle_AP_CAFNet-D,middle_AP_CAFNet-DG,nDCG@10_CAFNet,nDCG@10_CAFNet-D,nDCG@10_CAFNet-DG,nonhot100_AP_CAFNet,nonhot100_AP_CAFNet-D,nonhot100_AP_CAFNet-DG,rare_AP_CAFNet,rare_AP_CAFNet-D,rare_AP_CAFNet-DG,top15_hot_fraction_CAFNet,top15_hot_fraction_CAFNet-D,top15_hot_fraction_CAFNet-DG,delta_DG_minus_D_AP,delta_DG_minus_CAFNet_AP,delta_DG_minus_D_AUROC,delta_DG_minus_CAFNet_AUROC,delta_DG_minus_D_nDCG@10,delta_DG_minus_CAFNet_nDCG@10,delta_DG_minus_D_P@15,delta_DG_minus_CAFNet_P@15,delta_DG_minus_D_R@15,delta_DG_minus_CAFNet_R@15,delta_DG_minus_D_rare_AP,delta_DG_minus_CAFNet_rare_AP,delta_DG_minus_D_middle_AP,delta_DG_minus_CAFNet_middle_AP,delta_DG_minus_D_frequent_AP,delta_DG_minus_CAFNet_frequent_AP,delta_DG_minus_D_nonhot100_AP,delta_DG_minus_CAFNet_nonhot100_AP,delta_DG_minus_D_hot_fraction
9,493,plerixafor,27,0.49286674232480576,0.6125215544351904,0.638455557490191,0.9184955379371098,0.9728829139377226,0.9653759240108775,0.7333333333333333,0.8,0.8666666666666667,0.4074074074074074,0.4444444444444444,0.48148148148148145,0.5199255143743873,0.6241899446637746,0.658164059467857,,,,0.7877736340270853,0.8572048559638626,1.0,0.0768741449089897,0.1655686936936937,0.1692224851352991,0.006289308176100629,1.0,0.25,0.8666666666666667,1.0,1.0,0.0259340030550006,0.14558881516538524,-0.007506989926845176,0.046880386073767655,0.14279514403613736,0.21222636597291467,0.06666666666666665,0.13333333333333341,0.037037037037037035,0.07407407407407407,-0.75,0.24371069182389937,,,0.03397411480408241,0.13823854509346978,0.0036537914416054085,0.09234834022630942,0.0
0,112,clobetasol,10,0.05603262923093898,0.19132537686910756,0.10487526905613073,0.8555894308943089,0.9399390243902439,0.924390243902439,0.0,0.26666666666666666,0.06666666666666667,0.0,0.4,0.1,0.025362318840579712,0.028671846096929337,0.02681010928961749,0.20238095238095238,0.5333333333333333,0.4206349206349207,0.0,0.06362078819895167,0.0,0.09168758334289531,0.5300733308787432,0.2963963571258463,0.14324123077489487,0.6285714285714286,0.4635374149659863,0.4,0.5333333333333333,0.7333333333333333,-0.08645010781297682,0.048842639825191755,-0.015548780487804947,0.06880081300813001,-0.06362078819895167,0.0,-0.2,0.06666666666666667,-0.30000000000000004,0.1,-0.16503401360544223,0.32029618419109146,-0.11269841269841263,0.2182539682539683,-0.0018617368073118486,0.0014477904490377766,-0.23367697375289692,0.20470877378295096,0.19999999999999996
0,135,dicloxacillin,31,0.3488743540002287,0.34080937810189194,0.34897245064664895,0.8105718018289619,0.83747027099454,0.8401500686698153,0.6,0.4666666666666667,0.5333333333333333,0.2903225806451613,0.22580645161290322,0.25806451612903225,0.4791853532831666,0.452704882299691,0.4634662124742017,0.036248119492800344,0.04981769703186439,0.054679191775965974,0.7542686714597936,0.6547216238913564,0.6547216238913564,0.037702657453246566,0.053226704278611495,0.05715000445168887,0.022800261911851628,0.2247930417617667,0.12477415045255805,1.0,1.0,1.0,0.00816307254475701,9.809664642024263e-05,0.002679797675275375,0.029578266840853407,0.0,-0.09954704756843724,0.06666666666666665,-0.06666666666666665,0.03225806451612903,-0.03225806451612906,-0.10001889130920866,0.10197388854070642,0.004861494744101587,0.01843107228316563,0.010761330174510697,-0.01571914080896486,0.0039233001730773764,0.019447346998442305,0.0
7,393,venlafaxine,400,0.5963416347262477,0.6838757841339356,0.6633371795107535,0.6659764309764309,0.7438552188552189,0.7274621212121213,1.0,1.0,1.0,0.0375,0.0375,0.0375,0.812385955037888,0.8130077431441194,0.8182756620147418,0.32918168709553847,0.3508376897266093,0.3493380724450272,1.0,1.0,1.0,0.43879626981218034,0.5410373806912776,0.5110336334636701,0.18355743599693128,0.3189584988809197,0.22024360045496824,1.0,1.0,1.0,-0.020538604623182022,0.06699554478450587,-0.0163930976430976,0.06148569023569039,0.0,0.0,0.0,0.0,0.0,0.0,-0.09871489842595146,0.03668616445803696,-0.0014996172815820996,0.020156385349488715,0.00526791887062239,0.005889706976853759,-0.030003747227607458,0.0722373636514898,0.0
5,348,streptozocin,11,0.1651074588946204,0.10926472835148515,0.10948909823783755,0.8396374734116342,0.9126051974475169,0.8958660871173587,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.1973504624122704,0.12316790114103704,0.12583041648014925,0.029411764705882353,0.015151515151515152,0.02127659574468085,0.2489083270225946,0.09478836436955075,0.1100458831490401,0.023232315986770016,0.11514578208731133,0.05206278289611623,0.015151515151515152,0.16666666666666666,0.07142857142857142,1.0,1.0,1.0,0.0002243698863523963,-0.05561836065678284,-0.01673911033015818,0.05622861370572452,0.015257518779489346,-0.1388624438735545,-0.06666666666666667,-0.06666666666666667,-0.09090909090909091,-0.09090909090909091,-0.09523809523809523,0.05627705627705627,0.006125080593165699,-0.008135168961201502,0.0026625153391122147,-0.07152004593212113,-0.06308299919119509,0.028830466909346215,0.0
3,524,rasburicase,25,0.23902467419859655,0.40842778869486424,0.3872311784159728,0.7912074303405572,0.9055521155830754,0.8803715170278638,0.4,0.6666666666666666,0.4666666666666667,0.24,0.4,0.28,0.270920879791552,0.4421585583119187,0.4239912571891164,,,,0.4569970750177367,0.721801830382049,0.7630946912803435,0.016764836687819695,0.07108669235035524,0.03711913984804714,0.005203754460360966,0.08825944170771756,0.021390756903705822,0.9333333333333333,1.0,1.0,-0.021196610278891415,0.14820650421737627,-0.025180598555211597,0.08916408668730658,0.041292860898294426,0.3060976162626068,-0.19999999999999996,0.06666666666666665,-0.12,0.040000000000000036,-0.06686868480401173,0.016187002443344856,,,-0.018167301122802293,0.1530703773975644,-0.033967552502308096,0.020354303160227447,0.0
3,176,foscarnet,8,0.008773033856697726,0.02061697677386441,0.0164628704838422,0.37233772819472616,0.641607505070994,0.6064908722109533,0.0,0.0,0.0,0.0,0.0,0.0,0.01631819431264031,0.025161191749427048,0.02068591195358626,0.0045045045045045045,0.006993006993006993,0.00625,0.0,0.0,0.0,0.003744889669183442,0.01008081804293977,0.0071851994063576625,0.004833792700242211,0.12940528634361234,0.06648406374501992,0.8,1.0,1.0,-0.004154106290022209,0.007689836627144474,-0.03511663286004063,0.23415314401622717,0.0,0.0,0.0,0.0,0.0,0.0,-0.06292122259859242,0.0616502710447777,-0.0007430069930069927,0.0017454954954954959,-0.004475279795840788,0.004367717640945949,-0.0028956186365821073,0.0034403097371742204,0.0
6,741,dabrafenib,70,0.5467449603092298,0.557311972058775,0.5715814359203143,0.8702844774273346,0.8985003092145949,0.9061533704390847,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.18571428571428572,0.2,0.2,0.6499662786330127,0.6492908490401497,0.6674610466308001,0.06559557500979213,0.09304431182609699,0.09253711753711755,1.0,1.0,1.0,0.13510844504442843,0.1300612659985707,0.13790008556579264,0.046223354128656954,0.1939995128508397,0.1378422884791577,0.9333333333333333,1.0,1.0,0.014269463861539267,0.024836475611084485,0.007653061224489832,0.035868893011750114,0.0,0.0,0.0,0.06666666666666665,0.0,0.01428571428571429,-0.056157224371681996,0.09161893435050074,-0.0005071942889794401,0.02694154252732542,0.018170197590650417,0.017494767997787375,0.007838819567221933,0.0027916405213642137,0.0
9,346,imatinib,251,0.7523547303773755,0.7333819045713951,0.773509389546066,0.8654962920860299,0.8446429624704412,0.8665901669231554,1.0,1.0,1.0,0.05976095617529881,0.05976095617529881,0.05976095617529881,0.8752850176293104,0.8660535837449714,0.8944293389089819,0.3623335414056795,0.31456415669443855,0.3630301818476076,1.0,1.0,1.0,0.48691697390522404,0.4599011346804083,0.526040883022187,0.08636639103756516,0.15842138755735158,0.10819046333734371,1.0,1.0,1.0,0.04012748497467089,0.021154659168690415,0.021947204452714142,0.0010938748371255302,0.0,0.0,0.0,0.0,0.0,0.0,-0.05023092422000787,0.02182407229977855,0.04846602515316906,0.0006966404419280758,0.028375755164010474,0.019144321279671472,0.06613974834177871,0.03912390911696295,0.0
2,548,caspofungin,108,0.3787829471418328,0.6122486381152992,0.5393836328449004,0.7335559317782795,0.8895472786556309,0.8692417021988128,0.6666666666666666,0.9333333333333333,1.0,0.09259259259259259,0.12962962962962962,0.1388888888888889,0.4905366965744058,0.7331799186785842,0.6530450292058325,0.06716826064539766,0.23634317362378637,0.16889788707223402,0.5964984284535196,1.0,1.0,0.1527955167955693,0.42912191258841137,0.3040969867007424,0.0916481325013642,0.28763044740760874,0.23823668788650743,1.0,1.0,1.0,-0.07286500527039874,0.16060068570306762,-0.020305576456818075,0.1356857704205333,0.0,0.40350157154648036,0.06666666666666665,0.33333333333333337,0.009259259259259273,0.04629629629629631,-0.04939375952110131,0.14658855538514323,-0.06744528655155235,0.10172962642683636,-0.08013488947275171,0.16250833263142672,-0.12502492588766895,0.15130146990517312,0.0
4,408,mercaptamine,31,0.3156411989427174,0.3236258522540799,0.3848053245941576,0.7105818510702443,0.8053126988912338,0.8059826483100526,0.6,0.4666666666666667,0.7333333333333333,0.2903225806451613,0.22580645161290322,0.3548387096774194,0.41952544174625445,0.41325626969972323,0.4907324534049403,0.009687873909940598,0.01644284628155596,0.01384152585765489,0.43621154230977444,0.7116179486056783,0.7254521107352793,0.02897129265206251,0.0247716440139339,0.023786157442600632,0.008585051492552903,0.07346445824706695,0.026397200733064112,1.0,1.0,1.0,0.0611794723400777,0.0691641256514402,0.000669949418818816,0.09540079723980832,0.01383416212960098,0.28924056842550483,0.2666666666666666,0.1333333333333333,0.12903225806451615,0.06451612903225806,-0.047067257514002835,0.017812149240511208,-0.0026013204239010695,0.004153651947714292,0.07747618370521708,0.07120701165868587,-0.0009854865713332696,-0.005185135209461879,0.0
2,325,raloxifene,66,0.3352482660321824,0.4761943124695994,0.5057516350768666,0.8836859979101358,0.8950986154649947,0.9078010710553813,0.4,0.6666666666666666,0.7333333333333333,0.09090909090909091,0.15151515151515152,0.16666666666666666,0.3781860147352119,0.5271736303191467,0.556017516675585,0.05367169548669403,0.02557259267299428,0.03419715190115963,0.3052348839397012,0.8553475075669357,0.8579809428223729,0.16806192392105784,0.22491482491776027,0.24706453180471216,0.06262183235867447,0.21698750422154678,0.17309941520467836,0.4,1.0,1.0,0.029557322607267178,0.17050336904468422,0.01270245559038663,0.024115073145245525,0.002633435255437244,0.5527460588826717,0.06666666666666665,0.33333333333333326,0.015151515151515138,0.07575757575757575,-0.043888089016868415,0.1104775828460039,0.008624559228165348,-0.019474543585534403,0.02884388635643831,0.17783150194037306,0.022149706886951892,0.07900260788365432,0.0
9,373,topotecan,60,0.5485432215488727,0.709622517679697,0.6635298069762602,0.8789614561027838,0.9420592433975731,0.9382048536759457,0.7333333333333333,1.0,0.9333333333333333,0.18333333333333332,0.25,0.23333333333333334,0.5992008502226761,0.7534207938470056,0.7056121346641963,0.018238183325071163,0.017877898357350413,0.016521445847619415,0.8643145546088338,1.0,1.0,0.047884470588887146,0.30406143797655305,0.14615127695216557,0.004219409282700422,0.1111111111111111,0.07692307692307693,1.0,1.0,1.0,-0.04609271070343679,0.11498658542738749,-0.003854389721627327,0.05924339757316199,0.0,0.13568544539116623,-0.06666666666666665,0.20000000000000007,-0.016666666666666663,0.05000000000000002,-0.03418803418803418,0.0727036676403765,-0.001356452509730998,-0.0017167374774517477,-0.0478086591828093,0.10641128444152015,-0.15791016102438749,0.09826680636327842,0.0
5,76,levobupivacaine,41,0.4512811989366919,0.47103237840129325,0.48409449557230083,0.8338494612648121,0.8983185319786041,0.8949146469429018,0.7333333333333333,0.6,0.7333333333333333,0.2682926829268293,0.21951219512195122,0.2682926829268293,0.5382697407842261,0.5445543960154126,0.5649092453331124,0.03017856027942749,0.20304933081135443,0.041813275961826685,0.7058075148678526,0.7084409501232899,0.6961622681399229,0.09124141030070645,0.059174137650404565,0.10727645551498358,0.005555555555555556,0.2,0.16666666666666666,0.9333333333333333,1.0,1.0,0.013062117171007581,0.032813296635608946,-0.0034038850357023254,0.06106518567808972,-0.012278681983367012,-0.009645246727929768,0.1333333333333333,0.0,0.048780487804878064,0.0,-0.033333333333333354,0.1611111111111111,-0.16123605484952774,0.011634715682399193,0.02035484931769982,0.026639504548886306,0.04810231786457901,0.01603504521427712,0.0
3,618,vandetanib,82,0.22326412473290683,0.3064062286617475,0.2783353660726728,0.7188168592212237,0.7392490372272146,0.7370426829268293,0.4,0.5333333333333333,0.4666666666666667,0.07317073170731707,0.0975609756097561,0.08536585365853659,0.32725575880674124,0.4021506176703996,0.36878562658299346,0.09642183937409235,0.12096331506846542,0.10089671898708077,0.29062463495159,0.5384313152574521,0.42696207545852366,0.09533053317186152,0.16359839451332364,0.12125296850747551,0.039080679714470545,0.07427382143531666,0.04132428303814948,0.7333333333333333,1.0,0.9333333333333333,-0.028070862589074708,0.05507124133976596,-0.0022063543003852937,0.01822582370560555,-0.11146923979892848,0.13633744050693364,-0.06666666666666665,0.06666666666666665,-0.01219512195121951,0.012195121951219523,-0.03294953839716718,0.0022436033236789346,-0.02006659608138464,0.004474879612988425,-0.03336499108740615,0.04152986777625223,-0.04234542600584813,0.02592243533561399,-0.06666666666666665
5,341,sertraline,264,0.6236649229747447,0.6558000590478422,0.6821856231303755,0.7734173931091739,0.8039279784142798,0.8222965960979659,1.0,1.0,1.0,0.056818181818181816,0.056818181818181816,0.056818181818181816,0.7791792731452322,0.8196768454350891,0.8219625048454704,0.2850462592344195,0.21857189612235367,0.2430879840257822,1.0,1.0,1.0,0.45126999208340973,0.4265568551413411,0.48922734820410513,0.0571405638133722,0.14221460058711144,0.11086873658559883,0.8666666666666667,1.0,1.0,0.02638556408253323,0.05852070015563071,0.01836861768368614,0.048879202988792,0.0,0.0,0.0,0.0,0.0,0.0,-0.03134586400151261,0.05372817277222663,0.02451608790342852,-0.04195827520863732,0.00228565941038128,0.04278323170023823,0.06267049306276401,0.037957356120695396,0.0
