metric,A3Net,CAFNet,CAFNetOrdinal-Aux,WarmPlus-rank_pop
MAE,0.8972 +/- 0.0444,0.8949 +/- 0.0454,0.9468 +/- 0.1018,0.8951 +/- 0.0366
MAP,0.1899 +/- 0.0262,0.2061 +/- 0.0169,0.1905 +/- 0.0139,0.2292 +/- 0.0061
P1,0.1860 +/- 0.0431,0.2146 +/- 0.0301,0.2581 +/- 0.0275,0.3222 +/- 0.0137
P10,0.1247 +/- 0.0123,0.1316 +/- 0.0074,0.1320 +/- 0.0056,0.1450 +/- 0.0026
P15,0.1081 +/- 0.0084,0.1132 +/- 0.0049,0.1082 +/- 0.0027,0.1187 +/- 0.0017
P5,0.1486 +/- 0.0228,0.1635 +/- 0.0138,0.1738 +/- 0.0159,0.1969 +/- 0.0065
R1,0.0522 +/- 0.0142,0.0640 +/- 0.0112,0.0631 +/- 0.0097,0.0832 +/- 0.0049
R10,0.3021 +/- 0.0330,0.3204 +/- 0.0150,0.2858 +/- 0.0124,0.3133 +/- 0.0064
R15,0.3782 +/- 0.0322,0.3967 +/- 0.0138,0.3462 +/- 0.0086,0.3733 +/- 0.0069
R5,0.1936 +/- 0.0324,0.2137 +/- 0.0176,0.1947 +/- 0.0186,0.2261 +/- 0.0071
auc_all,0.9066 +/- 0.0047,0.9106 +/- 0.0032,0.8324 +/- 0.0144,0.8980 +/- 0.0018
aupr_all,0.0756 +/- 0.0088,0.0845 +/- 0.0060,0.0548 +/- 0.0068,0.0698 +/- 0.0021
drugAUC,0.8977 +/- 0.0063,0.9014 +/- 0.0033,0.8691 +/- 0.0037,0.9010 +/- 0.0037
drugAUPR,0.1899 +/- 0.0262,0.2062 +/- 0.0167,0.1905 +/- 0.0139,0.1952 +/- 0.0147
nDCG,0.3944 +/- 0.0473,0.4250 +/- 0.0221,0.4282 +/- 0.0235,0.4747 +/- 0.0129
rMSE,1.2250 +/- 0.0489,1.2262 +/- 0.0567,1.1712 +/- 0.1018,1.2281 +/- 0.0444
spearman,0.5138 +/- 0.0144,0.5119 +/- 0.0263,0.4487 +/- 0.0259,0.5054 +/- 0.0222
