Model,fold,MAP,auc_all,aupr_all,drugAUC,drugAUPR,nDCG,P1,P15,R1,R15,spearman,rMSE,MAE
CAFNet-original-3fold,0,0.2074618907062513,0.909107962046224,0.0743866744167965,0.9002985675173252,0.2074618907062513,0.4324261200738605,0.2173228346456693,0.1172703412073495,0.0639076336908326,0.4014217662086655,0.531165078460546,1.2138307033466504,0.8760374
CAFNet-original-3fold,1,0.2098876212445852,0.9148894075578444,0.0942794613341351,0.9025075369515028,0.2099327488961902,0.4199936825903448,0.2080745341614907,0.113250517598344,0.0609351943727811,0.4044677141477766,0.4757393576685318,1.2514505076694231,0.90755314
CAFNet-original-3fold,2,0.2231278675433205,0.9054437025107638,0.0853930564684437,0.8979032791795044,0.2231278675433205,0.4438913041594138,0.2412213740458015,0.1138931297709928,0.0772652093473054,0.4041926944282775,0.5202590447116795,1.3251927487510895,0.97889644
WarmPlus-rank_pop-3fold,0,0.2329537006383406,0.8899813674584269,0.0653814830467412,0.8999631069653082,0.1730138845874305,0.4895819355914909,0.3385826771653543,0.1191601049868769,0.0895667820901381,0.3628123111527538,0.5111393414841148,1.3566002424289103,1.0094502
WarmPlus-rank_pop-3fold,1,0.2286038698388956,0.8973591265952046,0.0683388012347634,0.8954942404766425,0.1837365108368381,0.4801819035745687,0.3152173913043478,0.1169772256728782,0.0819297267984981,0.3718574222231104,0.501374579045448,1.2652183161885615,0.92029375
WarmPlus-rank_pop-3fold,2,0.2275434031788143,0.8961165839603801,0.0680460523587256,0.8985097161105494,0.2106406329492201,0.4599469569344284,0.3068702290076336,0.1187786259541987,0.0810039094334342,0.379224907007212,0.4935274965194718,1.2659609313468785,0.92307436
ordinal_ow0.5_fw0.1_f3,0,0.2085426934899359,0.847945425327768,0.0616541427059159,0.8685522525803783,0.2085426934899358,0.4649972314972012,0.2929133858267717,0.1129658792650923,0.0756273529927323,0.3439652900319429,0.3973140362174346,1.4760617007356645,1.2463723
ordinal_ow0.5_fw0.1_f3,1,0.1985133358759375,0.8483485330775421,0.0605364570317221,0.8798455521297288,0.1985133358759375,0.4525376168704172,0.2841614906832298,0.1120082815734993,0.0666904672884392,0.356300037236875,0.4062911052396977,1.428621572227548,1.2129864
ordinal_ow0.5_fw0.1_f3,2,0.2020179198003713,0.8370421206451397,0.0609942923779359,0.8756105754064025,0.2020179198003713,0.4407046728755329,0.2809160305343511,0.1133842239185754,0.0672972191771256,0.366183532926737,0.4170569837366216,1.3820394305498684,1.1582763
ordinal_ow0.5_fw0.2_f3,0,0.2038810979722784,0.8446230352870537,0.0617750925909271,0.868486744389759,0.2038810979722784,0.4593983484624339,0.2944881889763779,0.1096062992125988,0.0735161387993373,0.340547020432721,0.4139280281247953,1.448597900990355,1.2148936
ordinal_ow0.5_fw0.2_f3,1,0.2094970618162842,0.8449039558461583,0.0595768573324141,0.8758164420028796,0.2094970618162842,0.4694212070842866,0.3074534161490683,0.1090062111801246,0.0774068419852333,0.3480863165170936,0.4161262335433247,1.3857937588816946,1.1686069
ordinal_ow0.5_fw0.2_f3,2,0.1960694863374942,0.8191088008364218,0.0544601728737665,0.8727534559992982,0.1960702823303131,0.4328708847203396,0.2595419847328244,0.1107379134860054,0.0600015854215681,0.3539818369443067,0.4433699988623495,1.3886317852258658,1.1697222
ordinal_ow0.7_fw0.1_f3,0,0.2055086534546535,0.8436111928857131,0.0552269528331176,0.8707537882608877,0.2055086534546535,0.4569302664969787,0.2803149606299213,0.1118110236220476,0.0719534733026734,0.3445402714232344,0.4135269649749301,1.4723956537758234,1.2460119
ordinal_ow0.7_fw0.1_f3,1,0.2024024816006956,0.8373725245267959,0.0566935603979033,0.8757806778475198,0.2024024816006956,0.4616174249352497,0.2903726708074534,0.1106625258799175,0.0666437102152846,0.3506013807525717,0.4020574841881354,1.436113103147429,1.2219067
ordinal_ow0.7_fw0.1_f3,2,0.1958036247561948,0.8202308861059622,0.0539110945659057,0.8733897019044912,0.1958044092959286,0.4296935783902747,0.2580152671755725,0.1136895674300258,0.0613668917603228,0.3576516234292318,0.4212296623191216,1.4404473979313772,1.223055
ordinal_ow0.7_fw0.2_f3,0,0.1845819724429507,0.8360879833761589,0.0529068881725721,0.8667000731672506,0.1845819724429507,0.4187251895255252,0.2440944881889764,0.1057217847769034,0.0587536619735431,0.3284700680627567,0.4244311062331146,1.5453499877208885,1.3262856
ordinal_ow0.7_fw0.2_f3,1,0.1993452716446612,0.8524656652007052,0.0610668073176193,0.8758167716448204,0.1993452716446612,0.4554667973453954,0.2779503105590062,0.111387163561077,0.0651096690652597,0.3536410978900319,0.3705983201224519,1.4205210181201624,1.1960284
ordinal_ow0.7_fw0.2_f3,2,0.1938735702459958,0.8147993959949209,0.0528725439906781,0.8745468543904069,0.1938735702459958,0.4262774557972395,0.2458015267175572,0.1108396946564889,0.0605996484451032,0.3568774421100046,0.464247496980562,1.383910825940815,1.1655126
