drug_local_idx,model,matched_AUROC,matched_AUPR,pos_gt_ctrl_rate,pos_minus_ctrl_score
0,CAFNet,0.67066,0.7028433872952682,0.774,0.6860419025793671
0,CAFNet-D full,0.66186,0.7238673985573965,0.818,0.8232726372741163
0,debias pop0.02 no-res,0.6288,0.6933242255165856,0.76,0.42594877401553094
0,debias pop0.05 no-res,0.66698,0.7121569531030354,0.776,0.7259924100097269
0,debias pop0.02 residual,0.6451,0.6899920549132752,0.738,0.6104285149332136
0,debias weighted rb1.5,0.63746,0.6973769241769595,0.74,0.5091512032020837
0,debias weighted rb2.0,0.6440600000000001,0.6950863498752005,0.736,0.5078901107907295
0,matched-BPR pop0.05 no-res,0.66988,0.7103257001864186,0.768,0.7277570325545967
0,matched-BPR pop0.10 no-res,0.6663,0.7102250359274702,0.758,0.7735093525126576
0,matched-BPR pop0.05 residual,0.6558200000000001,0.7049355117891529,0.754,0.6446204999685288
0,Global popularity,0.584,0.6819787834741089,0.612,0.07402074074074073
1,CAFNet,0.45537190082644624,0.5210122436333308,0.45454545454545453,-0.1910905144431375
1,CAFNet-D full,0.3,0.40850345253799214,0.20909090909090908,-1.1880054346370426
1,debias pop0.02 no-res,0.29958677685950413,0.42172505188784287,0.12727272727272726,-0.6658705543557352
1,debias pop0.05 no-res,0.32314049586776855,0.4327971135409286,0.12727272727272726,-0.7787861027035184
1,debias pop0.02 residual,0.31694214876033056,0.41974160056679105,0.18181818181818182,-0.6245274478061633
1,debias weighted rb1.5,0.2553719008264463,0.4025099734799101,0.10909090909090909,-1.2046963410219178
1,debias weighted rb2.0,0.20991735537190082,0.38339371979872866,0.1,-1.1661175922744653
1,matched-BPR pop0.05 no-res,0.2929752066115703,0.41164386257485697,0.18181818181818182,-0.7046111230907792
1,matched-BPR pop0.10 no-res,0.29958677685950413,0.4089738230910801,0.18181818181818182,-0.7661601760509339
1,matched-BPR pop0.05 residual,0.24132231404958673,0.3896054221214469,0.14545454545454545,-0.9300992603498426
1,Global popularity,0.5206611570247934,0.535095771842774,0.5363636363636364,0.0011717171717171699
2,CAFNet,0.680612244897959,0.7374973015242275,0.7714285714285715,0.7219670282942908
2,CAFNet-D full,0.6948979591836735,0.7597208485798996,0.8,1.126382827758789
2,debias pop0.02 no-res,0.6489795918367347,0.7447993799951428,0.7714285714285715,0.3804152679230486
2,debias pop0.05 no-res,0.689795918367347,0.7608751715470013,0.8428571428571429,0.7286351650354586
2,debias pop0.02 residual,0.696938775510204,0.7685690664064684,0.8571428571428571,0.569814165841256
2,debias weighted rb1.5,0.6479591836734694,0.7202127430164441,0.7285714285714285,0.30948628656832233
2,debias weighted rb2.0,0.6755102040816326,0.7442559718075289,0.8142857142857143,0.347924457530358
2,matched-BPR pop0.05 no-res,0.6499999999999999,0.7458825167396986,0.7571428571428571,0.5497887178590255
2,matched-BPR pop0.10 no-res,0.6602040816326531,0.746364402337198,0.8142857142857143,0.5868939665013126
2,matched-BPR pop0.05 residual,0.6795918367346938,0.7620526407134404,0.8571428571428571,0.6529664369033915
2,Global popularity,0.613265306122449,0.728467410083426,0.6571428571428571,0.16812698412698412
3,CAFNet,0.7006944444444444,0.726047808640815,0.7666666666666667,0.8472287990152836
3,CAFNet-D full,0.7152777777777778,0.7577504194258876,0.85,0.9900066311781605
3,debias pop0.02 no-res,0.6621527777777777,0.7440807309863273,0.8333333333333334,0.4835555509276067
3,debias pop0.05 no-res,0.7295138888888889,0.7816795685708586,0.85,0.8109466599921386
3,debias pop0.02 residual,0.6961805555555556,0.7645053973694659,0.8166666666666667,0.6511069075359652
3,debias weighted rb1.5,0.6722222222222222,0.740991682502624,0.8,0.4419879809875662
3,debias weighted rb2.0,0.6548611111111111,0.746268651776405,0.7166666666666667,0.30599560545136534
3,matched-BPR pop0.05 no-res,0.6486111111111112,0.7361343104488205,0.8166666666666667,0.507094749280562
3,matched-BPR pop0.10 no-res,0.7072916666666667,0.7613418146663955,0.8333333333333334,0.9086079459637404
