model,matched_AUROC_mean,matched_AUROC_std,matched_AUROC_n,matched_AUPR_mean,matched_AUPR_std,matched_AUPR_n,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std,pos_gt_ctrl_rate_n,pos_minus_ctrl_score_mean,pos_minus_ctrl_score_std,pos_minus_ctrl_score_n
CAFNet,0.659151793785439,0.1176172597826327,225,0.6877702281485093,0.1054391591926236,225,0.6878409732173595,0.12820994668113683,225,0.6000919243688433,0.45295404091622343,225
CAFNet-D full,0.6647078832465887,0.11536990501166361,225,0.7055535514344767,0.1032535473973955,225,0.7086863352361128,0.13488061178667982,225,0.6418294939121534,0.49573227872143855,225
Global popularity,0.6265585483926182,0.10022683082013911,225,0.6880085377497097,0.0981515398958718,225,0.6570685322628247,0.11925892574280199,225,0.09893473439241152,0.07114847135155032,225
debias pop0.02 no-res,0.6298596362150064,0.11929744012770568,225,0.6835845787427638,0.10552900652461632,225,0.6731318987379432,0.1473136578373427,225,0.31283528287048523,0.28436777648158534,225
debias pop0.02 residual,0.6307109293496749,0.12341633747387369,225,0.6820749237335302,0.10890017232166423,225,0.6701818990975776,0.1516042111655071,225,0.3276869620912771,0.3075820964424518,225
debias pop0.05 no-res,0.6295854273441084,0.11950705586664963,225,0.68349579521898,0.1070878579985696,225,0.6683425078405215,0.14799534763025426,225,0.3539777574998819,0.3179150364971583,225
debias weighted rb1.5,0.6297737893746467,0.12486480166671686,225,0.6786603102467077,0.10811790948987016,225,0.6705531795883869,0.14906427945509274,225,0.2425269089572057,0.265434766341986,225
debias weighted rb2.0,0.6257256455036178,0.12133172098408679,225,0.6756952757360437,0.10595252105595619,225,0.666630737356781,0.14601676611452732,225,0.2452982452093101,0.2584261878479612,225
matched-BPR pop0.05 no-res,0.6316075746925769,0.12086595763366963,225,0.6851857125942439,0.10820165198710135,225,0.6743529594480573,0.1454595273830876,225,0.3771838991148487,0.3230286850685336,225
matched-BPR pop0.05 residual,0.6324258270280071,0.12334557399167982,225,0.6842360415769169,0.10893005716092695,225,0.6682288585786903,0.145031734153705,225,0.37053167116287244,0.3342048148220067,225
matched-BPR pop0.10 no-res,0.631463324501372,0.12036972310146732,225,0.6859489725737473,0.10716951813165182,225,0.6714346830130221,0.1474229296340871,225,0.4249914863411617,0.3634336770966133,225
