metric,A3Net,CAFNet,CAFNet-Decoupled,Global popularity,WarmPlus-rank_pop
MAE,0.8972 +/- 0.0444,0.8949 +/- 0.0454,0.5408 +/- 0.0149,0.6071 +/- 0.0093,0.8951 +/- 0.0366
MAP,0.1899 +/- 0.0262,0.2061 +/- 0.0169,0.2135 +/- 0.0066,0.2167 +/- 0.0063,0.2292 +/- 0.0061
P1,0.1860 +/- 0.0431,0.2146 +/- 0.0301,0.3081 +/- 0.0189,0.3203 +/- 0.0144,0.3222 +/- 0.0137
P10,0.1247 +/- 0.0123,0.1316 +/- 0.0074,0.1376 +/- 0.0035,0.1403 +/- 0.0025,0.1450 +/- 0.0026
P15,0.1081 +/- 0.0084,0.1132 +/- 0.0049,0.1114 +/- 0.0018,0.1126 +/- 0.0020,0.1187 +/- 0.0017
P5,0.1486 +/- 0.0228,0.1635 +/- 0.0138,0.1897 +/- 0.0071,0.1926 +/- 0.0063,0.1969 +/- 0.0065
R1,0.0522 +/- 0.0142,0.0640 +/- 0.0112,0.0780 +/- 0.0075,0.0825 +/- 0.0053,0.0832 +/- 0.0049
R10,0.3021 +/- 0.0330,0.3204 +/- 0.0150,0.3019 +/- 0.0071,0.3033 +/- 0.0066,0.3133 +/- 0.0064
R15,0.3782 +/- 0.0322,0.3967 +/- 0.0138,0.3542 +/- 0.0055,0.3558 +/- 0.0068,0.3733 +/- 0.0069
R5,0.1936 +/- 0.0324,0.2137 +/- 0.0176,0.2185 +/- 0.0093,0.2218 +/- 0.0071,0.2261 +/- 0.0071
auc_all,0.9066 +/- 0.0047,0.9106 +/- 0.0032,0.8279 +/- 0.0081,0.8211 +/- 0.0027,0.8980 +/- 0.0018
aupr_all,0.0756 +/- 0.0088,0.0845 +/- 0.0060,0.0557 +/- 0.0057,0.0507 +/- 0.0020,0.0698 +/- 0.0021
drugAUC,0.8977 +/- 0.0063,0.9014 +/- 0.0033,0.8734 +/- 0.0044,0.8727 +/- 0.0042,0.9010 +/- 0.0037
drugAUPR,0.1899 +/- 0.0262,0.2062 +/- 0.0167,0.2135 +/- 0.0066,0.2169 +/- 0.0063,0.1952 +/- 0.0147
nDCG,0.3944 +/- 0.0473,0.4250 +/- 0.0221,0.4655 +/- 0.0143,0.4704 +/- 0.0125,0.4747 +/- 0.0129
rMSE,1.2250 +/- 0.0489,1.2262 +/- 0.0567,0.7414 +/- 0.0205,0.8147 +/- 0.0147,1.2281 +/- 0.0444
spearman,0.5138 +/- 0.0144,0.5119 +/- 0.0263,0.6433 +/- 0.0153,0.5009 +/- 0.0151,0.5054 +/- 0.0222
