metric,CAFNet_mean,DecoupledV3_mean,better_diff_mean,new_better,paired_t_p,wilcoxon_p
MAP,0.346234208815817,0.40860896600599134,0.06237475719017438,True,0.017943859187148102,0.25
auc_all,0.7998790652886084,0.8050005582995713,0.005121493010962985,True,0.2829765472581568,0.5
aupr_all,0.26639768444299644,0.2735847027710098,0.007187018328013384,True,0.7676675255668087,1.0
nDCG,0.7215702650134449,0.8260325704205367,0.10446230540709178,True,0.0018701287626465583,0.25
P1,0.5111111111111111,0.7200000000000001,0.2088888888888889,True,0.021470189769271106,0.25
P15,0.4797037037037036,0.5348148148148147,0.05511111111111119,True,0.05778993040697455,0.25
R15,0.22840413074459467,0.2635777997406607,0.03517366899606598,True,0.006271766271012094,0.25
spearman,0.38445486501051396,0.45320554464492124,0.06875067963440724,True,0.2946777283130476,0.5
rMSE,1.7888526154291189,1.1816982217854868,0.6071543936436323,True,0.01365765464374988,0.25
MAE,1.4221914,0.8426136233333335,0.5795777766666667,True,0.01306148865862792,0.25
