model,removed_top_n_hot_side_effects,MAP_mean,nDCG_mean,P15_mean,R15_mean
A3Net,10,0.2314015570697032,0.565701441517676,0.2980372372372371,0.1616590841651501
A3Net,20,0.1911610569877299,0.4788157864803685,0.2359766012587929,0.140100871007604
A3Net,50,0.1429627512901051,0.3929556808579409,0.1684370068698835,0.1371814633037113
A3Net,100,0.1015266900983838,0.2870067916164283,0.1074241282709351,0.1095865832986971
CAFNet,10,0.2428982110767089,0.5979198154435311,0.3130330330330328,0.1776222762281083
CAFNet,20,0.2005305682425496,0.5025842977698461,0.2483702826113784,0.1524571118746215
CAFNet,50,0.1518988887366967,0.4126342871385738,0.1760336171788226,0.1471304686047527
CAFNet,100,0.1088806443182013,0.3025792071970328,0.1154476805020891,0.1128743317243686
Decoupled-v3,10,0.273016411590839,0.6506347597407999,0.359935135135135,0.2071272070398061
Decoupled-v3,20,0.2251454935326947,0.5755174674636432,0.2838158213007527,0.1751446290534644
Decoupled-v3,50,0.16696371218801,0.4382644041452646,0.1878721132090994,0.150739157393672
Decoupled-v3,100,0.1125911779074576,0.302204458701287,0.1138927224542698,0.1168801804974201
Global popularity,10,0.2704430667226939,0.6499429627854092,0.3566510510510509,0.1941165914913751
Global popularity,20,0.214126152607626,0.5467295868583278,0.2780491669751942,0.1532562916184029
Global popularity,50,0.1513315812360041,0.4185134899566743,0.1896870130404376,0.1288194566509543
Global popularity,100,0.0975459342051678,0.2915924920454927,0.1084225508411308,0.0863876320857528
HSTrans,10,0.2063217463838907,0.5258438956117765,0.2690714714714713,0.1432658618878297
HSTrans,20,0.1709444501438728,0.4599357007544927,0.2114985725451478,0.1211422036188499
HSTrans,50,0.1288898024914074,0.3669703468775271,0.1532758237689744,0.123435450714877
HSTrans,100,0.0914533803334417,0.2508861455410164,0.0901361865710698,0.0944917587388437
