model,fold,MAP,auc_all,aupr_all,nDCG,P1,P15,R15,spearman,rMSE,MAE
CAFNet100_original,0,0.2074618907062513,0.909107962046224,0.0743866744167965,0.4324261200738605,0.2173228346456693,0.1172703412073495,0.4014217662086655,0.531165078460546,1.2138307033466504,0.8760374
CAFNet100_original,1,0.2098876212445852,0.9148894075578444,0.0942794613341351,0.4199936825903448,0.2080745341614907,0.113250517598344,0.4044677141477766,0.4757393576685318,1.2514505076694231,0.90755314
CAFNet100_original,2,0.2231278675433205,0.9054437025107638,0.0853930564684437,0.4438913041594138,0.2412213740458015,0.1138931297709928,0.4041926944282775,0.5202590447116795,1.3251927487510895,0.97889644
CAFNet100_original,3,0.2092481998388319,0.9134884791185324,0.0883814385861117,0.4166351522670294,0.2024539877300613,0.1108384458077713,0.39251878764351,0.5013293493597232,1.187657546584831,0.8589398
CAFNet100_original,4,0.1819614722971308,0.9085523431982458,0.0786262316288588,0.3959125490214615,0.1756548536209553,0.1083718541345665,0.3762293095860666,0.5122266196251457,1.2315655860581507,0.9000621
CAFNet100_original,5,0.2145241306549648,0.9109697216404732,0.0870943739466862,0.4383062401787289,0.1984615384615384,0.1183589743589747,0.4057271286266734,0.5041964224975537,1.2480147332244913,0.9072928
CAFNet100_original,6,0.2010380006581959,0.9097911945364476,0.0834147251920436,0.4146576279400856,0.2031007751937984,0.1133850129198971,0.3995584849628892,0.5459883570989407,1.208711362219243,0.8954525
CAFNet100_original,7,0.2341995692562575,0.9073017637657474,0.088843266666249,0.4695788617734263,0.28328173374613,0.1219814241486072,0.4198845982541588,0.5347085213849687,1.26936170179425,0.92834395
CAFNet100_original,8,0.1783485859234572,0.915021040074781,0.0864281422606084,0.3972739638992124,0.1919504643962848,0.1078431372549024,0.3774212543804636,0.4637069284700072,1.2192260594914572,0.89310414
CAFNet100_original,9,0.2011465255562725,0.9114072593489726,0.0778183535370772,0.4212074524113606,0.2242990654205607,0.1069574247144346,0.3851160383418548,0.5293266477263681,1.107199079650568,0.80319434
WarmPlus_rank_pop_f3,0,0.2329537006383406,0.8899813674584269,0.0653814830467412,0.4895819355914909,0.3385826771653543,0.1191601049868769,0.3628123111527538,0.5111393414841148,1.3566002424289103,1.0094502
WarmPlus_rank_pop_f3,1,0.2286038698388956,0.8973591265952046,0.0683388012347634,0.4801819035745687,0.3152173913043478,0.1169772256728782,0.3718574222231104,0.501374579045448,1.2652183161885615,0.92029375
WarmPlus_rank_pop_f3,2,0.2275434031788143,0.8961165839603801,0.0680460523587256,0.4599469569344284,0.3068702290076336,0.1187786259541987,0.379224907007212,0.4935274965194718,1.2659609313468785,0.92307436
Decoupled_v2_f3,0,0.21992986940957,0.8765986803338768,0.0637475699483298,0.4839759102767405,0.337007874015748,0.10992125984252,0.3440741412307291,0.6375432461550063,0.753685953636111,0.54676586
Decoupled_v2_f3,1,0.215809936495671,0.8699882219067453,0.066261139515805,0.4810299748788434,0.3229813664596273,0.1100414078674952,0.3552424191308974,0.6385102576073517,0.7436146316433899,0.55225736
Decoupled_v2_f3,2,0.2134911324069693,0.8651964337097573,0.0617275422883306,0.4553168327355548,0.2961832061068702,0.1113486005089061,0.3562946744859858,0.6204243822431892,0.7672822105231732,0.55633396
Decoupled_v3_f3_ab1_ar1,0,0.2269603289163041,0.906059000334549,0.1076278839575405,0.4900187302701269,0.3354330708661417,0.1168503937007877,0.3592289593989448,0.6536626959932992,0.7381136264942242,0.5344655
