setting,fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,QWK,Within1,ordinal_pairs
"lambda0=0.03, epsilon=0.50 (reported)",0,0.808711320790324,0.25797291267429656,74550,2889,75,0.3737752900817934,0.5600971049636666,0.6133333333333333,0.47199999999999986,0.2909889501949112,0.480750373205921,1.219284948814893,0.8512609503433423,0.39554460083586873,0.8303911388023537,2889
"lambda0=0.03, epsilon=0.50 (reported)",1,0.8425981102435907,0.31727275146187406,74550,3457,75,0.41663401755097135,0.6520390278213037,0.7866666666666666,0.5439999999999999,0.26676626530706343,0.48445685606829875,1.1035549425614382,0.7715561950968841,0.38067616651685776,0.8602834827885449,3457
"lambda0=0.03, epsilon=0.50 (reported)",2,0.8355118636198426,0.3701180331185033,74550,4941,75,0.4431818282658178,0.6820888579755376,0.7066666666666667,0.6106666666666666,0.24151067060554715,0.38979233535273505,1.3235482868031578,0.9398865495657444,0.30086808892714256,0.8018619712608783,4941
"lambda0=0.03, epsilon=0.50 (reported)",3,0.8237791322716,0.2694961714346024,74550,3098,75,0.3880247590729564,0.5935057156764045,0.7333333333333333,0.4773333333333333,0.29036827345814337,0.4738841053816889,1.142325900937353,0.7883232159334432,0.360431455058412,0.8544222078760491,3098
"lambda0=0.03, epsilon=0.50 (reported)",4,0.8267685863637431,0.29708002532800803,74550,2835,75,0.3998929538652683,0.6416524447113631,0.7733333333333333,0.5262222222222223,0.284530582069736,0.4148867299042298,1.11245639084792,0.7805998026799063,0.35002877085887274,0.8663139329805997,2835
"lambda0=0.03, epsilon=0.50 (reported)",5,0.761126294783949,0.2902406149409133,74550,4453,75,0.4052611846167645,0.6229614982359685,0.68,0.5448888888888888,0.25127426322172824,0.49065574534018347,1.3025032199366964,0.9404230483751364,0.39226534671896307,0.7920503031664047,4453
"lambda0=0.03, epsilon=0.50 (reported)",6,0.824186372305227,0.3243744464728987,74550,4083,75,0.41931863490370563,0.6523396251326616,0.7466666666666667,0.5537777777777777,0.2725934370226646,0.4858371896057777,1.0804438265869754,0.7936779757851687,0.42259710583257826,0.8670095518001469,4083
"lambda0=0.03, epsilon=0.50 (reported)",7,0.8359814166505077,0.29984149298172746,74550,4023,75,0.38786730782068735,0.5771533618668133,0.6,0.496888888888889,0.2578197898439077,0.5004979781892882,1.0151418431492354,0.7322863627807613,0.43399334251915767,0.8814317673378076,4023
"lambda0=0.03, epsilon=0.50 (reported)",8,0.8104040343445693,0.2710436801130869,74550,3088,75,0.3780579690100461,0.5936834555532928,0.7066666666666667,0.4897777777777778,0.2727249312219662,0.478971068462813,1.1706986571528686,0.8351107169077804,0.38779408491030876,0.8296632124352331,3088
"lambda0=0.03, epsilon=0.50 (reported)",9,0.8065435238375774,0.29744067729857104,74550,4204,75,0.43759940339169723,0.6560641047333763,0.72,0.5519999999999999,0.3122551996500212,0.4402396150186391,1.1801352542390495,0.861257009853305,0.35051256234945893,0.8280209324452902,4204
"lambda0=0.03, epsilon=0.50 (same-code rerun)",0,0.8042386398646343,0.25381745794250177,74550,2889,75,0.38788009829555925,0.5794331146709976,0.6,0.4755555555555556,0.28576754966889284,0.4860281542880229,1.3041883474714366,0.9203431292280023,0.3934977441964842,0.805122879889235,2889
"lambda0=0.03, epsilon=0.50 (same-code rerun)",1,0.8327328468345909,0.2949309971359939,74550,3457,75,0.4144838059256172,0.6511828382675209,0.7733333333333333,0.5413333333333333,0.2660401778215619,0.457499435025761,1.145803148364646,0.8096393755070557,0.37674309540066264,0.8504483656349436,3457
"lambda0=0.03, epsilon=0.50 (same-code rerun)",2,0.8209141817912574,0.35455866013079396,74550,4941,75,0.4404783011036426,0.6956266409065553,0.72,0.6124444444444445,0.2390713616146789,0.4488079754569459,1.1391093085728963,0.8192629321725039,0.36291661341141823,0.8502327464076098,4941
"lambda0=0.03, epsilon=0.50 (same-code rerun)",3,0.8095185960412346,0.2433337064704594,74550,3098,75,0.3977140597936683,0.6035401554257088,0.7466666666666667,0.4835555555555556,0.2897617210004197,0.45522957149276005,1.3432098480389913,0.9191933850306245,0.31773540822181845,0.8085861846352486,3098
"lambda0=0.03, epsilon=0.50 (same-code rerun)",4,0.8471127716129924,0.3175232488747763,74550,2835,75,0.4234916466085738,0.6464349312832288,0.7733333333333333,0.5386666666666667,0.2886535449600605,0.34753157897050624,1.2310294233979908,0.861158192851556,0.28908126221725783,0.8204585537918871,2835
"lambda0=0.03, epsilon=0.50 (same-code rerun)",5,0.7725461747545166,0.2836650549438507,74550,4453,75,0.4016794183619987,0.6203756010996927,0.64,0.5493333333333333,0.26045461521192215,0.5109406421811378,1.3287859917287728,0.9516014445639182,0.42675774751393847,0.8109139905681563,4453
"lambda0=0.03, epsilon=0.50 (same-code rerun)",6,0.8062148940985749,0.31377657623809496,74550,4083,75,0.4214510002972489,0.6574370933379776,0.8,0.5422222222222222,0.2643179720176194,0.5398972274339111,1.1216798252440014,0.8108533629885264,0.45163247789155725,0.8574577516531962,4083
"lambda0=0.03, epsilon=0.50 (same-code rerun)",7,0.7891385666451677,0.26882363799430753,74550,4023,75,0.3741985281133584,0.5757078130044013,0.6266666666666667,0.48800000000000004,0.2567757157309844,0.48797770430779297,1.1700214096856185,0.8643549684265671,0.408290975031361,0.835446184439473,4023
"lambda0=0.03, epsilon=0.50 (same-code rerun)",8,0.8133476528451005,0.2934287865128006,74550,3088,75,0.39080796161065784,0.6075240096795813,0.72,0.4915555555555556,0.2709073827757524,0.4758121734083649,1.1542800875994061,0.8184653395893042,0.4223620315560278,0.8448834196891192,3088
"lambda0=0.03, epsilon=0.50 (same-code rerun)",9,0.8042656925102813,0.28590102610214774,74550,4204,75,0.434252454893782,0.6539252390011963,0.76,0.5351111111111112,0.2983803555427605,0.47675352339433563,1.1395949954246456,0.832638486241523,0.3915580580890158,0.8411037107516651,4204
"lambda0=0.03, epsilon=0.00",0,0.8083106443215637,0.2518845545960253,74550,2889,75,0.37613460316727476,0.5556763022526879,0.6533333333333333,0.47111111111111115,0.28759443095523723,0.4939146555259057,1.2127727954397804,0.8563678949586493,0.41107094725041005,0.8328141225337488,2889
"lambda0=0.03, epsilon=0.00",1,0.8357886473010633,0.3010558348714766,74550,3457,75,0.41625426772167934,0.6478981076199347,0.76,0.5422222222222222,0.2690550036793719,0.43304381149539173,1.2560115226777322,0.8739637946475611,0.3453888671104631,0.8356956899045415,3457
"lambda0=0.03, epsilon=0.00",2,0.8137827918083704,0.34604099011061457,74550,4941,75,0.43465641485519657,0.6801937007884189,0.68,0.6115555555555555,0.2401304909697646,0.5133217298035132,1.1913624610745313,0.8234273910377702,0.41495234855551255,0.8668285772110909,4941
"lambda0=0.03, epsilon=0.00",3,0.8243699188034951,0.2667031732164835,74550,3098,75,0.3987576159368473,0.5989491204676476,0.68,0.47911111111111104,0.28987662805365216,0.4694024695600381,1.2580298397499865,0.8395127719875456,0.351848890538375,0.842801807617818,3098
"lambda0=0.03, epsilon=0.00",4,0.8505960727113904,0.33696640643640596,74550,2835,75,0.4217441298786607,0.652983341612183,0.8266666666666667,0.5386666666666667,0.28567641380730485,0.3403325690087858,1.2468207380637573,0.8602493110367441,0.25867151677440947,0.8285714285714286,2835
"lambda0=0.03, epsilon=0.00",5,0.7388043809851237,0.25922223555288726,74550,4453,75,0.3889168755879438,0.6119242552778722,0.6133333333333333,0.5475555555555555,0.25305507558513357,0.47463351814681903,1.5431473422482378,1.1302547839794592,0.3858140869763247,0.7637547720637772,4453
"lambda0=0.03, epsilon=0.00",6,0.803784236261439,0.3239543492964425,74550,4083,75,0.4267540890793867,0.6531925061406185,0.7866666666666666,0.5511111111111111,0.2762068167308146,0.5262116670782898,1.2485722299620592,0.8871522715884098,0.44120536818420375,0.8437423463139848,4083
"lambda0=0.03, epsilon=0.00",7,0.791876827205103,0.24774421354555196,74550,4023,75,0.3777284929206513,0.5733184981145473,0.6266666666666667,0.4924444444444445,0.2536661779048848,0.5109286487994029,1.1231181037800195,0.7953578899844855,0.44862977766917544,0.8734775043499876,4023
"lambda0=0.03, epsilon=0.00",8,0.8213857870475166,0.2751122799424482,74550,3088,75,0.3794394566813246,0.5918922840077528,0.6666666666666666,0.48355555555555546,0.26822158113397937,0.43622419167066484,1.385680288285216,0.9706213743729912,0.36898008401940086,0.7943652849740933,3088
"lambda0=0.03, epsilon=0.00",9,0.8175927168531631,0.31206260452233137,74550,4204,75,0.4407939000735167,0.6633907304986693,0.76,0.536,0.30451660706973566,0.4776984763323165,1.1201563344706833,0.801931255692873,0.38251480463118026,0.8613225499524263,4204
"lambda0=0.03, epsilon=0.25",0,0.785292750501671,0.2368617886562029,74550,2889,75,0.37297283586961183,0.5612185366748823,0.56,0.4693333333333334,0.2857314950328298,0.4844374954876393,1.2962607943260258,0.9187268468491054,0.3590023126839691,0.7982000692281066,2889
"lambda0=0.03, epsilon=0.25",1,0.8402896960339111,0.3057576407218183,74550,3457,75,0.4127423577732928,0.6395757067339034,0.7333333333333333,0.5386666666666666,0.2664189905792381,0.4765234700215429,1.0743631820989366,0.759640662939796,0.3907251570447595,0.8663581139716517,3457
"lambda0=0.03, epsilon=0.25",2,0.8264615976546639,0.35633672867366173,74550,4941,75,0.4343419744855531,0.6891802445908489,0.7466666666666667,0.6044444444444443,0.2371663584514046,0.46899805960391117,1.1693686536580608,0.8139282310571151,0.36455897526868963,0.8607569317951832,4941
"lambda0=0.03, epsilon=0.25",3,0.8167936475260905,0.25406935416355453,74550,3098,75,0.3951450904792205,0.6016774679485039,0.72,0.4835555555555555,0.2927978950883525,0.42761378480517864,1.4274805674259217,0.9684624335240979,0.3102939376483448,0.8011620400258231,3098
"lambda0=0.03, epsilon=0.25",4,0.8551921584569334,0.3430177169691859,74550,2835,75,0.4164713088573061,0.6408768592967511,0.7466666666666667,0.5271111111111111,0.28758092617782904,0.35860569666142145,1.1986576633720598,0.8317560630290386,0.2931821798905524,0.837037037037037,2835
"lambda0=0.03, epsilon=0.25",5,0.7589885205461704,0.2750941686279143,74550,4453,75,0.3915011050188363,0.6142426973699228,0.64,0.5502222222222222,0.2600398614942231,0.47856528879814314,1.5968142952196984,1.1586067848946575,0.3661449805498569,0.7408488659330789,4453
"lambda0=0.03, epsilon=0.25",6,0.8215440132109647,0.33181369209617106,74550,4083,75,0.4235730659340627,0.6555480959899863,0.7733333333333333,0.5555555555555556,0.2723113195815765,0.4973837458467523,1.1342980942946563,0.8093264480154508,0.39942293658236316,0.8584374234631399,4083
"lambda0=0.03, epsilon=0.25",7,0.8014449530369036,0.2611658256177348,74550,4023,75,0.37952722120202326,0.569768927672389,0.6266666666666667,0.4942222222222222,0.25130197560508627,0.4834600342841571,1.2348182959263174,0.8892894857059567,0.4306285419658349,0.8429033059905543,4023
"lambda0=0.03, epsilon=0.25",8,0.8258174694968143,0.277735114739463,74550,3088,75,0.3814514708972426,0.5943419503323488,0.7066666666666667,0.4968888888888889,0.2734472069569875,0.47180637322929025,1.1253960080784973,0.7933762514375035,0.43837808425035196,0.8601036269430051,3088
"lambda0=0.03, epsilon=0.25",9,0.7928182217606311,0.28646703795177725,74550,4204,75,0.4411279304845345,0.6718801780426583,0.84,0.5395555555555556,0.3082889054648558,0.42389394478937986,1.2694586533634227,0.9425210264271265,0.3333971807470234,0.807802093244529,4204
"lambda0=0.03, epsilon=0.75",0,0.791629265438453,0.23134857881002413,74550,2889,75,0.37062493129273916,0.5642506927436257,0.6266666666666667,0.47822222222222216,0.2918038930987865,0.4799590949953447,1.1977693317872908,0.8458996925769937,0.35598068646428815,0.8210453444098303,2889
"lambda0=0.03, epsilon=0.75",1,0.8368509335539301,0.31234594986579617,74550,3457,75,0.41452369881985246,0.6404199556987751,0.7333333333333333,0.5351111111111112,0.2691861411275681,0.46606052961451816,1.0404132790392033,0.7470684962221609,0.35718330927791386,0.8663581139716517,3457
"lambda0=0.03, epsilon=0.75",2,0.8217902973689137,0.35672746285240975,74550,4941,75,0.44851965994205867,0.681997459615605,0.7466666666666667,0.615111111111111,0.24261501461667076,0.47453304481935066,1.0228774500790572,0.7472552872215584,0.4100304824140871,0.8741145517101802,4941
"lambda0=0.03, epsilon=0.75",3,0.8278429126505383,0.2637531421915492,74550,3098,75,0.4005365057855959,0.6083522098686059,0.72,0.48266666666666663,0.28982208236492574,0.47204096024717507,1.1381627051327983,0.7924652518265628,0.36780035449357595,0.8431245965138799,3098
"lambda0=0.03, epsilon=0.75",4,0.8477667835928544,0.3408063022852792,74550,2835,75,0.4235105271393868,0.6512752019226347,0.72,0.5511111111111111,0.3006734849226339,0.35481041541440667,1.1500863390676244,0.8154250160937166,0.30709830459999754,0.8412698412698413,2835
"lambda0=0.03, epsilon=0.75",5,0.7552439292353859,0.26587556123046824,74550,4453,75,0.3994620285744693,0.6254776222525881,0.6533333333333333,0.5546666666666666,0.25948327001193333,0.46051644274977843,1.364301958616378,1.0105188877267193,0.36359058225928864,0.7574668762631933,4453
"lambda0=0.03, epsilon=0.75",6,0.7986969987473201,0.3094081597610664,74550,4083,75,0.4225707553308584,0.6495247767044353,0.7466666666666667,0.5511111111111112,0.27548552987317454,0.5280621986572427,1.0033957502562016,0.7319435433316049,0.46511023330814316,0.8839088905216752,4083
"lambda0=0.03, epsilon=0.75",7,0.7963525539820991,0.27058852692627045,74550,4023,75,0.3771685574718698,0.5656020483318354,0.5733333333333334,0.5013333333333333,0.2544715316220008,0.5089776674559935,0.9138798630708275,0.6827676581589701,0.4595665962337525,0.9065374098931146,4023
"lambda0=0.03, epsilon=0.75",8,0.8242037273188272,0.28219961596966386,74550,3088,75,0.38163230881224347,0.5937422050416191,0.6666666666666666,0.5013333333333333,0.27995272840187213,0.4655176481959223,1.1302408141818026,0.8121703738066817,0.40492130773911417,0.8390544041450777,3088
