group,model,AP_mean,AP_std,AP_n,nDCG@10_mean,nDCG@10_std,nDCG@10_n,P@15_mean,P@15_std,P@15_n,R@15_mean,R@15_std,R@15_n
frequent,CAFNet,0.43898658736676166,0.21539460823412973,224,0.5350179556395196,0.2942977448089683,224,0.4877976190476191,0.2810931588290508,224,0.28548958230941757,0.17169326794752535,224
frequent,CAFNet-D full,0.504623561373039,0.2222809384675981,224,0.653164587962947,0.2963687621780564,224,0.55625,0.29112537857223836,224,0.337048682744752,0.1890451373923221,224
frequent,CAFNet-D-Ext assoc lambda=0.005,0.4941375723747448,0.21726340949049497,224,0.6541464622390999,0.2907233056637176,224,0.5467261904761905,0.2846674760608024,224,0.3328922577531331,0.18668328764572503,224
frequent,CAFNet-D-Ext assoc lambda=0.01,0.4921093824789728,0.2158695666543845,224,0.6540196399848328,0.2923019378636457,224,0.5467261904761905,0.2832637678225154,224,0.33488327728153094,0.18987635373790743,224
frequent,CAFNet-D-Ext assoc lambda=0.02,0.49449806224755577,0.21774829520750963,224,0.65126802856844,0.28856860569040466,224,0.5428571428571429,0.2884050109695361,224,0.32872175503764794,0.18893335904837846,224
frequent,CAFNet-D-Ext lambda=0.03,0.4955909427575565,0.21671494223016385,224,0.6527803858758532,0.292867753097054,224,0.5464285714285715,0.2863218680344574,224,0.33367619848752106,0.18682695771567584,224
frequent,CAFNet-D-Ext lambda=0.05,0.4926926769811333,0.21612362771871851,224,0.6517847336210617,0.29248338534100254,224,0.5467261904761905,0.29240373905854466,224,0.3272969882967994,0.19205238401120858,224
frequent,CAFNet-D-Ext lambda=0.10,0.4906014896877692,0.2186780536711064,224,0.6518297287715397,0.29936198672353287,224,0.5470238095238097,0.28975372500544416,224,0.33137057155820365,0.18571117290355618,224
frequent,Global popularity,0.5057260651968816,0.21965645287823887,224,0.6584608621222378,0.3005307438739291,224,0.5511904761904762,0.28862951501758083,224,0.3347150138025835,0.1860894742348966,224
middle,CAFNet,0.12005530608248285,0.15862318957622698,191,0.13437542404331002,0.225785245728372,191,0.09040139616055846,0.15292780668184583,191,0.12328602941337673,0.21742710753898928,191
middle,CAFNet-D full,0.1111073511889639,0.127901346339771,191,0.12018613002812809,0.19929257856957658,191,0.08446771378708551,0.1443989113170215,191,0.15344512128115437,0.2575928673772043,191
middle,CAFNet-D-Ext assoc lambda=0.005,0.09305611520610647,0.13701149265733686,191,0.08613164938285585,0.17253900242371265,191,0.06457242582897034,0.10834334834405006,191,0.09522829628677847,0.17759581458302545,191
middle,CAFNet-D-Ext assoc lambda=0.01,0.08489517184667121,0.10819161051484077,191,0.07846105034804653,0.15287820704666963,191,0.068760907504363,0.12479799053006298,191,0.09094195116514645,0.1808133973730217,191
middle,CAFNet-D-Ext assoc lambda=0.02,0.09063318477906654,0.12434664587719053,191,0.08789826619356186,0.16683118516993414,191,0.06457242582897033,0.1074762607624409,191,0.09833664937135898,0.19457644024579376,191
middle,CAFNet-D-Ext lambda=0.03,0.08979523902136054,0.10626797552961093,191,0.08572687376557413,0.15915262215193232,191,0.06980802792321117,0.11327923540958128,191,0.10650189450507055,0.19763741494727494,191
middle,CAFNet-D-Ext lambda=0.05,0.08756729506291838,0.11454835009576185,191,0.0829473505996492,0.1484926612640927,191,0.06701570680628273,0.11270151691854235,191,0.10265671822454293,0.18842370899394295,191
middle,CAFNet-D-Ext lambda=0.10,0.08284718590247775,0.10449910410682399,191,0.08178415494604543,0.15811794050599232,191,0.06596858638743457,0.11546793257192935,191,0.0834796569625963,0.1555351821690164,191
middle,Global popularity,0.07682897859509913,0.10005126185243216,191,0.0832669125594968,0.1369435584208161,191,0.07155322862129145,0.12206544328432804,191,0.09657494026278662,0.18241577581702165,191
rare,CAFNet,0.0650816675159998,0.11775633984221211,162,0.07660257029892845,0.16278445834017938,162,0.03909465020576132,0.07035160114372857,162,0.11956572956159073,0.22743687383773023,162
rare,CAFNet-D full,0.055829247070125945,0.10354299490028637,162,0.05651646084749891,0.14835485350126698,162,0.034567901234567905,0.07135568706936626,162,0.09448609652214027,0.2053182784401649,162
rare,CAFNet-D-Ext assoc lambda=0.005,0.034550829634563414,0.055877811485986015,162,0.029845049284765456,0.0830835909721875,162,0.016460905349794237,0.037197719080144055,162,0.055213792068261915,0.1611605118934243,162
rare,CAFNet-D-Ext assoc lambda=0.01,0.03441065421345269,0.04718689892337274,162,0.028544618482524195,0.08064304742856494,162,0.016460905349794237,0.040056363598530854,162,0.058098046764069,0.16988723063701638,162
rare,CAFNet-D-Ext assoc lambda=0.02,0.04052020909749168,0.07119568396769246,162,0.03363756172134472,0.10503353893846734,162,0.015637860082304528,0.03899582174113922,162,0.06544813453743442,0.2086768859145269,162
rare,CAFNet-D-Ext lambda=0.03,0.0407782253200423,0.0715312914648075,162,0.030526055579244114,0.10256807032778849,162,0.015226337448559672,0.035846995889679274,162,0.05356583030966822,0.16706287467045006,162
rare,CAFNet-D-Ext lambda=0.05,0.04103373240060168,0.09759112726415127,162,0.0317909973063082,0.11584251029827247,162,0.013991769547325103,0.032754475945033744,162,0.04950728468441165,0.15153010165921715,162
rare,CAFNet-D-Ext lambda=0.10,0.04136454690942261,0.06378830892187069,162,0.04418796001637478,0.11105821763422742,162,0.021810699588477367,0.04805692903870439,162,0.08319815008709097,0.224046571291268,162
rare,Global popularity,0.024632841078387868,0.03194558886791276,162,0.03571208423800401,0.11485932531739466,162,0.023868312757201648,0.06109978215113429,162,0.046749169511348006,0.1301383043297956,162
