model,matched_AUROC_mean,matched_AUROC_std,matched_AUPR_mean,matched_AUPR_std
CAFNet,0.6566143961923447,0.11698282302030844,0.6816396944915633,0.10612567711495573
CAFNet-D + neural residual reg=0.01 gamma=0.005,0.6619116390171974,0.11407271559596979,0.7021226310143851,0.10376803684219073
CAFNet-D + neural residual reg=0.01 gamma=0.01,0.6618273040520861,0.1140049124393789,0.7021694106730978,0.10359662422960436
CAFNet-D + neural residual reg=0.01 gamma=0.03,0.6612733346829632,0.11389763748084734,0.7013378311683173,0.10350643011958843
CAFNet-D + neural residual reg=0.05 gamma=0.005,0.6619463736205111,0.11410822049228404,0.7022047851756017,0.10378496131288505
CAFNet-D + neural residual reg=0.05 gamma=0.01,0.6618435484088884,0.11403887893784426,0.7021727831006371,0.10364639060754444
CAFNet-D + neural residual reg=0.05 gamma=0.03,0.6613390738347019,0.11395184389189546,0.7014474406636343,0.10351329051301429
CAFNet-D full,0.6617887182183795,0.11395887692940354,0.702008762764698,0.10358803089435355
Global popularity,0.6219086103948049,0.09611355838320348,0.6831001478547153,0.09596039922428999
Neural residual only reg=0.01,0.5126049549049212,0.07820453206968606,0.5586362277598981,0.0685905443303462
Neural residual only reg=0.05,0.5173815236368772,0.08009677891439854,0.5582722163054861,0.06948036887511412
