model,external_AUROC,external_AUPR,external_pos_gt_neg_rate
CAFNet,0.5034731344199037,0.5060634492372807,0.5057366252837485
CAFNet-D + neural residual reg=0.01 gamma=0.005,0.5023478021669494,0.5056106569814607,0.5082420200095283
CAFNet-D + neural residual reg=0.01 gamma=0.01,0.5036678400491537,0.5071867491618609,0.5109267718521425
CAFNet-D + neural residual reg=0.01 gamma=0.03,0.5089421190121418,0.5134639745214274,0.5211669422414035
CAFNet-D + neural residual reg=0.05 gamma=0.005,0.5023636860697582,0.5056148069379083,0.5081018972620015
CAFNet-D + neural residual reg=0.05 gamma=0.01,0.5036998417395578,0.5071801601046224,0.5108763276630328
CAFNet-D + neural residual reg=0.05 gamma=0.03,0.5090391998905431,0.5134795401019867,0.5214527926463582
CAFNet-D full,0.5018342933527613,0.5053416013962696,0.5055516632570132
Global popularity,0.5022109549844991,0.5055213473160924,0.393352576857327
Neural residual only reg=0.01,0.7757882953417198,0.7448356978732207,0.7798111145363338
Neural residual only reg=0.05,0.7792830935559669,0.7472719253325213,0.7844295602948183
