model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std,matched_AUROC_mean,matched_AUROC_std,matched_AUPR_mean,matched_AUPR_std,external_AUROC,external_AUPR,external_pos_gt_neg_rate
CAFNet,0.3395400820003932,0.17453589653199855,0.49203122426108437,0.29334388492117364,0.4532444444444444,0.2697925234991569,0.23050765801975995,0.1659507718186732,0.6566143961923447,0.11698282302030844,0.6816396944915633,0.10612567711495573,0.5034731344199037,0.5060634492372807,0.5057366252837485
CAFNet-D + neural residual reg=0.01 gamma=0.005,0.40505590125156216,0.18574941229217887,0.6232084088095592,0.29140232711358793,0.5264888888888889,0.2861495907572825,0.27373450302130187,0.18320083976415108,0.6619116390171974,0.11407271559596979,0.7021226310143851,0.10376803684219073,0.5023478021669494,0.5056106569814607,0.5082420200095283
CAFNet-D + neural residual reg=0.01 gamma=0.01,0.40495883009450395,0.1851688692002175,0.6235667757644778,0.2917424982658318,0.5264888888888889,0.2852149065120927,0.2741163707145384,0.18328056151219868,0.6618273040520861,0.1140049124393789,0.7021694106730978,0.10359662422960436,0.5036678400491537,0.5071867491618609,0.5109267718521425
CAFNet-D + neural residual reg=0.01 gamma=0.03,0.40202447473603675,0.18472831758092884,0.6194691728533117,0.2921145023064559,0.5234666666666667,0.2848972206713141,0.27188855985567717,0.18155578845156842,0.6612733346829632,0.11389763748084734,0.7013378311683173,0.10350643011958843,0.5089421190121418,0.5134639745214274,0.5211669422414035
CAFNet-D + neural residual reg=0.05 gamma=0.005,0.40509505384506794,0.18574779816254594,0.6230747523896434,0.2914913748266105,0.5263111111111112,0.2862282140456272,0.27364684208986284,0.18324209027870003,0.6619463736205111,0.11410822049228404,0.7022047851756017,0.10378496131288505,0.5023636860697582,0.5056148069379083,0.5081018972620015
CAFNet-D + neural residual reg=0.05 gamma=0.01,0.40507636417127024,0.18532299813458544,0.6238301381567,0.2918481451189401,0.5270222222222222,0.2859751822722326,0.2742264310906793,0.18381535417312161,0.6618435484088884,0.11403887893784426,0.7021727831006371,0.10364639060754444,0.5036998417395578,0.5071801601046224,0.5108763276630328
CAFNet-D + neural residual reg=0.05 gamma=0.03,0.40208624695995854,0.18452537852236037,0.6198749799589843,0.291613086899943,0.5246222222222222,0.2853615426233995,0.272349073945878,0.18054375440087592,0.6613390738347019,0.11395184389189546,0.7014474406636343,0.10351329051301429,0.5090391998905431,0.5134795401019867,0.5214527926463582
CAFNet-D full,0.40496133485797087,0.1859032773930509,0.6231585196670388,0.29158201570379955,0.5267555555555556,0.28600028804687194,0.2740832362595689,0.18331092622741774,0.6617887182183795,0.11395887692940354,0.702008762764698,0.10358803089435355,0.5018342933527613,0.5053416013962696,0.5055516632570132
Global popularity,0.41250338393862535,0.19002411565453758,0.626687581512255,0.2943221600631689,0.5243555555555556,0.28588303971515333,0.27076540830885504,0.17784696521629223,0.6219086103948049,0.09611355838320348,0.6831001478547153,0.09596039922428999,0.5022109549844991,0.5055213473160924,0.393352576857327
Neural residual only reg=0.01,0.09964658171173024,0.07916739748455745,0.28577358032261896,0.24610386043423704,0.20257777777777777,0.17700266420044442,0.08363094273584311,0.07070534352635185,0.5126049549049212,0.07820453206968606,0.5586362277598981,0.0685905443303462,0.7757882953417198,0.7448356978732207,0.7798111145363338
Neural residual only reg=0.05,0.09130969050702088,0.0784740421990036,0.2432102443099208,0.23432634196544055,0.1839111111111111,0.17446072488817402,0.07226556270126792,0.06507985001476227,0.5173815236368772,0.08009677891439854,0.5582722163054861,0.06948036887511412,0.7792830935559669,0.7472719253325213,0.7844295602948183
