group,model,AP_mean,AP_std
frequent,CAFNet,0.422552850436554,0.20987221873620238
frequent,CAFNet-D + neural residual reg=0.01 gamma=0.005,0.4880903476491401,0.21292321947814588
frequent,CAFNet-D + neural residual reg=0.01 gamma=0.01,0.4880795280650932,0.2124177556540918
frequent,CAFNet-D + neural residual reg=0.01 gamma=0.03,0.48456860138234537,0.21222308397428433
frequent,CAFNet-D + neural residual reg=0.05 gamma=0.005,0.4881296940761335,0.21289922188211927
frequent,CAFNet-D + neural residual reg=0.05 gamma=0.01,0.4881611624846635,0.2124734700318421
frequent,CAFNet-D + neural residual reg=0.05 gamma=0.03,0.4846860314775482,0.21197836394999264
frequent,CAFNet-D full,0.4879777336072625,0.2131928428975669
frequent,Global popularity,0.48681552447043985,0.2141091965344167
frequent,Neural residual only reg=0.01,0.22584076792268817,0.17244389987795417
frequent,Neural residual only reg=0.05,0.2203138366291324,0.1732529089928743
middle,CAFNet,0.12113550009861306,0.16710593128259232
middle,CAFNet-D + neural residual reg=0.01 gamma=0.005,0.11058582327785339,0.13013310708827924
middle,CAFNet-D + neural residual reg=0.01 gamma=0.01,0.10999460176679027,0.12955597574176056
middle,CAFNet-D + neural residual reg=0.01 gamma=0.03,0.11080268962245397,0.1358226445354887
middle,CAFNet-D + neural residual reg=0.05 gamma=0.005,0.11045570992335017,0.1298707764597296
middle,CAFNet-D + neural residual reg=0.05 gamma=0.01,0.11016534063993434,0.12972091224355736
middle,CAFNet-D + neural residual reg=0.05 gamma=0.03,0.10965318644210358,0.13138379978064293
middle,CAFNet-D full,0.11050270452994496,0.13013081083866013
middle,Global popularity,0.07912871381606401,0.11104631264720372
middle,Neural residual only reg=0.01,0.06023381576223317,0.08961729744306544
middle,Neural residual only reg=0.05,0.06178448309575906,0.09380660302274679
rare,CAFNet,0.07010294019575562,0.12256506814490473
rare,CAFNet-D + neural residual reg=0.01 gamma=0.005,0.05874754291304459,0.10463480579306786
rare,CAFNet-D + neural residual reg=0.01 gamma=0.01,0.05864143458896974,0.10438024525476211
rare,CAFNet-D + neural residual reg=0.01 gamma=0.03,0.060836032778023116,0.11630862917961808
rare,CAFNet-D + neural residual reg=0.05 gamma=0.005,0.05882147446047378,0.10484291755718915
rare,CAFNet-D + neural residual reg=0.05 gamma=0.01,0.05871713203002222,0.10458130111258637
rare,CAFNet-D + neural residual reg=0.05 gamma=0.03,0.0610144126634619,0.1162822562582567
rare,CAFNet-D full,0.05848417685193596,0.10368743581989613
rare,Global popularity,0.028477215576140122,0.04086307657514114
rare,Neural residual only reg=0.01,0.027829564456833,0.05890030843126906
rare,Neural residual only reg=0.05,0.027706864602209526,0.05908964998950055
