model,AP_mean,AP_std,AP_n,nDCG@10_mean,nDCG@10_std,nDCG@10_n,P@15_mean,P@15_std,P@15_n,R@15_mean,R@15_std,R@15_n
CAFNet,0.3395400820003932,0.17453589653199855,750,0.49203122426108437,0.29334388492117364,750,0.4532444444444444,0.2697925234991569,750,0.23050765801975995,0.1659507718186732,750
CAFNet-D + ATC kNN k=10 beta=0.05,0.4036049025461276,0.18505393162682285,750,0.6173254270621069,0.2925174100056058,750,0.5194666666666667,0.28243911876321887,750,0.2702884359988737,0.1813291680979537,750
CAFNet-D + ATC kNN k=10 beta=0.1,0.39742446772193246,0.18347615565172604,750,0.6070856180281602,0.2913739263431296,750,0.5115555555555555,0.28074716116322795,750,0.2660314227079549,0.1802365822854482,750
CAFNet-D + ATC kNN k=10 beta=0.2,0.3852389600812854,0.18167657549436056,750,0.5905550511716725,0.29308981526261624,750,0.496,0.27858118499912016,750,0.25482203942867104,0.17318471958650156,750
CAFNet-D + ATC kNN k=10 beta=0.3,0.37494929808959265,0.1797540261410446,750,0.5773272348524086,0.292565184562354,750,0.4838222222222222,0.273014507539804,750,0.24865490272539426,0.17128450857454353,750
CAFNet-D + ATC kNN k=10 beta=0.5,0.3608909392552886,0.17803353506196942,750,0.5592038167431355,0.2913693888853559,750,0.4696000000000001,0.26757242703359513,750,0.24124764520649375,0.1684887611836535,750
CAFNet-D + ATC kNN k=10 beta=0.8,0.34847739217427337,0.17588653094762371,750,0.5416653091983936,0.28911803199071234,750,0.4580444444444444,0.2648632237974494,750,0.2339764683444242,0.1654742976061407,750
CAFNet-D + ATC kNN k=10 beta=1.0,0.3431221880337576,0.1748212407750024,750,0.5351096454972027,0.2887951548089854,750,0.4522666666666667,0.2641964807638526,750,0.23069226760940387,0.16495590139174784,750
CAFNet-D + ATC kNN k=20 beta=0.05,0.40541859030483907,0.18601509188287318,750,0.6200699915457576,0.29239958588453513,750,0.5211555555555556,0.2828844022334026,750,0.27148645508023433,0.18260248675443044,750
CAFNet-D + ATC kNN k=20 beta=0.1,0.4007455168536971,0.18478181630315638,750,0.612190680765581,0.2919029112147603,750,0.5144,0.2820707542427087,750,0.2673947576201446,0.1807613946710339,750
CAFNet-D + ATC kNN k=20 beta=0.2,0.3913423862152612,0.18340385135473622,750,0.5986975450818433,0.29245574429518295,750,0.5012444444444445,0.27924537158261725,750,0.2593785964961785,0.1780392631421234,750
