model,matched_AUROC_mean,matched_AUROC_std,matched_AUROC_n,matched_AUPR_mean,matched_AUPR_std,matched_AUPR_n,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std,pos_gt_ctrl_rate_n
CAFNet,0.6566143961923447,0.11698282302030844,750,0.6816396944915633,0.10612567711495573,750,0.6854501346305287,0.13346103780005428,750
CAFNet-D + ATC kNN k=10 beta=0.05,0.6593640102124987,0.11201959928261558,750,0.699444930927814,0.10229745892772306,750,0.7093807897380872,0.13029489715681672,750
CAFNet-D + ATC kNN k=10 beta=0.1,0.6558644406312181,0.11018524655231589,750,0.6953249756364497,0.10145073682620179,750,0.7063614560096722,0.1293567368621074,750
CAFNet-D + ATC kNN k=10 beta=0.2,0.6491994161906032,0.10728608910030382,750,0.6874609680715249,0.10028184580764507,750,0.6988023006828498,0.126039256028292,750
CAFNet-D + ATC kNN k=10 beta=0.3,0.6442018980610912,0.1058412515382644,750,0.6813620992795697,0.09983595619265637,750,0.691859423844037,0.12384408376945485,750
CAFNet-D + ATC kNN k=10 beta=0.5,0.6375461461079803,0.10466959911741289,750,0.6740054565040436,0.10000138201504336,750,0.6832403253016756,0.12281389438250376,750
CAFNet-D + ATC kNN k=10 beta=0.8,0.6322122675625416,0.10445279980338841,750,0.6681669444993457,0.10026147503311046,750,0.675135510359483,0.12211452847706813,750
CAFNet-D + ATC kNN k=10 beta=1.0,0.6299862693488996,0.10455737102362436,750,0.6657520807461741,0.10038627028839806,750,0.6705731085218946,0.12179720067774863,750
CAFNet-D + ATC kNN k=20 beta=0.05,0.6598762531553141,0.11233780548181797,750,0.7000827125202368,0.10263137694645853,750,0.7101993573303195,0.13012638055395162,750
CAFNet-D + ATC kNN k=20 beta=0.1,0.656618580615885,0.11052992430900664,750,0.6966700500004473,0.10214148515488872,750,0.7075616141032597,0.12954167096932692,750
CAFNet-D + ATC kNN k=20 beta=0.2,0.6507664310307263,0.10817927576228328,750,0.6902693754090787,0.10161795460519922,750,0.7008185501635635,0.12733387395106774,750
CAFNet-D + ATC kNN k=20 beta=0.3,0.6461991453510771,0.10689140259623835,750,0.685128297705676,0.10130248695644141,750,0.6950898087642402,0.12560410746707715,750
CAFNet-D + ATC kNN k=20 beta=0.5,0.6398783356388068,0.10583018944205234,750,0.6783286970107006,0.10118901904177723,750,0.6876457292654156,0.12467856904092159,750
CAFNet-D + ATC kNN k=20 beta=0.8,0.6344304394133371,0.10534804672625245,750,0.6725267576133493,0.10148627519107076,750,0.6798079896761899,0.12439378352681865,750
CAFNet-D + ATC kNN k=20 beta=1.0,0.6322564778032757,0.10544689716949858,750,0.6701967747885648,0.10161617250772992,750,0.6757247262086566,0.12424749239997598,750
CAFNet-D + ATC kNN k=5 beta=0.05,0.6594579123240181,0.1115466249186835,750,0.6993841190606668,0.10206320580884277,750,0.7089374689452274,0.1290570843543783,750
CAFNet-D + ATC kNN k=5 beta=0.1,0.655507867032533,0.10960650982226394,750,0.693900575698067,0.10111149239430782,750,0.7039104068317653,0.1275318859092825,750
CAFNet-D + ATC kNN k=5 beta=0.2,0.6486889205343103,0.10650126791500816,750,0.6848125783717661,0.09989674505721567,750,0.69545615643169,0.12444596710798626,750
CAFNet-D + ATC kNN k=5 beta=0.3,0.644078749143237,0.10525962454698692,750,0.6788313092117217,0.09959454368875843,750,0.6895430975407717,0.12290697278279096,750
CAFNet-D + ATC kNN k=5 beta=0.5,0.6383399541286007,0.10421146794092687,750,0.6717832148489732,0.09975639382826164,750,0.6808222627031802,0.12140934981144223,750
CAFNet-D + ATC kNN k=5 beta=0.8,0.6343737067293952,0.10423993248011854,750,0.6671990421767222,0.09995158964276825,750,0.674638358479998,0.1210175985674185,750
CAFNet-D + ATC kNN k=5 beta=1.0,0.6331567702993067,0.10448427915786054,750,0.6658797143788883,0.10014991616123686,750,0.672471437060937,0.1210153296019102,750
