model,AP_mean,nDCG@10_mean,P@15_mean,R@15_mean,matched_AUROC_mean,matched_AUPR_mean,pos_gt_ctrl_rate_mean
CAFNet,0.3395400820003932,0.49203122426108437,0.4532444444444444,0.23050765801975995,0.6566143961923447,0.6816396944915633,0.6854501346305287
CAFNet-D + ATC kNN k=10 beta=0.05,0.4036049025461276,0.6173254270621069,0.5194666666666667,0.2702884359988737,0.6593640102124987,0.699444930927814,0.7093807897380872
CAFNet-D + ATC kNN k=10 beta=0.1,0.39742446772193246,0.6070856180281602,0.5115555555555555,0.2660314227079549,0.6558644406312181,0.6953249756364497,0.7063614560096722
CAFNet-D + ATC kNN k=10 beta=0.2,0.3852389600812854,0.5905550511716725,0.496,0.25482203942867104,0.6491994161906032,0.6874609680715249,0.6988023006828498
CAFNet-D + ATC kNN k=10 beta=0.3,0.37494929808959265,0.5773272348524086,0.4838222222222222,0.24865490272539426,0.6442018980610912,0.6813620992795697,0.691859423844037
CAFNet-D + ATC kNN k=10 beta=0.5,0.3608909392552886,0.5592038167431355,0.4696000000000001,0.24124764520649375,0.6375461461079803,0.6740054565040436,0.6832403253016756
CAFNet-D + ATC kNN k=10 beta=0.8,0.34847739217427337,0.5416653091983936,0.4580444444444444,0.2339764683444242,0.6322122675625416,0.6681669444993457,0.675135510359483
CAFNet-D + ATC kNN k=10 beta=1.0,0.3431221880337576,0.5351096454972027,0.4522666666666667,0.23069226760940387,0.6299862693488996,0.6657520807461741,0.6705731085218946
CAFNet-D + ATC kNN k=20 beta=0.05,0.40541859030483907,0.6200699915457576,0.5211555555555556,0.27148645508023433,0.6598762531553141,0.7000827125202368,0.7101993573303195
CAFNet-D + ATC kNN k=20 beta=0.1,0.4007455168536971,0.612190680765581,0.5144,0.2673947576201446,0.656618580615885,0.6966700500004473,0.7075616141032597
CAFNet-D + ATC kNN k=20 beta=0.2,0.3913423862152612,0.5986975450818433,0.5012444444444445,0.2593785964961785,0.6507664310307263,0.6902693754090787,0.7008185501635635
CAFNet-D + ATC kNN k=20 beta=0.3,0.3827666574065721,0.5862987034394108,0.4929777777777778,0.25424484574801864,0.6461991453510771,0.685128297705676,0.6950898087642402
CAFNet-D + ATC kNN k=20 beta=0.5,0.3709991959770614,0.5718266875684168,0.47973333333333334,0.24709844084488705,0.6398783356388068,0.6783286970107006,0.6876457292654156
CAFNet-D + ATC kNN k=20 beta=0.8,0.3603277748292774,0.5582203047396443,0.4693333333333333,0.24114932060683103,0.6344304394133371,0.6725267576133493,0.6798079896761899
CAFNet-D + ATC kNN k=20 beta=1.0,0.3553971024169,0.5531875533490258,0.4648888888888889,0.23844060676920292,0.6322564778032757,0.6701967747885648,0.6757247262086566
CAFNet-D + ATC kNN k=5 beta=0.05,0.4018670250329041,0.6148723822720988,0.5185777777777778,0.2696958273464778,0.6594579123240181,0.6993841190606668,0.7089374689452274
CAFNet-D + ATC kNN k=5 beta=0.1,0.392732174813621,0.600448432803526,0.5074666666666667,0.2635622842739556,0.655507867032533,0.693900575698067,0.7039104068317653
CAFNet-D + ATC kNN k=5 beta=0.2,0.3760101068423707,0.5783519221323968,0.4857777777777778,0.24974879516477314,0.6486889205343103,0.6848125783717661,0.69545615643169
CAFNet-D + ATC kNN k=5 beta=0.3,0.364031206973259,0.5614537423540535,0.47093333333333337,0.24122666851544158,0.644078749143237,0.6788313092117217,0.6895430975407717
CAFNet-D + ATC kNN k=5 beta=0.5,0.3489272695426728,0.5388984241845806,0.45520000000000005,0.23194231595136194,0.6383399541286007,0.6717832148489732,0.6808222627031802
CAFNet-D + ATC kNN k=5 beta=0.8,0.33722726355942345,0.5262238017079012,0.4399111111111112,0.22368101317385528,0.6343737067293952,0.6671990421767222,0.674638358479998
CAFNet-D + ATC kNN k=5 beta=1.0,0.33260617853562907,0.5199632538452403,0.43528888888888895,0.2205911545254484,0.6331567702993067,0.6658797143788883,0.672471437060937
CAFNet-D + ATC kNN k=50 beta=0.05,0.405881044458523,0.6211936799963974,0.5222222222222224,0.2719243524367109,0.6598803361620987,0.700282738021045,0.7104321966362552
CAFNet-D + ATC kNN k=50 beta=0.1,0.40153903798340973,0.6127819775412062,0.5152888888888889,0.26790779648740465,0.6565805690665334,0.6968402018623343,0.7078643144383653
CAFNet-D + ATC kNN k=50 beta=0.2,0.39264144332513895,0.5997751883354535,0.5022222222222222,0.259940505917845,0.650658310089791,0.6904805824412837,0.7011792196114885
CAFNet-D + ATC kNN k=50 beta=0.3,0.38510563607623743,0.5895454383073994,0.49466666666666664,0.2556626011478233,0.6461267058414694,0.6856819969704351,0.6954984862277214
CAFNet-D + ATC kNN k=50 beta=0.5,0.3737362618207951,0.5743832439991399,0.4822222222222223,0.24854925040160503,0.6402230588149801,0.6794609741373357,0.6887851798954483
CAFNet-D + ATC kNN k=50 beta=0.8,0.36420274869533836,0.5620699616254412,0.4734222222222223,0.24351734432547273,0.6348185178379919,0.6742187575240822,0.6810355264668309
CAFNet-D + ATC kNN k=50 beta=1.0,0.3596905895995845,0.5573679437770295,0.46871111111111113,0.24091616906828017,0.6326283283637615,0.6719510737617552,0.6774251919579509
CAFNet-D + ATC+target kNN k=10 beta=0.05,0.40371248940029275,0.6167132336469799,0.5203555555555556,0.2703199819536161,0.6594804440141202,0.6993490193817968,0.7092923753358474
CAFNet-D + ATC+target kNN k=10 beta=0.1,0.3971160615585995,0.6067018302173879,0.5125333333333333,0.26568001359871196,0.6558981493760349,0.6949661541504257,0.7058869600903751
CAFNet-D + ATC+target kNN k=10 beta=0.2,0.3840835417470268,0.5879391550880361,0.49635555555555555,0.25480423338021435,0.6490313639771836,0.6868197767904418,0.6979676879739867
CAFNet-D + ATC+target kNN k=10 beta=0.3,0.3739612769238973,0.5737586761490905,0.48426666666666673,0.25016681307585886,0.6443962243990881,0.6810308250279674,0.6911837564403286
CAFNet-D + ATC+target kNN k=10 beta=0.5,0.3598814419345488,0.5526262548620671,0.46897777777777777,0.2409013969424644,0.6378845036200972,0.6735334734007923,0.6829147651174021
CAFNet-D + ATC+target kNN k=10 beta=0.8,0.3479019462780216,0.5375000932658897,0.4567111111111111,0.2332602646328822,0.6327366705286237,0.6676284083498545,0.6759449455454302
CAFNet-D + ATC+target kNN k=10 beta=1.0,0.34270645413095324,0.5310402599379941,0.45066666666666666,0.22997969753787395,0.6304714757220475,0.66524298049932,0.672201124421946
CAFNet-D + ATC+target kNN k=20 beta=0.05,0.40571382735507433,0.619551784454663,0.5221333333333333,0.27158471507574855,0.6596943931444137,0.6998162087220307,0.7099586111335083
CAFNet-D + ATC+target kNN k=20 beta=0.1,0.40082451262170843,0.6115639449306829,0.5151111111111112,0.2673554659180269,0.6564959294613362,0.6964355182462904,0.7070134502280914
CAFNet-D + ATC+target kNN k=20 beta=0.2,0.3906152742888407,0.5969907798887188,0.5036444444444445,0.2601578537880129,0.6504846744364403,0.6898334341537159,0.7010386594900917
CAFNet-D + ATC+target kNN k=20 beta=0.3,0.3819806236332327,0.5855426107317655,0.49324444444444454,0.25494281333345786,0.6457724648528261,0.6846310027009558,0.6946812909039948
CAFNet-D + ATC+target kNN k=20 beta=0.5,0.3705421163716468,0.5705619929915258,0.4780444444444444,0.24542118902208548,0.6397947570237089,0.6781682692063314,0.6870482577291456
CAFNet-D + ATC+target kNN k=20 beta=0.8,0.3597091952351493,0.5563179871007481,0.4669333333333333,0.23879418711671951,0.6341872190808957,0.672125115002832,0.6795614634328672
CAFNet-D + ATC+target kNN k=20 beta=1.0,0.35475905845222055,0.5509285593133848,0.46177777777777784,0.23550948369625613,0.6319162593425981,0.6696444312199127,0.675744449457336
CAFNet-D + ATC+target kNN k=5 beta=0.05,0.40122294253870744,0.6134634493009468,0.5185777777777778,0.2684454173253658,0.6592490945888076,0.6988125615814632,0.7087170790855495
CAFNet-D + ATC+target kNN k=5 beta=0.1,0.3921255107461602,0.5985915649852008,0.5094222222222222,0.26343865752357704,0.6553562155347311,0.6934444777485269,0.7043178335720057
CAFNet-D + ATC+target kNN k=5 beta=0.2,0.3757564841245274,0.5728309959714256,0.4892444444444444,0.25274261026418804,0.648049033465861,0.6836702936367913,0.6954249665665198
CAFNet-D + ATC+target kNN k=5 beta=0.3,0.36408683556244475,0.556188551007178,0.47422222222222227,0.24340968501030374,0.6433163202567082,0.6777615054562983,0.6892447350892057
CAFNet-D + ATC+target kNN k=5 beta=0.5,0.3483325691545587,0.5358481057196199,0.4544000000000001,0.23180495487279856,0.6370106537354021,0.6698515325625548,0.6799851331522265
CAFNet-D + ATC+target kNN k=5 beta=0.8,0.33592365760743187,0.5187733843723218,0.43991111111111114,0.22250577403510935,0.6324933309268533,0.6643852295360503,0.6734057104336303
CAFNet-D + ATC+target kNN k=5 beta=1.0,0.3307559409950143,0.5123486346547869,0.43608888888888897,0.22092624132327257,0.6310540907960694,0.6627137924235956,0.6708943411964161
CAFNet-D + ATC+target kNN k=50 beta=0.05,0.405535311235778,0.6199088322787549,0.5216000000000001,0.27136267684850174,0.6596354399077017,0.6999141344207304,0.7100136410908544
CAFNet-D + ATC+target kNN k=50 beta=0.1,0.40152390374352454,0.6126066126746156,0.5151111111111112,0.267606057186874,0.6564840287573799,0.6966610919961621,0.7075094886711915
CAFNet-D + ATC+target kNN k=50 beta=0.2,0.3922440941714937,0.5989088094851494,0.504,0.2607510865055709,0.6503901026887601,0.6902914732139876,0.7014577516907359
CAFNet-D + ATC+target kNN k=50 beta=0.3,0.3844491219711967,0.5888947226483173,0.4955555555555555,0.25605261773888593,0.6458206751878792,0.6853236404733961,0.6958937168140751
CAFNet-D + ATC+target kNN k=50 beta=0.5,0.37390892237797113,0.5749227362495215,0.4830222222222223,0.24867143396858485,0.6398970054371507,0.6793743962888217,0.688331993361272
CAFNet-D + ATC+target kNN k=50 beta=0.8,0.3641382970940845,0.5612692674351514,0.47333333333333333,0.2429832334355189,0.6343266917038013,0.6737816400186176,0.680885046034174
CAFNet-D + ATC+target kNN k=50 beta=1.0,0.35957039621182746,0.5557354459263942,0.46871111111111113,0.24034889674046417,0.6319743693361134,0.6714563379989661,0.6774104035396974
CAFNet-D full,0.40496133485797087,0.6231585196670388,0.5267555555555556,0.2740832362595689,0.6617887182183795,0.702008762764698,0.7095187162715577
Evidence-kNN ATC k=10,0.24479344915873677,0.47453044568918806,0.4085333333333333,0.2053001917450747,0.6001214158976138,0.6230000655750676,0.45254978803811263
Evidence-kNN ATC k=20,0.27572434100658755,0.5015408886777277,0.4254222222222222,0.2155222273621764,0.6053622284126429,0.6372159250996126,0.4992043737937867
Evidence-kNN ATC k=5,0.20136219997176127,0.43264441321054375,0.3712,0.18158832240431722,0.5942405372285645,0.602063265064228,0.38367708351502394
Evidence-kNN ATC k=50,0.28862309913557777,0.5109878875179564,0.4337777777777778,0.22052143920576472,0.6067712842852432,0.642400871173082,0.5177283967429152
Evidence-kNN ATC+target k=10,0.25201345909931294,0.4719010912239208,0.4074666666666667,0.2048702524943413,0.601158184087512,0.6275282129723733,0.4625473712958962
Evidence-kNN ATC+target k=20,0.28237924926118096,0.5042012786967769,0.42719999999999997,0.21604766900847341,0.6058999214327428,0.6410811190181406,0.5100727630154551
Evidence-kNN ATC+target k=5,0.2060670745747252,0.4322633797138166,0.36622222222222217,0.18022963001067244,0.5922061829444123,0.6035809368228645,0.3907142788973184
Evidence-kNN ATC+target k=50,0.2945735959549276,0.5142286652893404,0.43626666666666664,0.22185973468977635,0.6067773500545476,0.645346194229612,0.5295193129885802
Global popularity,0.41250338393862535,0.626687581512255,0.5243555555555556,0.27076540830885504,0.6219086103948049,0.6831001478547153,0.6549511192233484
