model,AP_mean,nDCG@10_mean,P@15_mean,R@15_mean,matched_AUROC_mean,matched_AUPR_mean,pos_gt_ctrl_rate_mean
CAFNet-D full,0.40496133485797087,0.6231585196670388,0.5267555555555556,0.2740832362595689,0.6617887182183795,0.702008762764698,0.7095187162715577
CAFNet-D + ATC kNN k=50 beta=0.05,0.405881044458523,0.6211936799963974,0.5222222222222224,0.2719243524367109,0.6598803361620987,0.700282738021045,0.7104321966362552
CAFNet-D + ATC kNN k=20 beta=0.05,0.40541859030483907,0.6200699915457576,0.5211555555555556,0.27148645508023433,0.6598762531553141,0.7000827125202368,0.7101993573303195
CAFNet-D + ATC+target kNN k=50 beta=0.05,0.405535311235778,0.6199088322787549,0.5216000000000001,0.27136267684850174,0.6596354399077017,0.6999141344207304,0.7100136410908544
CAFNet-D + ATC+target kNN k=20 beta=0.05,0.40571382735507433,0.619551784454663,0.5221333333333333,0.27158471507574855,0.6596943931444137,0.6998162087220307,0.7099586111335083
CAFNet-D + ATC kNN k=10 beta=0.05,0.4036049025461276,0.6173254270621069,0.5194666666666667,0.2702884359988737,0.6593640102124987,0.699444930927814,0.7093807897380872
CAFNet-D + ATC kNN k=5 beta=0.05,0.4018670250329041,0.6148723822720988,0.5185777777777778,0.2696958273464778,0.6594579123240181,0.6993841190606668,0.7089374689452274
CAFNet-D + ATC+target kNN k=10 beta=0.05,0.40371248940029275,0.6167132336469799,0.5203555555555556,0.2703199819536161,0.6594804440141202,0.6993490193817968,0.7092923753358474
CAFNet-D + ATC+target kNN k=5 beta=0.05,0.40122294253870744,0.6134634493009468,0.5185777777777778,0.2684454173253658,0.6592490945888076,0.6988125615814632,0.7087170790855495
CAFNet-D + ATC kNN k=50 beta=0.1,0.40153903798340973,0.6127819775412062,0.5152888888888889,0.26790779648740465,0.6565805690665334,0.6968402018623343,0.7078643144383653
CAFNet-D + ATC kNN k=20 beta=0.1,0.4007455168536971,0.612190680765581,0.5144,0.2673947576201446,0.656618580615885,0.6966700500004473,0.7075616141032597
CAFNet-D + ATC+target kNN k=50 beta=0.1,0.40152390374352454,0.6126066126746156,0.5151111111111112,0.267606057186874,0.6564840287573799,0.6966610919961621,0.7075094886711915
CAFNet-D + ATC+target kNN k=20 beta=0.1,0.40082451262170843,0.6115639449306829,0.5151111111111112,0.2673554659180269,0.6564959294613362,0.6964355182462904,0.7070134502280914
CAFNet-D + ATC kNN k=10 beta=0.1,0.39742446772193246,0.6070856180281602,0.5115555555555555,0.2660314227079549,0.6558644406312181,0.6953249756364497,0.7063614560096722
CAFNet-D + ATC+target kNN k=10 beta=0.1,0.3971160615585995,0.6067018302173879,0.5125333333333333,0.26568001359871196,0.6558981493760349,0.6949661541504257,0.7058869600903751
CAFNet-D + ATC kNN k=5 beta=0.1,0.392732174813621,0.600448432803526,0.5074666666666667,0.2635622842739556,0.655507867032533,0.693900575698067,0.7039104068317653
CAFNet-D + ATC+target kNN k=5 beta=0.1,0.3921255107461602,0.5985915649852008,0.5094222222222222,0.26343865752357704,0.6553562155347311,0.6934444777485269,0.7043178335720057
CAFNet-D + ATC kNN k=50 beta=0.2,0.39264144332513895,0.5997751883354535,0.5022222222222222,0.259940505917845,0.650658310089791,0.6904805824412837,0.7011792196114885
CAFNet-D + ATC+target kNN k=50 beta=0.2,0.3922440941714937,0.5989088094851494,0.504,0.2607510865055709,0.6503901026887601,0.6902914732139876,0.7014577516907359
CAFNet-D + ATC kNN k=20 beta=0.2,0.3913423862152612,0.5986975450818433,0.5012444444444445,0.2593785964961785,0.6507664310307263,0.6902693754090787,0.7008185501635635
