model,middle,rare,rare_middle_mean
CAFNet,0.12113550009861306,0.07010294019575562,0.09561922014718434
CAFNet-D + ATC kNN k=5 beta=0.05,0.11337445296396265,0.0594346976697806,0.08640457531687162
CAFNet-D + ATC kNN k=20 beta=0.05,0.11352854608910803,0.05841699813325304,0.08597277211118054
CAFNet-D + ATC kNN k=10 beta=0.05,0.11331445807519072,0.05855185061293944,0.08593315434406508
CAFNet-D + ATC kNN k=50 beta=0.05,0.11353891821549467,0.05793434273167326,0.08573663047358396
CAFNet-D + ATC+target kNN k=20 beta=0.05,0.11260472596286186,0.05820891307177892,0.08540681951732039
CAFNet-D + ATC+target kNN k=10 beta=0.05,0.11220530034320694,0.05851908055611496,0.08536219044966095
CAFNet-D + ATC kNN k=20 beta=0.1,0.11156722096105517,0.058737269559451986,0.08515224526025358
CAFNet-D + ATC kNN k=50 beta=0.1,0.11156286722829716,0.05869373231376371,0.08512829977103042
CAFNet-D + ATC+target kNN k=20 beta=0.1,0.11139113683543858,0.05883186176775834,0.08511149930159846
CAFNet-D + ATC+target kNN k=50 beta=0.05,0.11214937909396908,0.05782057532030935,0.08498497720713921
CAFNet-D + ATC+target kNN k=50 beta=0.1,0.11127135507057974,0.05840720546812289,0.08483928026935131
CAFNet-D + ATC+target kNN k=5 beta=0.05,0.11155519192417904,0.057972109538845816,0.08476365073151243
CAFNet-D full,0.11050270452994496,0.05848417685193596,0.08449344069094046
CAFNet-D + ATC kNN k=20 beta=0.2,0.10851397284538734,0.06002728884846077,0.08427063084692406
CAFNet-D + ATC+target kNN k=10 beta=0.1,0.11010956207319408,0.05817364769212086,0.08414160488265747
CAFNet-D + ATC kNN k=5 beta=0.1,0.1095098560110425,0.05850267426584703,0.08400626513844477
CAFNet-D + ATC kNN k=10 beta=0.1,0.11010654103472678,0.0578241277423444,0.0839653343885356
CAFNet-D + ATC+target kNN k=20 beta=0.2,0.10798377576308255,0.059441542846653705,0.08371265930486813
CAFNet-D + ATC kNN k=50 beta=0.2,0.10720755624201,0.06015304167010753,0.08368029895605877
