model,fold,drug_index,drug,side_index,side_effect,true_frequency_label,score,rank,hit15,hit50,hit100,train_positive_count,train_prevalence_rank,prevalence_bin
A3Net,7,158,felbamate,505,insomnia,5,0.860641598701477,327,0,0,0,239,19,common
A3Net,7,651,leuprorelin,683,pain,5,3.675072431564331,113,0,0,0,237,20,common
A3Net,4,362,thalidomide,273,dyspnoea,5,2.7641794681549072,104,0,0,0,234,20,common
A3Net,3,258,mitoxantrone,273,dyspnoea,5,2.837011814117432,106,0,0,0,230,21,common
A3Net,0,179,romidepsin,225,decreased appetite,5,2.1977245807647705,111,0,0,0,228,22,common
A3Net,3,234,loxapine,861,somnolence,5,2.2748589515686035,117,0,0,0,200,25,common
A3Net,3,200,ibuprofen,861,somnolence,5,2.233142375946045,109,0,0,0,200,25,common
A3Net,0,428,oxcarbazepine,861,somnolence,5,2.9952125549316406,103,0,0,0,198,26,common
A3Net,1,116,clonazepam,861,somnolence,5,2.8776512145996094,177,0,0,0,196,25,common
A3Net,2,26,phenytoin,861,somnolence,5,1.6442420482635498,148,0,0,0,196,25,common
A3Net,2,332,risperidone,861,somnolence,5,2.6232447624206543,114,0,0,0,196,25,common
A3Net,0,427,dexrazoxane,334,feeling abnormal,5,2.5758168697357178,113,0,0,0,195,27,common
A3Net,6,240,melphalan,607,myalgia,5,0.709017813205719,424,0,0,0,193,28,common
A3Net,1,41,theophylline,468,hypotension,5,2.7894272804260254,113,0,0,0,193,26,common
A3Net,9,369,tizanidine,861,somnolence,5,1.3491500616073608,288,0,0,0,192,25,common
A3Net,9,51,apomorphine,861,somnolence,5,2.6642661094665527,134,0,0,0,192,25,common
A3Net,5,327,sirolimus,468,hypotension,5,3.313926696777344,113,0,0,0,191,26,common
A3Net,9,115,clomipramine,607,myalgia,5,2.997611284255981,112,0,0,0,191,26,common
A3Net,1,220,lamivudine,334,feeling abnormal,5,1.0893336534500122,279,0,0,0,186,30,common
A3Net,8,185,gemcitabine,334,feeling abnormal,5,1.3834636211395264,174,0,0,0,186,30,common
A3Net,0,232,losartan,35,anaemia,5,0.9508002996444702,527,0,0,0,185,31,common
A3Net,0,179,romidepsin,35,anaemia,5,1.234969139099121,326,0,0,0,185,31,common
A3Net,0,22,cladribine,35,anaemia,5,2.298738956451416,126,0,0,0,185,31,common
A3Net,9,734,sofosbuvir,35,anaemia,5,2.373234510421753,142,0,0,0,184,29,common
A3Net,7,395,vinorelbine,35,anaemia,5,0.7230098843574524,538,0,0,0,182,30,common
A3Net,2,560,pomalidomide,334,feeling abnormal,5,2.5568017959594727,121,0,0,0,182,29,common
A3Net,3,728,ponatinib,35,anaemia,5,1.4664475917816162,150,0,0,0,181,32,common
A3Net,1,637,mifamurtide,35,anaemia,5,1.3373205661773682,137,0,0,0,181,31,common
A3Net,1,522,bortezomib,35,anaemia,5,2.377642869949341,135,0,0,0,181,31,common
A3Net,8,185,gemcitabine,35,anaemia,5,1.6476448774337769,125,0,0,0,181,32,common
A3Net,8,639,ofatumumab,35,anaemia,5,2.909535646438598,118,0,0,0,181,32,common
A3Net,6,240,melphalan,35,anaemia,5,1.6786147356033323,105,0,0,0,179,31,common
A3Net,5,616,dasatinib,35,anaemia,5,0.4938521385192871,594,0,0,0,178,31,common
A3Net,5,24,epirubicin,35,anaemia,5,1.3121503591537476,188,0,0,0,178,31,common
A3Net,3,504,dofetilide,180,chest pain,5,1.0593799352645874,186,0,0,0,178,33,common
A3Net,4,656,belinostat,35,anaemia,5,1.7102346420288086,513,0,0,0,177,33,common
A3Net,4,406,vincristine,35,anaemia,5,1.7171777486801147,220,0,0,0,177,33,common
A3Net,4,297,pamidronic.acid,35,anaemia,5,1.90576171875,182,0,0,0,177,33,common
