model,fold,drug_index,drug,n_positive,hit15_rate,hit50_rate,median_true_rank,mean_true_rank,top15_unobserved_hot20_fraction,top15_unobserved_hot100_fraction
A3Net,7,84,calcitriol,7,0.0,0.14285714285714285,733.0,624.8571428571429,0.3333333333333333,0.9333333333333333
A3Net,6,733,histrelin,11,0.0,0.0,574.0,582.0,0.4666666666666667,0.7333333333333333
A3Net,5,102,ciclopirox,9,0.0,0.1111111111111111,496.0,468.0,0.8666666666666667,1.0
A3Net,3,176,foscarnet,8,0.0,0.0,465.0,463.625,0.7333333333333333,1.0
A3Net,7,535,nitisinone,13,0.0,0.15384615384615385,348.0,308.84615384615387,0.7333333333333333,1.0
A3Net,6,353,tazarotene,19,0.0,0.21052631578947367,331.0,300.6842105263158,0.7333333333333333,0.9333333333333333
A3Net,0,272,naphazoline,6,0.0,0.0,308.5,316.8333333333333,0.8,1.0
A3Net,2,150,trabectedin,6,0.0,0.0,297.5,274.3333333333333,0.4,0.9333333333333333
A3Net,0,42,amiodarone,22,0.0,0.13636363636363635,263.5,335.8181818181818,0.06666666666666667,0.6
A3Net,5,125,cyproterone,7,0.0,0.0,251.0,434.14285714285717,0.8666666666666667,1.0
A3Net,9,732,nafarelin,15,0.0,0.06666666666666667,233.0,363.8,0.26666666666666666,0.5333333333333333
A3Net,0,180,furosemide,20,0.0,0.05,219.5,297.4,0.8666666666666667,1.0
A3Net,5,528,fotemustine,7,0.0,0.2857142857142857,217.0,414.0,0.6666666666666666,0.9333333333333333
A3Net,7,510,bleomycin,5,0.0,0.2,215.0,298.2,0.6,0.8666666666666667
A3Net,8,164,flucloxacillin,22,0.0,0.18181818181818182,209.5,282.04545454545456,0.13333333333333333,0.8666666666666667
A3Net,5,619,glatiramer.acetate,15,0.0,0.06666666666666667,203.0,276.0,0.5333333333333333,0.9333333333333333
A3Net,4,352,gatifloxacin,15,0.0,0.26666666666666666,200.0,339.4,0.7333333333333333,1.0
A3Net,5,592,dabigatran.etexilate,20,0.0,0.15,189.5,322.7,0.8,1.0
A3Net,7,651,leuprorelin,46,0.0,0.021739130434782608,188.5,314.2826086956522,0.0,0.4666666666666667
A3Net,2,52,apraclonidine,8,0.0,0.375,187.0,271.0,0.7333333333333333,0.9333333333333333
A3Net,0,427,dexrazoxane,23,0.0,0.17391304347826086,178.0,418.95652173913044,0.4666666666666667,0.9333333333333333
A3Net,8,533,eslicarbazepine,8,0.0,0.0,171.5,288.5,0.8,1.0
A3Net,3,234,loxapine,15,0.0,0.2,159.0,293.8666666666667,0.2,0.4666666666666667
A3Net,4,562,ospemifene,7,0.0,0.14285714285714285,139.0,167.0,0.8,0.9333333333333333
A3Net,8,5,alprostadil,5,0.0,0.2,133.0,208.8,0.6666666666666666,1.0
A3Net,3,520,agomelatine,7,0.0,0.14285714285714285,119.0,239.85714285714286,0.7333333333333333,1.0
A3Net,7,688,umeclidinium.bromide,5,0.0,0.0,118.0,111.8,0.7333333333333333,1.0
A3Net,2,388,delavirdine,5,0.0,0.4,117.0,326.2,0.5333333333333333,0.6
A3Net,1,745,heparin,19,0.0,0.2631578947368421,113.0,175.47368421052633,0.3333333333333333,1.0
A3Net,9,211,iopromide,25,0.0,0.24,100.0,215.8,0.4666666666666667,0.9333333333333333
A3Net,8,178,fosinopril,7,0.0,0.42857142857142855,96.0,139.28571428571428,0.6,0.8666666666666667
A3Net,1,57,azelaic.acid,8,0.0,0.375,92.0,110.625,0.6,1.0
A3Net,6,483,levosimendan,6,0.0,0.16666666666666666,78.5,89.0,0.4,0.8
A3Net,8,216,isradipine,25,0.0,0.2,70.0,87.2,0.13333333333333333,0.4
A3Net,0,359,terbutaline,21,0.0,0.47619047619047616,54.0,67.80952380952381,0.13333333333333333,0.9333333333333333
A3Net,0,446,naftifine,6,0.0,0.3333333333333333,53.5,194.5,0.3333333333333333,0.7333333333333333
A3Net,8,74,bumetanide,22,0.0,0.5,51.0,158.22727272727272,0.13333333333333333,0.8
A3Net,6,302,penicillamine,6,0.0,0.6666666666666666,47.0,130.66666666666666,0.7333333333333333,0.9333333333333333
A3Net,8,233,lovastatin,12,0.0,0.75,39.5,45.916666666666664,0.0,0.6666666666666666
A3Net,5,360,terconazole,6,0.0,0.6666666666666666,28.5,78.33333333333333,0.0,0.26666666666666666
A3Net,1,107,levofloxacin,6,0.0,0.6666666666666666,27.5,186.16666666666666,0.3333333333333333,1.0
A3Net,7,416,amiloride,5,0.0,0.6,23.0,46.2,0.26666666666666666,0.6
A3Net,7,299,paroxetine,408,0.01715686274509804,0.09313725490196079,378.5,425.00735294117646,0.0,0.13333333333333333
A3Net,0,330,riluzole,265,0.018867924528301886,0.08679245283018867,312.0,370.51698113207544,0.2,0.6666666666666666
A3Net,8,275,nefazodone,141,0.02127659574468085,0.10638297872340426,271.0,370.5177304964539,0.6666666666666666,0.9333333333333333
A3Net,5,72,bromocriptine,43,0.023255813953488372,0.37209302325581395,91.0,175.2093023255814,0.06666666666666667,0.6
A3Net,5,552,pregabalin,536,0.026119402985074626,0.07835820895522388,408.0,430.6063432835821,0.2,0.6
A3Net,3,680,apixaban,38,0.02631578947368421,0.13157894736842105,270.5,360.63157894736844,0.6,0.9333333333333333
A3Net,5,34,salbutamol,76,0.02631578947368421,0.10526315789473684,127.0,245.39473684210526,0.2,0.26666666666666666
A3Net,6,600,lasofoxifene,172,0.029069767441860465,0.11046511627906977,369.5,432.59302325581393,0.3333333333333333,0.9333333333333333
A3Net,5,337,ropinirole,396,0.03282828282828283,0.1111111111111111,299.0,374.5808080808081,0.13333333333333333,0.4
A3Net,9,115,clomipramine,300,0.03333333333333333,0.13,227.0,282.0466666666667,0.06666666666666667,0.6666666666666666
A3Net,8,87,carbamazepine,147,0.034013605442176874,0.16326530612244897,202.0,318.0952380952381,0.0,0.2
A3Net,5,684,regorafenib,29,0.034482758620689655,0.06896551724137931,197.0,273.17241379310343,0.6,1.0
A3Net,5,542,rasagiline,194,0.03608247422680412,0.12371134020618557,304.5,371.39690721649487,0.06666666666666667,0.7333333333333333
A3Net,2,109,escitalopram,383,0.03655352480417755,0.12532637075718014,304.0,358.7023498694517,0.0,0.13333333333333333
A3Net,3,54,atenolol,27,0.037037037037037035,0.37037037037037035,104.0,172.07407407407408,0.5333333333333333,0.9333333333333333
A3Net,7,393,venlafaxine,400,0.0375,0.115,314.5,346.96,0.06666666666666667,0.26666666666666666
A3Net,6,257,mirtazapine,210,0.0380952380952381,0.14285714285714285,287.5,374.5047619047619,0.3333333333333333,0.7333333333333333
A3Net,6,481,ziprasidone,236,0.038135593220338986,0.11864406779661017,314.0,370.021186440678,0.3333333333333333,0.8666666666666667
A3Net,2,88,carmustine,49,0.04081632653061224,0.20408163265306123,156.0,249.53061224489795,0.4,0.9333333333333333
A3Net,3,306,pergolide,293,0.040955631399317405,0.11262798634812286,422.0,444.6143344709898,0.06666666666666667,0.3333333333333333
A3Net,7,182,gabapentin,363,0.04132231404958678,0.12672176308539945,250.0,310.4848484848485,0.0,0.26666666666666666
A3Net,3,171,fluoxetine,307,0.04234527687296417,0.11400651465798045,264.0,352.5830618892508,0.3333333333333333,0.7333333333333333
A3Net,2,332,risperidone,326,0.04294478527607362,0.13803680981595093,238.0,319.93865030674846,0.0,0.3333333333333333
A3Net,6,174,fluvoxamine,300,0.043333333333333335,0.14,347.0,404.89,0.06666666666666667,0.3333333333333333
A3Net,9,334,rivastigmine,346,0.04335260115606936,0.11849710982658959,387.5,419.03757225433526,0.0,0.06666666666666667
A3Net,8,397,zaleplon,230,0.043478260869565216,0.14782608695652175,245.5,322.1434782608696,0.26666666666666666,0.9333333333333333
A3Net,5,261,mometasone,23,0.043478260869565216,0.30434782608695654,83.0,150.69565217391303,0.6666666666666666,1.0
A3Net,9,322,quetiapine,252,0.04365079365079365,0.1626984126984127,185.5,307.87301587301585,0.13333333333333333,0.4666666666666667
A3Net,3,361,testosterone,68,0.04411764705882353,0.25,115.5,212.25,0.2,0.9333333333333333
A3Net,4,339,stavudine,45,0.044444444444444446,0.2222222222222222,73.0,158.57777777777778,0.0,0.2
A3Net,6,288,olanzapine,305,0.04590163934426229,0.1377049180327869,353.0,388.34754098360656,0.06666666666666667,0.4666666666666667
A3Net,3,349,sumatriptan,193,0.046632124352331605,0.18652849740932642,202.0,293.42487046632124,0.2,0.6
A3Net,0,364,tiagabine,235,0.04680851063829787,0.14042553191489363,275.0,356.84255319148934,0.3333333333333333,0.8
A3Net,9,108,citalopram,296,0.0472972972972973,0.14189189189189189,241.5,336.0472972972973,0.0,0.8
A3Net,6,310,pioglitazone,42,0.047619047619047616,0.35714285714285715,69.0,200.42857142857142,0.13333333333333333,0.8
A3Net,9,346,imatinib,251,0.04780876494023904,0.1752988047808765,270.0,366.195219123506,0.0,0.2
A3Net,2,221,lamotrigine,270,0.04814814814814815,0.12962962962962962,275.5,335.14074074074074,0.13333333333333333,0.6666666666666666
A3Net,2,153,estazolam,102,0.049019607843137254,0.23529411764705882,129.5,208.15686274509804,0.3333333333333333,0.9333333333333333
A3Net,4,544,travoprost,81,0.04938271604938271,0.24691358024691357,268.0,320.55555555555554,0.26666666666666666,0.9333333333333333
A3Net,9,329,ribavirin,281,0.0498220640569395,0.1601423487544484,195.0,307.7686832740213,0.0,0.4
A3Net,2,414,desonide,20,0.05,0.2,352.0,425.25,0.5333333333333333,0.9333333333333333
A3Net,3,258,mitoxantrone,78,0.05128205128205128,0.23076923076923078,118.5,239.2051282051282,0.13333333333333333,0.4666666666666667
A3Net,2,372,topiramate,271,0.05166051660516605,0.15129151291512916,255.0,311.3911439114391,0.06666666666666667,0.6
A3Net,4,468,dexmedetomidine,38,0.05263157894736842,0.15789473684210525,202.5,263.63157894736844,0.26666666666666666,0.5333333333333333
A3Net,1,626,tolcapone,208,0.052884615384615384,0.14903846153846154,341.5,406.84134615384613,0.13333333333333333,0.6666666666666666
A3Net,5,341,sertraline,264,0.05303030303030303,0.15151515151515152,218.5,309.4621212121212,0.0,0.4666666666666667
A3Net,6,458,fosphenytoin,187,0.053475935828877004,0.1497326203208556,238.0,326.7860962566845,0.26666666666666666,0.6
A3Net,7,609,nilotinib,276,0.05434782608695652,0.13405797101449277,232.0,345.47463768115944,0.0,0.4666666666666667
A3Net,2,681,boceprevir,236,0.05508474576271186,0.1864406779661017,248.0,339.6271186440678,0.0,0.4
A3Net,5,110,clindamycin,36,0.05555555555555555,0.25,279.0,322.6111111111111,0.3333333333333333,1.0
