scenario,model,fold,mAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@1,R@15,Spearman,RMSE,MAE,pearson,drugAUC,drugAUPR,P5,P10,R5,R10,seconds,auc_rank
warm,A3Net,1,0.1970965690402459,0.904162236901344,0.0760004762952123,0.4127197031116841,0.2,0.1100262467191605,0.0560849553949989,0.3723523060650152,0.4976179745283996,1.3040269561538187,0.96037126,,,,,,,,,
warm,A3Net,2,0.2170631425825119,0.9091442337512556,0.0877677694978237,0.4447732659755506,0.2360248447204969,0.1169772256728783,0.0627390350231882,0.4078920353331917,0.5166836584840135,1.207400663566565,0.8761003,,,,,,,,,
warm,A3Net,3,0.1940838336438327,0.8996726032126849,0.0685938133963537,0.4040753340780555,0.1938931297709923,0.1090076335877867,0.0594539969496363,0.3945327327152313,0.5140555906019749,1.2943556800627176,0.961755,,,,,,,,,
warm,A3Net,4,0.1535153175620655,0.907305874385139,0.0724571523988537,0.3324543026327574,0.1226993865030674,0.1013292433537837,0.0312440271829511,0.3400449476847452,0.49929285245227,1.1716852161590527,0.8360206,,,,,,,,,
warm,A3Net,5,0.2009740857754836,0.908082928584267,0.0776548237095371,0.4045818361142255,0.197226502311248,0.1100154083204936,0.0587652590528723,0.3961864217390894,0.5255225887260465,1.1781624542677636,0.86353666,,,,,,,,,
warm,A3Net,6,0.2093863145417971,0.911229685958896,0.0779535564561734,0.4247538218972688,0.2015384615384615,0.1122051282051285,0.0624327189512514,0.391764044126611,0.5303844057795125,1.206126098989705,0.89264303,,,,,,,,,
warm,A3Net,7,0.1933615942606254,0.904817953024134,0.0770544685170302,0.4063325064909509,0.1953488372093023,0.1100775193798453,0.0560836238962688,0.3912531035100223,0.5305433424510502,1.2529906735997884,0.9324132,,,,,,,,,
warm,A3Net,8,0.1830116129855183,0.9076979051995784,0.076699979442262,0.3911562206231216,0.1780185758513932,0.109287925696595,0.0442254254455283,0.389371087772803,0.5266772272598524,1.258063865802256,0.91860795,,,,,,,,,
warm,A3Net,9,0.2145874236877485,0.9143623353969312,0.0856366301629868,0.4321039257249831,0.2337461300309597,0.114963880288958,0.0665863494811354,0.3951472919548226,0.5043189791640906,1.1999691780423565,0.8811213,,,,,,,,,
warm,A3Net,10,0.1361284575412784,0.899374711653609,0.0560491864216845,0.2909751750794965,0.1012461059190031,0.0871235721703015,0.0246624365369169,0.3031857080890949,0.4926637893944955,1.1771058893433792,0.8491186,,,,,,,,,
warm,CAFNet,1,0.2074618907062513,0.909107962046224,0.0743866744167965,0.4324261200738605,0.2173228346456693,0.1172703412073495,0.0639076336908326,0.4014217662086655,0.531165078460546,1.2138307033466504,0.8760374,,,,,,,,,
warm,CAFNet,2,0.2098876212445852,0.9148894075578444,0.0942794613341351,0.4199936825903448,0.2080745341614907,0.113250517598344,0.0609351943727811,0.4044677141477766,0.4757393576685318,1.2514505076694231,0.90755314,,,,,,,,,
warm,CAFNet,3,0.2231278675433205,0.9054437025107638,0.0853930564684437,0.4438913041594138,0.2412213740458015,0.1138931297709928,0.0772652093473054,0.4041926944282775,0.5202590447116795,1.3251927487510895,0.97889644,,,,,,,,,
warm,CAFNet,4,0.2092481998388319,0.9134884791185324,0.0883814385861117,0.4166351522670294,0.2024539877300613,0.1108384458077713,0.0657757569456326,0.39251878764351,0.5013293493597232,1.187657546584831,0.8589398,,,,,,,,,
warm,CAFNet,5,0.1819614722971308,0.9085523431982458,0.0786262316288588,0.3959125490214615,0.1756548536209553,0.1083718541345665,0.0498661451712699,0.3762293095860666,0.5122266196251457,1.2315655860581507,0.9000621,,,,,,,,,
warm,CAFNet,6,0.2145241306549648,0.9109697216404732,0.0870943739466862,0.4383062401787289,0.1984615384615384,0.1183589743589747,0.0607118495160107,0.4057271286266734,0.5041964224975537,1.2480147332244913,0.9072928,,,,,,,,,
warm,CAFNet,7,0.2010380006581959,0.9097911945364476,0.0834147251920436,0.4146576279400856,0.2031007751937984,0.1133850129198971,0.0592182784423715,0.3995584849628892,0.5459883570989407,1.208711362219243,0.8954525,,,,,,,,,
warm,CAFNet,8,0.2341995692562575,0.9073017637657474,0.088843266666249,0.4695788617734263,0.28328173374613,0.1219814241486072,0.0824735309752678,0.4198845982541588,0.5347085213849687,1.26936170179425,0.92834395,,,,,,,,,
warm,CAFNet,9,0.1783485859234572,0.915021040074781,0.0864281422606084,0.3972739638992124,0.1919504643962848,0.1078431372549024,0.0468993923322266,0.3774212543804636,0.4637069284700072,1.2192260594914572,0.89310414,,,,,,,,,
warm,CAFNet,10,0.2011465255562725,0.9114072593489726,0.0778183535370772,0.4212074524113606,0.2242990654205607,0.1069574247144346,0.0730746729042997,0.3851160383418548,0.5293266477263681,1.107199079650568,0.80319434,,,,,,,,,
cold,A3Net,1,0.2994657754380678,0.809763948154243,0.2118839599709194,0.6040634792975279,0.4533333333333333,0.359111111111111,0.0176979619805014,0.200026954016214,0.387427703931731,1.7065890020838912,1.3418,,,,,,,,,
