Scenario,Model,Input modality,Folds,Spearman,RMSE,MAE
warm,A3Net,SMILES molecular graph; side-effect label features; training frequency matrix,10,0.5138 +/- 0.0144,1.2250 +/- 0.0489,0.8972 +/- 0.0444
warm,CAFNet,SMILES molecular graph; side-effect label features; training frequency matrix,10,0.5119 +/- 0.0263,1.2262 +/- 0.0567,0.8949 +/- 0.0454
cold,A3Net,SMILES molecular graph; side-effect label features; training frequency matrix,10,0.3925 +/- 0.0520,1.7116 +/- 0.0756,1.3555 +/- 0.0836
cold,CAFNet,SMILES molecular graph; side-effect label features; training frequency matrix,10,0.3858 +/- 0.0543,1.7542 +/- 0.0753,1.3939 +/- 0.0662
Warm start,DSGAT,SMILES molecular graph; side-effect label features; training frequency matrix,10,0.4413 +/- 0.0186,1.2761 +/- 0.0996,0.9922 +/- 0.1011
Cold start,DSGAT,SMILES molecular graph; side-effect label features; training frequency matrix,10,0.4378 +/- 0.0623,1.4051 +/- 0.0957,1.1433 +/- 0.1114
Warm start,RF,RDKit/Morgan drug fingerprints; side-effect label/profile features; training frequency matrix,10,0.3186 +/- 0.0175,1.5333 +/- 0.0198,1.1943 +/- 0.0199
Warm start,XGBoost,RDKit/Morgan drug fingerprints; side-effect label/profile features; training frequency matrix,10,0.3097 +/- 0.0119,1.6885 +/- 0.0115,1.4781 +/- 0.0110
Cold start,RF,RDKit/Morgan drug fingerprints; side-effect label/profile features; training frequency matrix,10,0.3602 +/- 0.0524,1.8742 +/- 0.0918,1.6088 +/- 0.0865
Cold start,XGBoost,RDKit/Morgan drug fingerprints; side-effect label/profile features; training frequency matrix,10,0.3471 +/- 0.0445,1.8568 +/- 0.0972,1.6668 +/- 0.1031
Warm start,Global popularity,Training frequency matrix only; side-effect global prevalence and mean frequency,10,0.5009 +/- 0.0151,0.8147 +/- 0.0147,0.6071 +/- 0.0093
Cold start,Global popularity,Training frequency matrix only; side-effect global prevalence and mean frequency,10,0.4938 +/- 0.0612,0.8171 +/- 0.0539,0.6086 +/- 0.0351
Cold start,HSTrans,SMILES substructure tokens; side-effect substructure tokens; training frequency matrix,10,0.3639 +/- 0.0627,2.0445 +/- 0.1048,1.6386 +/- 0.1109
