scenario,fold,model,mean,std,minimum,maximum,median_row_std
cold,0,CAFNet,1.085229637017055,0.902311024800222,-2.249183177947998,5.7108659744262695,0.8411551276488106
cold,0,CAFNet-D,-1.9408717811811655,1.9134108999333899,-8.188813209533691,3.203997611999512,1.723733119429771
cold,1,CAFNet,1.1011255494720134,0.9450394882882237,-2.398831844329834,6.03541898727417,0.8539145968555854
cold,1,CAFNet-D,-2.258535845108295,1.9978821258437192,-9.29257583618164,3.1182234287261963,1.8163101286612267
cold,2,CAFNet,0.9625688895994877,0.9259890859349469,-2.050526857376098,5.945380210876465,0.8248543836738036
cold,2,CAFNet-D,-2.5580259652205135,2.216954212699431,-9.494309425354004,3.3083808422088623,1.98906893034084
cold,3,CAFNet,1.1057997157400694,0.9414910803734218,-1.9849612712860107,5.936630725860596,0.8558300690210829
cold,3,CAFNet-D,-2.355862599156802,1.9999599624437634,-9.111591339111328,3.208197116851806,1.8480547691571831
cold,4,CAFNet,1.1287956821921548,0.9164938249236448,-3.359229326248169,6.363222122192383,0.8482400216030714
cold,4,CAFNet-D,-1.955077858760542,1.8831109820017329,-8.89757251739502,3.242663860321045,1.7623345511288222
cold,5,CAFNet,1.1214242684820668,0.9546743465208133,-2.641163110733032,5.864410400390625,0.8838130754123193
cold,5,CAFNet-D,-2.2175205960692206,2.200416875648752,-10.36617946624756,3.3704729080200195,2.03543979063556
cold,6,CAFNet,1.086236909812544,0.9259551164039808,-2.5035712718963623,5.517864227294922,0.8542766825060375
cold,6,CAFNet-D,-2.2181848231154446,2.0590675019402913,-10.579704284667969,3.452245712280273,1.9026554793810695
cold,7,CAFNet,1.0655146228902774,0.9098674257669117,-1.7174474000930786,5.328551292419434,0.8376830807237126
cold,7,CAFNet-D,-2.3462745067655715,2.0881046523929645,-9.155305862426758,3.340292692184448,1.9286336029905742
cold,8,CAFNet,1.1076197134348968,0.9504676628873804,-1.7058148384094238,6.586403846740723,0.8617586152030989
cold,8,CAFNet-D,-2.397310441289574,2.1122618980042587,-9.192028045654297,3.3307676315307617,1.9339121036327107
cold,9,CAFNet,1.0730168753253242,0.9290171656944441,-2.1494696140289307,5.745407581329346,0.8405519771568933
cold,9,CAFNet-D,-2.3425508373982287,2.132282948036539,-9.33948802947998,3.234647512435913,2.006914818591279
warm,0,CAFNet,1.0268421257625753,0.9665667467712563,-3.006824,6.568243,0.8396944338007001
warm,0,CAFNet-D,-1.7365116983192495,1.8034771636430753,-8.570417,3.796475,1.6155549174021049
warm,1,CAFNet,0.9601350436136816,0.974843053819289,-2.603506,7.320446,0.8800377461274587
warm,1,CAFNet-D,-1.853411103103957,1.7933885760781774,-10.017112,3.61005,1.6288292016033579
warm,2,CAFNet,0.9882230341891353,0.9919317732353142,-2.512359,7.092334,0.8735381340736583
warm,2,CAFNet-D,-2.0600272885955735,1.9066325295529971,-10.180416,3.8548,1.7459054549220978
warm,3,CAFNet,0.9686384956472167,0.9928030683763427,-3.053998,6.969163,0.895004635674083
warm,3,CAFNet-D,-1.9081561827525158,1.8068968063588453,-10.518229,3.258512,1.6444521709706033
warm,4,CAFNet,1.0560449714822264,1.0045942675667612,-2.465778,7.183074,0.8765885357107774
warm,4,CAFNet-D,-1.929501352666666,1.8315318062713897,-9.436005,3.476078,1.653113354787484
warm,5,CAFNet,1.0181870845875256,0.9873264702354964,-3.260065,7.340481,0.8647978837118593
warm,5,CAFNet-D,-2.284693731955735,1.9946962725347586,-9.892238,3.658233,1.7863826646273249
warm,6,CAFNet,0.9949862203340037,0.9741431567820467,-2.899223,7.305756,0.8799741969454569
warm,6,CAFNet-D,-1.7852242263407112,1.7014390988553423,-8.636195,3.342864,1.5339737233772766
warm,7,CAFNet,0.9786456296338027,0.9932161394916823,-2.919653,6.880361,0.8814323008842629
warm,7,CAFNet-D,-1.720576083431255,1.7028054622692177,-8.809476,3.495448,1.5463165717100442
warm,8,CAFNet,0.9988149306197183,0.9898361236442792,-3.046391,6.630211,0.8795323324150901
warm,8,CAFNet-D,-2.364110788122066,2.0389146282869337,-11.025682,3.468914,1.806599955222009
warm,9,CAFNet,0.9733188727994635,0.9624814839527344,-4.059926,7.029135,0.8206393334823633
warm,9,CAFNet-D,-2.145865546236083,1.9990241696376208,-9.77898,3.77455,1.7801687683161727
