model,matched_AUROC_mean,matched_AUROC_std,matched_AUPR_mean,matched_AUPR_std,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std
CAFNet,0.6574611742408137,0.11364794554628833,0.6831663959869979,0.10226874904186943,0.6885316334056737,0.12796569253807194
CAFNet-D full,0.6645610909346772,0.11176313597063016,0.7036847236613588,0.1017315992051115,0.7145860753584007,0.12940010357812057
Gate piecewise low=0 mid=0 high=0.6 temp=1,0.6877312942151145,0.1212067445681777,0.7168228358800467,0.10896792817156584,0.709652398907203,0.1300814927059387
Gate piecewise low=0 mid=0 high=0.8 temp=1,0.690051372344577,0.11899995352299272,0.714886687114253,0.10851448178962736,0.7106268455052599,0.12757706935879357
Gate piecewise low=0 mid=0 high=0.9 temp=1,0.6887406671356847,0.117049211101844,0.711147819986167,0.10795734320873443,0.7091785123804054,0.12666416895483054
Gate piecewise low=0 mid=0 high=1 temp=1,0.6852264408189167,0.11494314258802886,0.7055488959723687,0.10745702518299374,0.7062245919701412,0.12511447591901018
Gate piecewise low=0 mid=0.2 high=0.6 temp=1,0.6864813601547797,0.12091747025906402,0.7183318490801861,0.10790949716243885,0.7143733480639285,0.13009050479829098
Gate piecewise low=0 mid=0.2 high=0.8 temp=1,0.6915499096155097,0.12058987299768921,0.7206794348008455,0.10787414546797221,0.71535987768754,0.12828181841328826
Gate piecewise low=0 mid=0.2 high=0.9 temp=1,0.6918097727281883,0.11928624370926687,0.7191990673844078,0.10742616659307568,0.7139360123489032,0.1276729534377269
Gate piecewise low=0 mid=0.2 high=1 temp=1,0.6899694652655468,0.1176362137510123,0.7160743840124586,0.10716622675479233,0.7108950136243881,0.12635483389639948
Gate piecewise low=0 mid=0.4 high=0.6 temp=1,0.6811719546800424,0.11855191091014702,0.7152101505027819,0.10651558434178275,0.7163287238145036,0.1308975448570441
Gate piecewise low=0 mid=0.4 high=0.8 temp=1,0.6876573928366232,0.11931680137666935,0.7193407068168044,0.10670342107365965,0.717185186905924,0.129234827886413
Gate piecewise low=0 mid=0.4 high=0.9 temp=1,0.6892182482246092,0.11913297436063129,0.7193052991168758,0.10663810553513085,0.7158247963966045,0.12885737144598047
Gate piecewise low=0 mid=0.4 high=1 temp=1,0.6887017827476226,0.11832885476170311,0.7176490252216842,0.1065659240759342,0.7127557761466886,0.12755395552802293
Gate piecewise low=0 mid=0.6 high=0.6 temp=1,0.6754326913410448,0.11577685684104444,0.71174420205894,0.10513397871699186,0.7169600682733426,0.13114623274345394
Gate piecewise low=0 mid=0.6 high=0.8 temp=1,0.6816816792240347,0.11745570909709913,0.7155788052058146,0.10558505133263821,0.717846080317072,0.12982403028703274
Gate piecewise low=0 mid=0.6 high=0.9 temp=1,0.6836951054595147,0.11749674480708198,0.7160922369198566,0.10527943061702241,0.7165189740839555,0.12948173657090556
Gate piecewise low=0 mid=0.6 high=1 temp=1,0.6838220632748305,0.11731823011526352,0.7150655365416251,0.10541007673976344,0.7133651271214904,0.12832815398561137
Gate piecewise low=0 mid=0.8 high=0.8 temp=1,0.6756910946649918,0.11443167619569784,0.7120449031580878,0.10411472382166392,0.7178410599343259,0.12972103414915315
Gate piecewise low=0 mid=0.8 high=0.9 temp=1,0.6775059292954386,0.11493102395046267,0.7121646383109291,0.1038658971336679,0.7164728941729833,0.12948214911444503
Gate piecewise low=0 mid=0.8 high=1 temp=1,0.6779337432423536,0.11501667724142552,0.7111627897604225,0.10395986754029991,0.7134518864303284,0.12837954974479485
Gate piecewise low=0 mid=0.9 high=0.9 temp=1,0.6744588825475858,0.11350853012499407,0.7105297219882265,0.10323971050187643,0.7161364434340876,0.12913743443156628
Gate piecewise low=0 mid=0.9 high=1 temp=1,0.6748421304842271,0.11385508598144911,0.7093866283898275,0.10339769114181015,0.713100020800513,0.12810589208558887
Gate piecewise low=0.1 mid=0.2 high=0.6 temp=1,0.6855967771874777,0.1204256164948779,0.7177103534145584,0.10737881348247195,0.7166377162888575,0.13000174249498186
Gate piecewise low=0.1 mid=0.2 high=0.8 temp=1,0.691081630586666,0.12069854811916989,0.7206685333120504,0.10757342643748485,0.717624245912469,0.12822137256253469
Gate piecewise low=0.1 mid=0.2 high=0.9 temp=1,0.69178744137781,0.11990085590629304,0.7196188345497144,0.10732505046757593,0.7162003805738321,0.12771834554431785
Gate piecewise low=0.1 mid=0.2 high=1 temp=1,0.6906226983078373,0.11859150545438037,0.7170788436338662,0.10718203193854259,0.7131593818493172,0.12651188760669277
Gate piecewise low=0.1 mid=0.4 high=0.6 temp=1,0.68054440389419,0.1185860617921601,0.7147351224521135,0.10620320088762582,0.7185542234134067,0.1309769556140794
Gate piecewise low=0.1 mid=0.4 high=0.8 temp=1,0.687446145989229,0.12001060058544073,0.7196789496888403,0.10663155358148994,0.7194106865048269,0.12930736772704654
Gate piecewise low=0.1 mid=0.4 high=0.9 temp=1,0.6894529490556807,0.12035023673363596,0.720171797458999,0.10684009675208929,0.7180502959955074,0.12904369617271624
Gate piecewise low=0.1 mid=0.4 high=1 temp=1,0.6896120479713627,0.11991253804791671,0.7192500685117742,0.10691157498877706,0.7149812757455916,0.1278579796535581
Gate piecewise low=0.1 mid=0.6 high=0.6 temp=1,0.6749363620328199,0.11582747544293437,0.7112734823296993,0.10483216204501442,0.7190495758393375,0.13123793997087208
Gate piecewise low=0.1 mid=0.6 high=0.8 temp=1,0.681601653854268,0.11814468430179108,0.7159334479108834,0.10552377504975571,0.7199355878830669,0.12992814236906675
