model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
CAFNet,0.3395400820003932,0.17453589653199855,0.4920312242610845,0.29334388492117364,0.4532444444444445,0.2697925234991569,0.23050765801975995,0.1659507718186732
CAFNet-D full,0.40496133485797087,0.1859032773930509,0.6231585196670388,0.29158201570379955,0.5267555555555555,0.286000288046872,0.2740832362595689,0.18331092622741774
Gate piecewise low=0 mid=0 high=0.6 temp=1,0.2507552226558388,0.1479768798880445,0.36998118091753895,0.27432100712898155,0.34453333333333336,0.2369367883744732,0.1850668136485267,0.16469391275049622
Gate piecewise low=0 mid=0 high=0.8 temp=1,0.18118140268601027,0.1261372248296481,0.2529109716765866,0.24573499180681907,0.24853333333333333,0.207792303273029,0.1341806565889439,0.14413981983086702
Gate piecewise low=0 mid=0 high=0.9 temp=1,0.15090546101082328,0.11379336236469291,0.20833515800514105,0.22680644498902652,0.204,0.1963666407206045,0.10525656152968847,0.12597393864125636
Gate piecewise low=0 mid=0 high=1 temp=1,0.12516616226019686,0.10172839892870657,0.1742741999110131,0.21261092432321352,0.16995555555555555,0.18416266145047264,0.08439279939646105,0.1131156760527389
Gate piecewise low=0 mid=0.2 high=0.6 temp=1,0.30825561929980816,0.16338326878030338,0.49881339244000517,0.2955006199643253,0.4365333333333334,0.2629443364602982,0.23057063781592532,0.1729477229357498
Gate piecewise low=0 mid=0.2 high=0.8 temp=1,0.23690694851378977,0.14575740222748632,0.38701687409056457,0.28326781157219333,0.34186666666666665,0.23667217629621032,0.18333906619444967,0.16249016209729975
Gate piecewise low=0 mid=0.2 high=0.9 temp=1,0.20059081560243697,0.13493171758868708,0.32730833570589923,0.2709330838923201,0.28835555555555553,0.22230760561131088,0.15408939383533168,0.15244990840284323
Gate piecewise low=0 mid=0.2 high=1 temp=1,0.16611028857134463,0.12284578200996919,0.27432665286974284,0.2545959164362913,0.24133333333333334,0.2040779917873039,0.12891604236509402,0.13944260446407558
