model,external_AUROC,external_AUPR,external_pos_gt_neg_rate
CAFNet,0.5150814358592936,0.5161692078845824,0.5218675559790377
CAFNet-D full,0.5165800415560803,0.515147383229201,0.527550934618726
Gate piecewise low=0 mid=0 high=0.6 temp=1,0.5181367770468588,0.5174692384192079,0.5218675559790377
Gate piecewise low=0 mid=0 high=0.8 temp=1,0.517319077113659,0.5158482276787253,0.5209875851245691
Gate piecewise low=0 mid=0 high=0.9 temp=1,0.516419898961945,0.5148597044363982,0.5211164980522938
Gate piecewise low=0 mid=0 high=1 temp=1,0.5152459387004357,0.5138416507715213,0.5206232659809994
Gate piecewise low=0 mid=0.2 high=0.6 temp=1,0.5163179245666571,0.5186431854968648,0.5211445226017992
Gate piecewise low=0 mid=0.2 high=0.8 temp=1,0.5158089468971574,0.5174032337668433,0.5201860830087156
Gate piecewise low=0 mid=0.2 high=0.9 temp=1,0.515094846693584,0.5164029464767959,0.5202869713869349
Gate piecewise low=0 mid=0.2 high=1 temp=1,0.5141017463646893,0.5153068241871344,0.5197489000364319
Gate piecewise low=0 mid=0.4 high=0.6 temp=1,0.5147176859557956,0.5187319292654623,0.5206344758008015
Gate piecewise low=0 mid=0.4 high=0.8 temp=1,0.5143685363375935,0.5179855342501944,0.5196872460275201
Gate piecewise low=0 mid=0.4 high=0.9 temp=1,0.5137260699078218,0.5170934038802772,0.519754504946333
Gate piecewise low=0 mid=0.4 high=1 temp=1,0.512812924012139,0.5160218532349826,0.5191771992265224
Gate piecewise low=0 mid=0.6 high=0.6 temp=1,0.5139894015588,0.518441881079943,0.5204943530532746
Gate piecewise low=0 mid=0.6 high=0.8 temp=1,0.5138119094728686,0.517915880594182,0.519446234901774
Gate piecewise low=0 mid=0.6 high=0.9 temp=1,0.5132522150104666,0.517118146518485,0.5195078889106858
Gate piecewise low=0 mid=0.6 high=1 temp=1,0.5124045988726333,0.5161032643437633,0.518913768461172
Gate piecewise low=0 mid=0.8 high=0.8 temp=1,0.5131767465628589,0.5173972727517009,0.5191771992265224
Gate piecewise low=0 mid=0.8 high=0.9 temp=1,0.5126867697154188,0.5166274676781699,0.5191940139562257
Gate piecewise low=0 mid=0.8 high=1 temp=1,0.5119169216828287,0.5156388392544691,0.5186335229661183
Gate piecewise low=0 mid=0.9 high=0.9 temp=1,0.512344517420835,0.5163140295533639,0.5192892974245439
Gate piecewise low=0 mid=0.9 high=1 temp=1,0.511601983487186,0.5153248380699729,0.5187400162542387
Gate piecewise low=0.1 mid=0.2 high=0.6 temp=1,0.5194443935106697,0.5196928499969875,0.5248381582266065
Gate piecewise low=0.1 mid=0.2 high=0.8 temp=1,0.5195374943422834,0.5190323139637364,0.523879718633523
Gate piecewise low=0.1 mid=0.2 high=0.9 temp=1,0.5192599621620753,0.518351173754561,0.5239806070117423
Gate piecewise low=0.1 mid=0.2 high=1 temp=1,0.5187031256021252,0.5175249880305048,0.5234425356612392
Gate piecewise low=0.1 mid=0.4 high=0.6 temp=1,0.5171045863079625,0.5196992502277865,0.5239750021018412
