model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std,matched_AUROC_mean,matched_AUROC_std,matched_AUPR_mean,matched_AUPR_std,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std,external_AUROC,external_AUPR,external_pos_gt_neg_rate
CAFNet,0.3395400820003932,0.17453589653199855,0.4920312242610845,0.29334388492117364,0.4532444444444445,0.2697925234991569,0.23050765801975995,0.1659507718186732,0.6574611742408137,0.11364794554628833,0.6831663959869979,0.10226874904186943,0.6885316334056737,0.12796569253807194,0.5150814358592936,0.5161692078845824,0.5218675559790377
CAFNet-D full,0.40496133485797087,0.1859032773930509,0.6231585196670388,0.29158201570379955,0.5267555555555555,0.286000288046872,0.2740832362595689,0.18331092622741774,0.6645610909346772,0.11176313597063016,0.7036847236613588,0.1017315992051115,0.7145860753584007,0.12940010357812057,0.5165800415560803,0.515147383229201,0.527550934618726
Gate piecewise low=0 mid=0 high=0.6 temp=1,0.2507552226558388,0.1479768798880445,0.36998118091753895,0.27432100712898155,0.34453333333333336,0.2369367883744732,0.1850668136485267,0.16469391275049622,0.6877312942151145,0.1212067445681777,0.7168228358800467,0.10896792817156584,0.709652398907203,0.1300814927059387,0.5181367770468588,0.5174692384192079,0.5218675559790377
Gate piecewise low=0 mid=0 high=0.8 temp=1,0.18118140268601027,0.1261372248296481,0.2529109716765866,0.24573499180681907,0.24853333333333333,0.207792303273029,0.1341806565889439,0.14413981983086702,0.690051372344577,0.11899995352299272,0.714886687114253,0.10851448178962736,0.7106268455052599,0.12757706935879357,0.517319077113659,0.5158482276787253,0.5209875851245691
Gate piecewise low=0 mid=0 high=0.9 temp=1,0.15090546101082328,0.11379336236469291,0.20833515800514105,0.22680644498902652,0.204,0.1963666407206045,0.10525656152968847,0.12597393864125636,0.6887406671356847,0.117049211101844,0.711147819986167,0.10795734320873443,0.7091785123804054,0.12666416895483054,0.516419898961945,0.5148597044363982,0.5211164980522938
Gate piecewise low=0 mid=0 high=1 temp=1,0.12516616226019686,0.10172839892870657,0.1742741999110131,0.21261092432321352,0.16995555555555555,0.18416266145047264,0.08439279939646105,0.1131156760527389,0.6852264408189167,0.11494314258802886,0.7055488959723687,0.10745702518299374,0.7062245919701412,0.12511447591901018,0.5152459387004357,0.5138416507715213,0.5206232659809994
Gate piecewise low=0 mid=0.2 high=0.6 temp=1,0.30825561929980816,0.16338326878030338,0.49881339244000517,0.2955006199643253,0.4365333333333334,0.2629443364602982,0.23057063781592532,0.1729477229357498,0.6864813601547797,0.12091747025906402,0.7183318490801861,0.10790949716243885,0.7143733480639285,0.13009050479829098,0.5163179245666571,0.5186431854968648,0.5211445226017992
Gate piecewise low=0 mid=0.2 high=0.8 temp=1,0.23690694851378977,0.14575740222748632,0.38701687409056457,0.28326781157219333,0.34186666666666665,0.23667217629621032,0.18333906619444967,0.16249016209729975,0.6915499096155097,0.12058987299768921,0.7206794348008455,0.10787414546797221,0.71535987768754,0.12828181841328826,0.5158089468971574,0.5174032337668433,0.5201860830087156
Gate piecewise low=0 mid=0.2 high=0.9 temp=1,0.20059081560243697,0.13493171758868708,0.32730833570589923,0.2709330838923201,0.28835555555555553,0.22230760561131088,0.15408939383533168,0.15244990840284323,0.6918097727281883,0.11928624370926687,0.7191990673844078,0.10742616659307568,0.7139360123489032,0.1276729534377269,0.515094846693584,0.5164029464767959,0.5202869713869349
Gate piecewise low=0 mid=0.2 high=1 temp=1,0.16611028857134463,0.12284578200996919,0.27432665286974284,0.2545959164362913,0.24133333333333334,0.2040779917873039,0.12891604236509402,0.13944260446407558,0.6899694652655468,0.1176362137510123,0.7160743840124586,0.10716622675479233,0.7108950136243881,0.12635483389639948,0.5141017463646893,0.5153068241871344,0.5197489000364319
Gate piecewise low=0 mid=0.4 high=0.6 temp=1,0.3267624499349614,0.16806755570040582,0.5397494574172347,0.2942265565459116,0.4612444444444445,0.270818137375661,0.24292864179616572,0.17795631992830474,0.6811719546800424,0.11855191091014702,0.7152101505027819,0.10651558434178275,0.7163287238145036,0.1308975448570441,0.5147176859557956,0.5187319292654623,0.5206344758008015
Gate piecewise low=0 mid=0.4 high=0.8 temp=1,0.2613200235132967,0.15369000134006738,0.44084866051341676,0.2904271099522422,0.3839111111111111,0.24893565055450675,0.2053767147300233,0.16740313600171938,0.6876573928366232,0.11931680137666935,0.7193407068168044,0.10670342107365965,0.717185186905924,0.129234827886413,0.5143685363375935,0.5179855342501944,0.5196872460275201
Gate piecewise low=0 mid=0.4 high=0.9 temp=1,0.22316663024398797,0.14492811024973062,0.38206403218580315,0.2839531577416118,0.3296888888888889,0.2339366434790433,0.17601280830372082,0.15826155255470103,0.6892182482246092,0.11913297436063129,0.7193052991168758,0.10663810553513085,0.7158247963966045,0.12885737144598047,0.5137260699078218,0.5170934038802772,0.519754504946333
Gate piecewise low=0 mid=0.4 high=1 temp=1,0.1860780245745471,0.13335450238604435,0.32262578108247686,0.2728482965758962,0.2742222222222222,0.2154314751070401,0.1474437931254153,0.1485924269225152,0.6887017827476226,0.11832885476170311,0.7176490252216842,0.1065659240759342,0.7127557761466886,0.12755395552802293,0.512812924012139,0.5160218532349826,0.5191771992265224
Gate piecewise low=0 mid=0.6 high=0.6 temp=1,0.32752850090794994,0.16802255692955353,0.5424488029378729,0.2937232150004234,0.46488888888888896,0.2712934909570671,0.24487385815110196,0.1787649133250414,0.6754326913410448,0.11577685684104444,0.71174420205894,0.10513397871699186,0.7169600682733426,0.13114623274345394,0.5139894015588,0.518441881079943,0.5204943530532746
Gate piecewise low=0 mid=0.6 high=0.8 temp=1,0.2656938892529218,0.15511362111547292,0.4505554122820435,0.2918046196543782,0.3921777777777778,0.2530534451181006,0.20884474160427732,0.1678377207400721,0.6816816792240347,0.11745570909709913,0.7155788052058146,0.10558505133263821,0.717846080317072,0.12982403028703274,0.5138119094728686,0.517915880594182,0.519446234901774
Gate piecewise low=0 mid=0.6 high=0.9 temp=1,0.22841267079774086,0.14638158691724215,0.3929213055334367,0.2855640556075834,0.34044444444444444,0.2370949466916662,0.18299504030161537,0.16026510735682292,0.6836951054595147,0.11749674480708198,0.7160922369198566,0.10527943061702241,0.7165189740839555,0.12948173657090556,0.5132522150104666,0.517118146518485,0.5195078889106858
