scenario,top_n,rank,side_effect_index,side_effect,train_positive_count
warm,20,1,621,nausea,508
warm,20,2,401,headache,455
warm,20,3,252,dizziness,430
warm,20,4,243,diarrhoea,425
warm,20,5,978,vomiting,400
warm,20,6,80,asthenia,382
warm,20,7,236,dermatitis,363
warm,20,8,778,rash,356
warm,20,9,364,gastrointestinal pain,308
warm,20,10,2,abdominal pain,304
warm,20,11,332,fatigue,295
warm,20,12,758,pruritus,288
warm,20,13,207,constipation,274
warm,20,14,604,musculoskeletal discomfort,265
warm,20,15,269,dyspepsia,261
warm,20,16,129,body temperature increased,257
warm,20,17,215,cough,250
warm,20,18,505,insomnia,245
warm,20,19,683,pain,233
warm,20,20,273,dyspnoea,230
warm,50,1,621,nausea,508
warm,50,2,401,headache,455
warm,50,3,252,dizziness,430
warm,50,4,243,diarrhoea,425
warm,50,5,978,vomiting,400
warm,50,6,80,asthenia,382
warm,50,7,236,dermatitis,363
warm,50,8,778,rash,356
warm,50,9,364,gastrointestinal pain,308
warm,50,10,2,abdominal pain,304
warm,50,11,332,fatigue,295
warm,50,12,758,pruritus,288
warm,50,13,207,constipation,274
warm,50,14,604,musculoskeletal discomfort,265
warm,50,15,269,dyspepsia,261
warm,50,16,129,body temperature increased,257
warm,50,17,215,cough,250
warm,50,18,505,insomnia,245
warm,50,19,683,pain,233
warm,50,20,273,dyspnoea,230
warm,50,21,225,decreased appetite,224
warm,50,22,92,back pain,215
warm,50,23,74,arthralgia,211
warm,50,24,334,feeling abnormal,196
warm,50,25,445,hypertension,193
warm,50,26,696,paraesthesia,193
warm,50,27,861,somnolence,191
warm,50,28,468,hypotension,189
warm,50,29,607,myalgia,184
warm,50,30,35,anaemia,177
warm,50,31,258,dry mouth,175
warm,50,32,180,chest pain,169
warm,50,33,655,oedema,163
warm,50,34,53,anxiety,160
warm,50,35,488,infection,158
warm,50,36,904,thrombocytopenia,156
warm,50,37,432,hyperhidrosis,155
warm,50,38,950,urticaria,154
warm,50,39,599,muscle spasms,153
warm,50,40,656,oedema peripheral,151
warm,50,41,342,flatulence,150
warm,50,42,443,hypersensitivity,149
warm,50,43,720,pharyngitis,148
warm,50,44,265,dysgeusia,146
warm,50,45,246,discomfort,145
warm,50,46,885,tachycardia,145
warm,50,47,838,sinusitis,145
warm,50,48,937,upper respiratory tract infection,140
warm,50,49,970,vertigo,138
warm,50,50,930,tremor,137
cold,20,1,621,nausea,500
cold,20,2,401,headache,469
cold,20,3,252,dizziness,442
cold,20,4,243,diarrhoea,417
cold,20,5,978,vomiting,403
cold,20,6,80,asthenia,392
cold,20,7,236,dermatitis,367
cold,20,8,778,rash,361
cold,20,9,2,abdominal pain,311
cold,20,10,364,gastrointestinal pain,307
cold,20,11,332,fatigue,301
cold,20,12,758,pruritus,301
cold,20,13,207,constipation,279
cold,20,14,604,musculoskeletal discomfort,273
cold,20,15,269,dyspepsia,265
cold,20,16,129,body temperature increased,259
cold,20,17,215,cough,248
cold,20,18,505,insomnia,243
cold,20,19,683,pain,239
cold,20,20,273,dyspnoea,235
cold,50,1,621,nausea,500
cold,50,2,401,headache,469
cold,50,3,252,dizziness,442
cold,50,4,243,diarrhoea,417
cold,50,5,978,vomiting,403
cold,50,6,80,asthenia,392
cold,50,7,236,dermatitis,367
cold,50,8,778,rash,361
cold,50,9,2,abdominal pain,311
cold,50,10,364,gastrointestinal pain,307
cold,50,11,332,fatigue,301
cold,50,12,758,pruritus,301
cold,50,13,207,constipation,279
cold,50,14,604,musculoskeletal discomfort,273
cold,50,15,269,dyspepsia,265
cold,50,16,129,body temperature increased,259
cold,50,17,215,cough,248
cold,50,18,505,insomnia,243
cold,50,19,683,pain,239
cold,50,20,273,dyspnoea,235
cold,50,21,225,decreased appetite,228
cold,50,22,92,back pain,216
cold,50,23,74,arthralgia,215
cold,50,24,607,myalgia,200
cold,50,25,861,somnolence,198
cold,50,26,334,feeling abnormal,195
cold,50,27,468,hypotension,194
cold,50,28,445,hypertension,193
cold,50,29,696,paraesthesia,190
cold,50,30,35,anaemia,185
cold,50,31,180,chest pain,182
cold,50,32,258,dry mouth,173
cold,50,33,655,oedema,171
cold,50,34,432,hyperhidrosis,166
cold,50,35,53,anxiety,160
cold,50,36,904,thrombocytopenia,159
cold,50,37,342,flatulence,156
cold,50,38,950,urticaria,153
cold,50,39,970,vertigo,151
cold,50,40,599,muscle spasms,150
cold,50,41,488,infection,149
cold,50,42,656,oedema peripheral,148
cold,50,43,720,pharyngitis,147
cold,50,44,885,tachycardia,146
cold,50,45,443,hypersensitivity,146
cold,50,46,265,dysgeusia,146
cold,50,47,246,discomfort,145
cold,50,48,838,sinusitis,145
cold,50,49,946,urinary tract infection,145
cold,50,50,930,tremor,143
