scenario,model,fold,removed_top_n_hot_side_effects,MAP,auc_all,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,auc_rank
warm,RF,0,20,0.029660564382511523,0.7702042152402913,0.05950720389848842,0.005309734513274336,0.015575221238938054,0.015221238938053081,0.016047197640117982,0.0012852928782132321,0.019817352332064463,0.03613937657645585,0.059517178715319946,
warm,XGBoost,0,20,0.020316355424229746,0.7252171534685177,0.03035489290364501,0.0,0.009203539823008852,0.008141592920353985,0.010265486725663717,0.0,0.0054774107308901455,0.010180472775463197,0.02268619642531348,
warm,Global popularity,0,20,0.05325991307647485,0.8153388528883918,0.1019361220493689,0.023008849557522124,0.038584070796460125,0.045309734513274365,0.048141592920353915,0.0013137073746895549,0.014703540818976277,0.04695067941885952,0.09828828157372019,
warm,HSTrans,0,20,0.04955415578517478,0.8056611847578604,0.10832165877329603,0.024778761061946902,0.03292035398230085,0.039469026548672625,0.04224188790560466,0.0016600945175368749,0.020504991408181454,0.05635149292648997,0.0969300636741651,
warm,RF,0,50,0.02735048613689171,0.7448944175378274,0.05655980669208857,0.011695906432748537,0.014035087719298253,0.013255360623781668,0.013905133203378812,0.003366524419155998,0.02214879284104204,0.03466232976978363,0.05613994960997656,
warm,XGBoost,0,50,0.016165750142089205,0.6782041965148057,0.025438053482349617,0.0,0.007017543859649124,0.005847953216374271,0.007277452891487985,0.0,0.004693373675739603,0.009199409409311722,0.019276842649089226,
warm,Global popularity,0,50,0.026430102029793283,0.764882777795357,0.022593154604027214,0.0,0.0058479532163742695,0.010526315789473682,0.012605588044184542,0.0,0.0011667710329989096,0.005671033835132155,0.011618745088062788,
warm,HSTrans,0,50,0.026262380498985168,0.7556463023171263,0.0396944298371359,0.005847953216374269,0.008576998050682263,0.01325536062378167,0.014944769330734242,0.0003608386187641343,0.005588438731590149,0.016232562369591485,0.028190978713315506,
warm,RF,1,20,0.026669005543081235,0.7645381356329678,0.05868277020770868,0.01592920353982301,0.013451327433628325,0.014513274336283173,0.01510324483775811,0.002845470734423061,0.01406646368340856,0.034149423084523824,0.054785609921291153,
warm,XGBoost,1,20,0.019540177593430214,0.7287976860616004,0.025599434987326013,0.0,0.006725663716814162,0.006194690265486729,0.007905604719764018,0.0,0.0049642276696681194,0.008015269548143626,0.018602379174648055,
warm,Global popularity,1,20,0.05487264099321658,0.8284249047519371,0.10965499515786305,0.02654867256637168,0.038584070796460146,0.04654867256637173,0.046725663716814095,0.0022241420941053426,0.0163212730582287,0.0521095340290523,0.09627729413304842,
warm,HSTrans,1,20,0.05954377095452801,0.8161947932382203,0.13828224198378414,0.04601769911504425,0.04778761061946896,0.04530973451327442,0.0435398230088495,0.006209043660371095,0.037249491441845695,0.07819873878352093,0.11758817370462003,
