scenario,model,hot_top_n,topk,mean,std
cold,A3Net,20,15,0.6472888888888889,0.0445919527455018
cold,A3Net,50,15,0.8111111111111111,0.031172426351008573
cold,CAFNet,20,15,0.6185777777777778,0.04299145925963647
cold,CAFNet,50,15,0.7911111111111111,0.02978035736016805
cold,Global popularity,20,15,1.0,0.0
cold,Global popularity,50,15,1.0,0.0
cold,HSTrans,20,15,0.8757333333333334,0.0467675335546721
cold,HSTrans,50,15,0.9663999999999999,0.03136768977134307
cold,RF,20,15,0.3142222222222222,0.015454344460009123
cold,RF,50,15,0.5444444444444445,0.022086499113093995
cold,XGBoost,20,15,0.3635555555555555,0.010246883831579585
cold,XGBoost,50,15,0.42764444444444444,0.007091949492167274
warm,Global popularity,20,15,0.6752966401631676,0.0045287039805110025
warm,Global popularity,50,15,0.9733881153899168,0.0016503587598833773
warm,HSTrans,20,15,0.5108119104914416,0.055765378545339916
warm,HSTrans,50,15,0.8289119717156851,0.030267623292642834
warm,RF,20,15,0.10093645467250303,0.0029623709175520176
warm,RF,50,15,0.17001807924714502,0.007393494032989286
warm,XGBoost,20,15,0.1949861264959381,0.004031838979858744
warm,XGBoost,50,15,0.26019479196404804,0.01555012772227827
