scenario,model,hot_top_n,topk,mean,std
cold,A3Net,10,15,0.4352888888888889,0.03453866841544719
cold,A3Net,20,15,0.6472888888888889,0.0445919527455018
cold,A3Net,50,15,0.8111111111111111,0.031172426351008573
cold,A3Net,100,15,0.9188444444444445,0.016523932014448222
cold,CAFNet,10,15,0.4133333333333333,0.03984276366150516
cold,CAFNet,20,15,0.6185777777777778,0.04299145925963647
cold,CAFNet,50,15,0.7911111111111111,0.02978035736016805
cold,CAFNet,100,15,0.9076444444444445,0.023575393463412937
cold,Decoupled-v3,10,15,0.6439999999999999,0.009648983400257048
cold,Decoupled-v3,20,15,0.9298666666666667,0.017329914192687833
cold,Decoupled-v3,50,15,0.9901333333333333,0.008893332222777472
cold,Decoupled-v3,100,15,0.9951111111111111,0.0064406118871953065
cold,Global popularity,10,15,0.6666666666666665,0.0
cold,Global popularity,20,15,1.0,0.0
cold,Global popularity,50,15,1.0,0.0
cold,Global popularity,100,15,1.0,0.0
cold,HSTrans,10,15,0.3984,0.050760666539060646
cold,HSTrans,20,15,0.5807111111111112,0.0612195043200341
cold,HSTrans,50,15,0.7639111111111111,0.041659301406648495
cold,HSTrans,100,15,0.9023111111111112,0.022119069229828977
cold,RF,10,15,0.2633777777777777,0.009845333404669877
cold,RF,20,15,0.3142222222222222,0.015454344460009123
cold,RF,50,15,0.5444444444444445,0.022086499113093995
cold,RF,100,15,0.6152888888888889,0.02341603216632282
cold,XGBoost,10,15,0.3036444444444444,0.004725902705156
cold,XGBoost,20,15,0.3635555555555555,0.010246883831579585
cold,XGBoost,50,15,0.42764444444444444,0.007091949492167274
cold,XGBoost,100,15,0.4277333333333333,0.007071494584972482
warm,Global popularity,10,15,0.2965655803444135,0.0029617680156198488
warm,Global popularity,20,15,0.6752966401631676,0.0045287039805110025
warm,Global popularity,50,15,0.9733881153899168,0.0016503587598833773
warm,Global popularity,100,15,0.9998549107859871,0.00017843446961452933
warm,HSTrans,10,15,0.26644337785701044,0.019345507574790786
warm,HSTrans,20,15,0.5108119104914416,0.055765378545339916
warm,HSTrans,50,15,0.8289119717156851,0.030267623292642834
warm,HSTrans,100,15,0.9714078377036726,0.022302004425516934
warm,RF,10,15,0.07315572536201806,0.002355178274435061
warm,RF,20,15,0.10093645467250303,0.0029623709175520176
warm,RF,50,15,0.17001807924714502,0.007393494032989286
warm,RF,100,15,0.23602601611756127,0.007575561387096343
warm,XGBoost,10,15,0.14365015284554927,0.011720250169710603
warm,XGBoost,20,15,0.1949861264959381,0.004031838979858744
warm,XGBoost,50,15,0.26019479196404804,0.01555012772227827
warm,XGBoost,100,15,0.2698705506490941,0.02287574261349176
