scenario,model,fold,hot_top_n,topk,mean_topk_hot_fraction
warm,RF,0,10,15,0.07401574803149606
warm,XGBoost,0,10,15,0.1457217847769029
warm,Global popularity,0,10,15,0.2935433070866142
warm,HSTrans,0,10,15,0.2775853018372703
warm,RF,0,20,15,0.10351706036745408
warm,XGBoost,0,20,15,0.19223097112860893
warm,Global popularity,0,20,15,0.6705511811023622
warm,HSTrans,0,20,15,0.5196850393700787
warm,RF,0,50,15,0.16136482939632546
warm,XGBoost,0,50,15,0.24482939632545928
warm,Global popularity,0,50,15,0.97249343832021
warm,HSTrans,0,50,15,0.8848293963254595
warm,RF,0,100,15,0.22813648293963257
warm,XGBoost,0,100,15,0.269501312335958
warm,Global popularity,0,100,15,0.999475065616798
warm,HSTrans,0,100,15,0.9900262467191601
warm,RF,1,10,15,0.07308488612836439
warm,XGBoost,1,10,15,0.11149068322981363
warm,Global popularity,1,10,15,0.2961697722567288
warm,HSTrans,1,10,15,0.22577639751552792
warm,RF,1,20,15,0.10672877846790889
warm,XGBoost,1,20,15,0.1952380952380952
warm,Global popularity,1,20,15,0.6782608695652174
warm,HSTrans,1,20,15,0.3839544513457557
warm,RF,1,50,15,0.1730848861283644
warm,XGBoost,1,50,15,0.2579710144927536
warm,Global popularity,1,50,15,0.9757763975155281
warm,HSTrans,1,50,15,0.8092132505175983
warm,RF,1,100,15,0.23788819875776396
warm,XGBoost,1,100,15,0.28012422360248446
warm,Global popularity,1,100,15,0.999896480331263
warm,HSTrans,1,100,15,0.9750517598343686
warm,RF,2,10,15,0.0704325699745547
warm,XGBoost,2,10,15,0.14829516539440202
warm,Global popularity,2,10,15,0.2964885496183206
warm,HSTrans,2,10,15,0.25689567430025445
warm,RF,2,20,15,0.0998473282442748
warm,XGBoost,2,20,15,0.19796437659033073
warm,Global popularity,2,20,15,0.6780661577608144
warm,HSTrans,2,20,15,0.47256997455470734
warm,RF,2,50,15,0.16111959287531807
warm,XGBoost,2,50,15,0.2523155216284987
warm,Global popularity,2,50,15,0.9740458015267176
warm,HSTrans,2,50,15,0.7991857506361324
warm,RF,2,100,15,0.2209669211195929
warm,XGBoost,2,100,15,0.2536386768447837
warm,Global popularity,2,100,15,0.9998982188295167
warm,HSTrans,2,100,15,0.9298727735368958
warm,RF,3,10,15,0.07464212678936605
warm,XGBoost,3,10,15,0.150920245398773
warm,Global popularity,3,10,15,0.2992842535787321
warm,HSTrans,3,10,15,0.27730061349693247
warm,RF,3,20,15,0.09948875255623721
warm,XGBoost,3,20,15,0.19795501022494888
warm,Global popularity,3,20,15,0.6811860940695297
warm,HSTrans,3,20,15,0.4974437627811861
warm,RF,3,50,15,0.1677914110429448
warm,XGBoost,3,50,15,0.26175869120654394
warm,Global popularity,3,50,15,0.9754601226993865
warm,HSTrans,3,50,15,0.8180981595092026
warm,RF,3,100,15,0.23670756646216767
warm,XGBoost,3,100,15,0.2697341513292434
warm,Global popularity,3,100,15,1.0
warm,HSTrans,3,100,15,0.9865030674846627
warm,RF,4,10,15,0.07272727272727274
warm,XGBoost,4,10,15,0.14863893168977912
warm,Global popularity,4,10,15,0.2964560862865947
warm,HSTrans,4,10,15,0.27858243451463793
warm,RF,4,20,15,0.10046224961479197
warm,XGBoost,4,20,15,0.19671289162814584
warm,Global popularity,4,20,15,0.6749871597329226
warm,HSTrans,4,20,15,0.5531587057010786
warm,RF,4,50,15,0.17914740626605033
warm,XGBoost,4,50,15,0.25793528505392915
warm,Global popularity,4,50,15,0.9706214689265538
warm,HSTrans,4,50,15,0.816949152542373
warm,RF,4,100,15,0.24838212634822804
warm,XGBoost,4,100,15,0.2608115048793015
warm,Global popularity,4,100,15,1.0
warm,HSTrans,4,100,15,0.9897277863379557
warm,RF,5,10,15,0.07641025641025642
warm,XGBoost,5,10,15,0.15046153846153842
warm,Global popularity,5,10,15,0.2964102564102564
warm,HSTrans,5,10,15,0.26799999999999996
warm,RF,5,20,15,0.10133333333333332
warm,XGBoost,5,20,15,0.19712820512820511
warm,Global popularity,5,20,15,0.6764102564102563
warm,HSTrans,5,20,15,0.5532307692307693
warm,RF,5,50,15,0.17138461538461539
warm,XGBoost,5,50,15,0.26
warm,Global popularity,5,50,15,0.973025641025641
warm,HSTrans,5,50,15,0.8717948717948717
warm,RF,5,100,15,0.23476923076923076
warm,XGBoost,5,100,15,0.2630769230769231
warm,Global popularity,5,100,15,0.9995897435897436
warm,HSTrans,5,100,15,0.9871794871794873
warm,RF,6,10,15,0.07627906976744186
warm,XGBoost,6,10,15,0.14377260981912143
warm,Global popularity,6,10,15,0.2930232558139535
warm,HSTrans,6,10,15,0.2807235142118863
warm,RF,6,20,15,0.10129198966408268
warm,XGBoost,6,20,15,0.19007751937984496
warm,Global popularity,6,20,15,0.671937984496124
warm,HSTrans,6,20,15,0.5614470284237726
warm,RF,6,50,15,0.17240310077519377
warm,XGBoost,6,50,15,0.26170542635658917
warm,Global popularity,6,50,15,0.9747803617571059
warm,HSTrans,6,50,15,0.8245994832041343
warm,RF,6,100,15,0.23844961240310078
warm,XGBoost,6,100,15,0.262532299741602
warm,Global popularity,6,100,15,0.9998966408268735
warm,HSTrans,6,100,15,0.9792248062015504
warm,RF,7,10,15,0.07296181630546955
warm,XGBoost,7,10,15,0.15005159958720332
warm,Global popularity,7,10,15,0.299484004127967
warm,HSTrans,7,10,15,0.29040247678018577
warm,RF,7,20,15,0.10185758513931886
warm,XGBoost,7,20,15,0.19669762641898864
warm,Global popularity,7,20,15,0.6756449948400414
warm,HSTrans,7,20,15,0.5712074303405573
warm,RF,7,50,15,0.17595459236326108
warm,XGBoost,7,50,15,0.2611971104231166
warm,Global popularity,7,50,15,0.9733746130030959
warm,HSTrans,7,50,15,0.8535603715170278
warm,RF,7,100,15,0.24066047471620228
warm,XGBoost,7,100,15,0.2654282765737874
warm,Global popularity,7,100,15,1.0
warm,HSTrans,7,100,15,0.9824561403508771
warm,RF,8,10,15,0.06893704850361197
warm,XGBoost,8,10,15,0.1459236326109391
warm,Global popularity,8,10,15,0.3018575851393189
warm,HSTrans,8,10,15,0.24530443756449943
warm,RF,8,20,15,0.09525283797729617
warm,XGBoost,8,20,15,0.18668730650154797
warm,Global popularity,8,20,15,0.6795665634674922
warm,HSTrans,8,20,15,0.5014447884416925
warm,RF,8,50,15,0.17884416924664603
warm,XGBoost,8,50,15,0.30020639834881324
warm,Global popularity,8,50,15,0.9726522187822496
warm,HSTrans,8,50,15,0.8022703818369453
warm,RF,8,100,15,0.24158926728586172
warm,XGBoost,8,100,15,0.32910216718266255
warm,Global popularity,8,100,15,0.9998968008255935
warm,HSTrans,8,100,15,0.9571723426212593
warm,RF,9,10,15,0.07206645898234683
warm,XGBoost,9,10,15,0.1412253374870197
warm,Global popularity,9,10,15,0.292938733125649
warm,HSTrans,9,10,15,0.2638629283489097
warm,RF,9,20,15,0.09958463136033228
warm,XGBoost,9,20,15,0.19916926272066457
