scenario,model,fold,hot_top_n,topk,mean_topk_hot_fraction
warm,RF,0,20,15,0.10351706036745408
warm,XGBoost,0,20,15,0.19223097112860893
warm,Global popularity,0,20,15,0.6705511811023622
warm,RF,0,50,15,0.16136482939632546
warm,XGBoost,0,50,15,0.24482939632545928
warm,Global popularity,0,50,15,0.97249343832021
warm,RF,1,20,15,0.10672877846790889
warm,XGBoost,1,20,15,0.1952380952380952
warm,Global popularity,1,20,15,0.6782608695652174
warm,RF,1,50,15,0.1730848861283644
warm,XGBoost,1,50,15,0.2579710144927536
warm,Global popularity,1,50,15,0.9757763975155281
warm,RF,2,20,15,0.0998473282442748
warm,XGBoost,2,20,15,0.19796437659033073
warm,Global popularity,2,20,15,0.6780661577608144
warm,RF,2,50,15,0.16111959287531807
warm,XGBoost,2,50,15,0.2523155216284987
warm,Global popularity,2,50,15,0.9740458015267176
warm,RF,3,20,15,0.09948875255623721
warm,XGBoost,3,20,15,0.19795501022494888
warm,Global popularity,3,20,15,0.6811860940695297
warm,RF,3,50,15,0.1677914110429448
warm,XGBoost,3,50,15,0.26175869120654394
warm,Global popularity,3,50,15,0.9754601226993865
warm,RF,4,20,15,0.10046224961479197
warm,XGBoost,4,20,15,0.19671289162814584
warm,Global popularity,4,20,15,0.6749871597329226
warm,RF,4,50,15,0.17914740626605033
warm,XGBoost,4,50,15,0.25793528505392915
warm,Global popularity,4,50,15,0.9706214689265538
warm,RF,5,20,15,0.10133333333333332
warm,XGBoost,5,20,15,0.19712820512820511
warm,Global popularity,5,20,15,0.6764102564102563
warm,RF,5,50,15,0.17138461538461539
warm,XGBoost,5,50,15,0.26
warm,Global popularity,5,50,15,0.973025641025641
warm,RF,6,20,15,0.10129198966408268
warm,XGBoost,6,20,15,0.19007751937984496
warm,Global popularity,6,20,15,0.671937984496124
warm,RF,6,50,15,0.17240310077519377
warm,XGBoost,6,50,15,0.26170542635658917
warm,Global popularity,6,50,15,0.9747803617571059
warm,RF,7,20,15,0.10185758513931886
warm,XGBoost,7,20,15,0.19669762641898864
warm,Global popularity,7,20,15,0.6756449948400414
warm,RF,7,50,15,0.17595459236326108
warm,XGBoost,7,50,15,0.2611971104231166
warm,Global popularity,7,50,15,0.9733746130030959
warm,RF,8,20,15,0.09525283797729617
warm,XGBoost,8,20,15,0.18668730650154797
warm,Global popularity,8,20,15,0.6795665634674922
warm,RF,8,50,15,0.17884416924664603
warm,XGBoost,8,50,15,0.30020639834881324
warm,Global popularity,8,50,15,0.9726522187822496
warm,RF,9,20,15,0.09958463136033228
warm,XGBoost,9,20,15,0.19916926272066457
warm,Global popularity,9,20,15,0.666355140186916
warm,RF,9,50,15,0.15908618899273103
warm,XGBoost,9,50,15,0.24402907580477676
warm,Global popularity,9,50,15,0.971651090342679
cold,CAFNet,0,20,15,0.6346666666666667
cold,A3Net,0,20,15,0.6240000000000001
cold,RF,0,20,15,0.3048888888888888
cold,XGBoost,0,20,15,0.3653333333333333
cold,Global popularity,0,20,15,1.0
cold,HSTrans,0,20,15,0.912
cold,CAFNet,0,50,15,0.8142222222222221
cold,A3Net,0,50,15,0.8293333333333333
