model,strength,MAP_mean,mAP_loss_vs_fixed,rare_AP_gain_vs_CAFNet_D,middle_AP_gain_vs_CAFNet_D,matched_AUPR_gain_vs_CAFNet_D,top100_removed_MAP_gain_vs_CAFNet_D,mean_gate,rare_gate,middle_gate,frequent_gate,passes_primary_acceptance
learned_gate_shrink_0,0.0,0.4133538020630544,-9.07764288182733e-08,0.015246069448283397,0.02114905039853185,0.0043906392588225485,0.00989936552525554,0.5999999642372131,0.6000000238418579,0.6000000238418579,0.6000000238418579,True
learned_gate_shrink_0.05,0.05,0.4131518224929486,0.00020188879367699641,0.015213222279439165,0.020351442117388013,0.0027811211675677905,0.009906074325767858,0.5999538123607635,0.598690003156662,0.6000034034252166,0.6012962520122528,True
learned_gate_shrink_0.025,0.025,0.4131424136560553,0.00021129763057026185,0.015151863229493842,0.02109809979077465,0.0046717044439715805,0.009679167551658985,0.5999769389629364,0.5993450105190277,0.600001722574234,0.6006481349468231,True
learned_gate_shrink_0.075,0.075,0.41300004277299235,0.0003536685136332207,0.015211159537841398,0.020308028197061,0.0013198813070324222,0.009631116770221895,0.5999306857585907,0.5980349898338317,0.6000050961971283,0.6019443452358246,True
learned_gate_shrink_0.1,0.1,0.4127424574137256,0.0006112538728999528,0.015255437503808325,0.02030940067358465,0.0009111851983970576,0.009637232859603911,0.5999075949192048,0.5973799824714661,0.600006765127182,0.6025924563407898,True
learned_gate_shrink_0.15,0.15,0.4123156049270043,0.0010381063596212603,0.015678572396963505,0.02038036728993281,0.0034055676552176006,0.00952428655483692,0.5998613834381104,0.5960699796676636,0.6000101566314697,0.6038886845111847,True
learned_gate_shrink_0.2,0.2,0.4117136898810438,0.0016400214055817819,0.015581338571735118,0.020727471316429366,0.0022057571346971727,0.009380333408185462,0.599815160036087,0.5947599232196807,0.6000135242938995,0.6051848888397217,True
learned_gate_shrink_0.3,0.3,0.410977000644783,0.002376710641842583,0.016772402083989668,0.020294996190604986,0.0023130751193669585,0.009784865687229846,0.5997227251529693,0.5921398758888244,0.6000202894210815,0.6077773213386536,True
learned_gate_shrink_0.4,0.4,0.4093500070079677,0.004003704278657871,0.0165494110432316,0.020217301794074632,-0.002128733010766215,0.00973033560371217,0.5996302902698517,0.5895198464393616,0.6000270366668701,0.61036975979805,False
learned_gate_shrink_0.6,0.6,0.4069538567776518,0.00639985450897379,0.016620967523726576,0.02045749885720831,0.0018367519929548548,0.009054601592535697,0.5994454085826874,0.5842797577381134,0.6000405371189117,0.6155545592308045,False
