model,strength,MAP,MAP,AUROC,AUROC,AUPR,AUPR,nDCG@10,nDCG@10,P@15,P@15,R@15,R@15,rare_AP,rare_AP,middle_AP,middle_AP,matched_AUPR,matched_AUPR,top100_removed_MAP,top100_removed_MAP,mean_gate,mean_gate,rare_gate,rare_gate,middle_gate,middle_gate,frequent_gate,frequent_gate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
CAFNet-D,,0.4049613348579708,0.02396670249875208,0.8175610655210932,0.023313187090091204,0.29948808058244814,0.032407054669272475,0.6231585196670388,0.040034057456366116,0.5267555555555555,0.04312144460602909,0.27408323625956893,0.021136001292383355,0.06257306331564841,0.017347100366833415,0.09212622391681058,0.021737351382988383,0.6852912448302971,0.013966785033847722,0.1125939119121973,0.014778762587660699,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
CAFNet-DG-fixed,,0.41335371128662557,0.02479998605084943,0.8257332421038228,0.020982520424338708,0.3066322929666806,0.033453176671805,0.6262305335070516,0.04344324287675774,0.5264888888888889,0.04321265881695059,0.2727215657853247,0.019161821394250354,0.07781535219041713,0.02316456606689807,0.11327275470073166,0.024226133679633704,0.6924132826903859,0.017894500999199307,0.12249299484529215,0.016757896627754735,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
learned_gate_shrink_0,0.0,0.4133538020630545,0.024800078952463698,0.8257332391023631,0.020982518477882264,0.3066322897472413,0.033453183862278926,0.6262305335070516,0.04344324287675774,0.5264888888888889,0.04321265881695059,0.2727215657853247,0.019161821394250354,0.07781913276393179,0.023166404048563752,0.11327527431534241,0.024226779698446468,0.6896818840891198,0.015590422321351566,0.12249327743745286,0.01675814054072986,0.5999999642372131,0.0,0.6000000238418579,0.0,0.6000000238418579,0.0,0.6000000238418579,0.0
learned_gate_shrink_0.025,0.025,0.4131424136560553,0.02470073562110888,0.8258144018950538,0.02090523442052412,0.3064695564614558,0.03345153213408049,0.6262283989733146,0.04369385089824502,0.5264,0.04299421596342949,0.27256446887392916,0.019382194230074465,0.07772492654514225,0.02302206282288527,0.11322432370758521,0.024175277300279335,0.6899629492742687,0.01708007207355349,0.12227307946385631,0.016995323229584587,0.5999769389629364,0.0002225903004467568,0.5993450105190277,0.0003211065811926877,0.600001722574234,0.00026660236027631335,0.6006481349468231,0.0001847918782674332
learned_gate_shrink_0.05,0.05,0.41315182249294846,0.024621121457057964,0.8258948371605814,0.020828155921885656,0.3062992762171556,0.03344142771051325,0.6261303163998163,0.04268207672215701,0.5256000000000001,0.04306205685682866,0.27211157368603833,0.019339909103198456,0.07778628559508757,0.023014997119631262,0.11247766603419858,0.022549347624356304,0.6880723659978649,0.017903161532625847,0.12249998623796517,0.016777033508508336,0.5999538123607635,0.00044515172500887425,0.598690003156662,0.0006422069874616249,0.6000034034252166,0.0005331961860292238,0.6012962520122528,0.00036961256528355414
learned_gate_shrink_0.075,0.075,0.41300004277299235,0.02470281748310872,0.8259743902033486,0.020749709273125003,0.30613385329912485,0.033433707120776215,0.625952489733961,0.04271171523998823,0.5252444444444444,0.042653187171152164,0.2719947536192183,0.019395113833903733,0.0777842228534898,0.02305322993600778,0.11243425211387159,0.02263541118018159,0.6866111261373294,0.016045310397420947,0.12222502868241922,0.0169352952946217,0.5999306857585907,0.0006677229934151369,0.5980349898338317,0.000963322489221271,0.6000050961971283,0.0007997909816100159,0.6019443452358246,0.0005544070717105856
learned_gate_shrink_0.1,0.1,0.4127424574137256,0.024757560599336592,0.8260530690442032,0.020670760760204878,0.3059658419854306,0.03342434685900399,0.6254334373895312,0.04293229964676561,0.5245333333333333,0.042655245384919965,0.27168424280249753,0.019287194581919638,0.07782850081945673,0.023055940796287228,0.11243562459039524,0.022744753300178517,0.6862024300286942,0.014286273745375217,0.12223114477180123,0.016917470266932525,0.5999075949192048,0.0008903236635809108,0.5973799824714661,0.0012844066885934215,0.600006765127182,0.0010663798640491715,0.6025924563407898,0.0007392234014741981
learned_gate_shrink_0.15,0.15,0.41231560492700436,0.02472844234606774,0.8262047763084446,0.02050943025769583,0.30561234182542674,0.033377850144098865,0.6251989913457197,0.04360941394234498,0.5244444444444445,0.04273245956105469,0.2713136144632838,0.018895894665973793,0.07825163571261191,0.02317112728143526,0.11250659120674338,0.02287432286830711,0.6886968124855147,0.016439264079466068,0.12211819846703427,0.01667802706605151,0.5998613834381104,0.0013354989243164852,0.5960699796676636,0.001926613428051517,0.6000101566314697,0.0015995250864624022,0.6038886845111847,0.001108822354432838
learned_gate_shrink_0.2,0.2,0.4117136898810438,0.02492886073370317,0.8263514513727166,0.020346123222826286,0.3051787315388403,0.03336643582547194,0.6246266463017615,0.04362132921758776,0.5241777777777779,0.04335666355185121,0.2715868259961968,0.018784823103269538,0.07815440188738353,0.023191415971038052,0.11285369523323993,0.02284329397273898,0.6874970019649943,0.01737569573834655,0.12197424532038278,0.016755419402384928,0.599815160036087,0.001780682074462419,0.5947599232196807,0.002568841372080824,0.6000135242938995,0.002132745451453007,0.6051848888397217,0.0014784523199684386
