drug_row,side_effect_col,label,matched_positive_col,prevalence_bin
0,21,1,21,2
0,984,0,21,2
0,392,0,21,2
0,912,0,21,2
0,114,0,21,2
0,146,0,21,2
0,32,1,32,0
0,881,0,32,0
0,522,0,32,0
0,381,0,32,0
0,974,0,32,0
0,754,0,32,0
0,80,1,80,4
0,258,0,80,4
0,683,0,80,4
0,180,0,80,4
0,92,0,80,4
0,445,0,80,4
0,132,1,132,2
0,869,0,132,2
0,984,0,132,2
0,114,0,132,2
0,460,0,132,2
0,204,0,132,2
0,207,1,207,4
0,683,0,207,4
0,696,0,207,4
0,445,0,207,4
0,2,0,207,4
0,861,0,207,4
0,247,1,247,0
0,986,0,247,0
0,318,0,247,0
0,701,0,247,0
0,228,0,247,0
0,477,0,247,0
0,332,1,332,4
0,243,0,332,4
0,445,0,332,4
0,35,0,332,4
0,2,0,332,4
0,273,0,332,4
0,401,1,401,4
0,92,0,401,4
0,607,0,401,4
0,74,0,401,4
0,269,0,401,4
0,696,0,401,4
0,468,1,468,4
0,683,0,468,4
0,74,0,468,4
0,243,0,468,4
0,607,0,468,4
0,35,0,468,4
0,505,1,505,4
0,273,0,505,4
0,445,0,505,4
0,225,0,505,4
0,252,0,505,4
0,683,0,505,4
0,621,1,621,4
0,252,0,621,4
0,225,0,621,4
0,861,0,621,4
0,74,0,621,4
0,2,0,621,4
0,655,1,655,3
0,808,0,655,3
0,181,0,655,3
0,904,0,655,3
0,656,0,655,3
0,28,0,655,3
0,688,1,688,3
0,443,0,688,3
0,930,0,688,3
0,904,0,688,3
0,838,0,688,3
0,656,0,688,3
0,758,1,758,4
0,74,0,758,4
0,683,0,758,4
0,269,0,758,4
0,252,0,758,4
0,35,0,758,4
0,778,1,778,4
0,35,0,778,4
0,861,0,778,4
0,607,0,778,4
0,236,0,778,4
0,215,0,778,4
0,793,1,793,0
0,477,0,793,0
0,522,0,793,0
0,266,0,793,0
0,228,0,793,0
0,523,0,793,0
0,832,1,832,3
0,838,0,832,3
0,937,0,832,3
0,930,0,832,3
0,234,0,832,3
0,539,0,832,3
0,883,1,883,3
0,656,0,883,3
0,342,0,883,3
0,181,0,883,3
0,488,0,883,3
0,265,0,883,3
0,944,1,944,1
0,300,0,944,1
0,279,0,944,1
0,519,0,944,1
0,33,0,944,1
0,22,0,944,1
0,950,1,950,3
0,885,0,950,3
0,620,0,950,3
0,564,0,950,3
0,720,0,950,3
0,28,0,950,3
0,970,1,970,3
0,181,0,970,3
0,432,0,970,3
0,885,0,970,3
0,904,0,970,3
0,234,0,970,3
0,978,1,978,4
0,225,0,978,4
0,696,0,978,4
0,273,0,978,4
0,258,0,978,4
0,445,0,978,4
1,28,1,28,3
1,883,0,28,3
1,620,0,28,3
1,342,0,28,3
1,808,0,28,3
1,688,0,28,3
1,35,1,35,4
1,74,0,35,4
1,236,0,35,4
1,92,0,35,4
1,225,0,35,4
1,215,0,35,4
1,53,1,53,3
1,937,0,53,3
1,883,0,53,3
1,342,0,53,3
1,808,0,53,3
1,946,0,53,3
1,80,1,80,4
1,215,0,80,4
1,180,0,80,4
1,236,0,80,4
1,74,0,80,4
1,2,0,80,4
1,132,1,132,2
1,227,0,132,2
1,984,0,132,2
1,204,0,132,2
1,303,0,132,2
1,114,0,132,2
1,181,1,181,3
1,937,0,181,3
1,832,0,181,3
1,688,0,181,3
1,342,0,181,3
1,883,0,181,3
1,207,1,207,4
1,74,0,207,4
1,215,0,207,4
1,236,0,207,4
1,92,0,207,4
1,225,0,207,4
1,228,1,228,0
1,381,0,228,0
1,986,0,228,0
1,32,0,228,0
1,522,0,228,0
1,333,0,228,0
1,234,1,234,3
1,904,0,234,3
1,937,0,234,3
1,620,0,234,3
1,883,0,234,3
1,946,0,234,3
1,243,1,243,4
1,225,0,243,4
1,215,0,243,4
1,92,0,243,4
1,2,0,243,4
1,180,0,243,4
1,247,1,247,0
1,986,0,247,0
1,455,0,247,0
1,405,0,247,0
1,691,0,247,0
1,477,0,247,0
1,252,1,252,4
1,2,0,252,4
1,180,0,252,4
1,225,0,252,4
1,92,0,252,4
1,215,0,252,4
1,258,1,258,4
1,2,0,258,4
1,215,0,258,4
1,180,0,258,4
1,225,0,258,4
1,236,0,258,4
1,265,1,265,3
1,342,0,265,3
1,832,0,265,3
1,656,0,265,3
1,620,0,265,3
1,539,0,265,3
1,269,1,269,4
1,215,0,269,4
1,74,0,269,4
1,92,0,269,4
1,225,0,269,4
1,2,0,269,4
1,273,1,273,4
1,215,0,273,4
1,236,0,273,4
1,74,0,273,4
1,225,0,273,4
1,180,0,273,4
1,306,1,306,2
1,227,0,306,2
1,275,0,306,2
1,431,0,306,2
1,361,0,306,2
1,21,0,306,2
1,332,1,332,4
1,225,0,332,4
1,236,0,332,4
1,215,0,332,4
1,180,0,332,4
1,92,0,332,4
1,345,1,345,2
1,386,0,345,2
1,79,0,345,2
1,361,0,345,2
1,303,0,345,2
1,114,0,345,2
1,399,1,399,2
1,392,0,399,2
1,275,0,399,2
1,1,0,399,2
1,303,0,399,2
1,21,0,399,2
1,401,1,401,4
1,2,0,401,4
1,215,0,401,4
1,236,0,401,4
1,180,0,401,4
1,74,0,401,4
1,432,1,432,3
1,946,0,432,3
1,688,0,432,3
1,904,0,432,3
1,620,0,432,3
1,937,0,432,3
1,443,1,443,3
1,838,0,443,3
1,832,0,443,3
1,488,0,443,3
1,808,0,443,3
1,937,0,443,3
1,445,1,445,4
1,236,0,445,4
1,92,0,445,4
1,215,0,445,4
1,180,0,445,4
1,74,0,445,4
1,452,1,452,2
1,733,0,452,2
1,431,0,452,2
1,275,0,452,2
1,227,0,452,2
1,1,0,452,2
1,468,1,468,4
1,215,0,468,4
1,236,0,468,4
1,225,0,468,4
1,92,0,468,4
1,74,0,468,4
1,505,1,505,4
1,180,0,505,4
1,92,0,505,4
1,215,0,505,4
1,236,0,505,4
1,225,0,505,4
1,536,1,536,1
1,33,0,536,1
1,270,0,536,1
1,147,0,536,1
1,83,0,536,1
1,71,0,536,1
1,564,1,564,3
1,838,0,564,3
1,808,0,564,3
1,904,0,564,3
1,883,0,564,3
1,832,0,564,3
1,607,1,607,4
1,92,0,607,4
1,74,0,607,4
1,215,0,607,4
1,225,0,607,4
1,2,0,607,4
1,621,1,621,4
1,180,0,621,4
1,236,0,621,4
1,2,0,621,4
1,92,0,621,4
1,215,0,621,4
1,631,1,631,2
1,79,0,631,2
1,114,0,631,2
1,386,0,631,2
1,146,0,631,2
1,227,0,631,2
1,638,1,638,2
1,204,0,638,2
1,392,0,638,2
1,25,0,638,2
1,303,0,638,2
1,733,0,638,2
1,655,1,655,3
1,620,0,655,3
1,342,0,655,3
1,883,0,655,3
1,688,0,655,3
1,488,0,655,3
