scenario,model,removed_top_n_hot_side_effects,MAP_mean,MAP_std,nDCG_mean,nDCG_std,P15_mean,P15_std,R15_mean,R15_std,auc_rank_mean,auc_rank_std
cold,A3Net,20,0.1911610569877299,0.0210479230795905,0.4788157864803685,0.0456785053922479,0.2359766012587929,0.0318659582504196,0.140100871007604,0.0137465881804257,0.7947817315176252,0.0169629174827733
cold,A3Net,100,0.1015266900983838,0.0166961560908686,0.2870067916164283,0.0383451853677247,0.1074241282709351,0.0221884797819969,0.1095865832986971,0.0156736422837512,0.6987892087797192,0.0196804947332431
cold,CAFNet,20,0.2005305682425496,0.0188570758675611,0.5025842977698461,0.034135915883804,0.2483702826113784,0.0305614826937327,0.1524571118746215,0.0248567117761905,0.794280671626,0.0130544328798755
cold,CAFNet,100,0.1088806443182013,0.011524213271559,0.3025792071970328,0.0435049801066261,0.1154476805020891,0.0187885073910098,0.1128743317243686,0.0234406407702118,0.7012068806769758,0.015823350861627
cold,Global popularity,20,0.214126152607626,0.0249156869014454,0.5467295868583278,0.0336350587608619,0.2780491669751942,0.0374829830869605,0.1532562916184029,0.0125572867299112,0.8325183289169982,0.0110510806201215
cold,Global popularity,100,0.0975459342051678,0.0160831786281822,0.2915924920454927,0.0414295886732475,0.1084225508411308,0.0236060199184925,0.0863876320857528,0.021585712287153,0.7493785066865972,0.0121947251737481
cold,HSTrans,20,0.1709444501438728,0.0154160975790371,0.4599357007544927,0.026862788811274,0.2114985725451478,0.0278460039967451,0.1211422036188499,0.0126623947637155,0.8006751922123844,0.01295711999654
cold,HSTrans,100,0.0914533803334417,0.0177235138138005,0.2508861455410164,0.0390655088213966,0.0901361865710698,0.0209654844949104,0.0944917587388437,0.0225965144898431,0.7235209305651773,0.0177751489037482
cold,RF,20,0.1078282193987415,0.0161646053172472,0.3126225688443377,0.0469380347551499,0.1218345468756427,0.0264671690649177,0.0661503385573171,0.0099366651298988,0.7580324697212283,0.012996327191554
cold,RF,100,0.050095549326741,0.0099296816061263,0.0973670495377645,0.0298239336225436,0.032481000983895,0.0108950453942488,0.0245840476575904,0.0126375957766562,0.6731542075497271,0.0144255044891968
cold,XGBoost,20,0.0842140810779688,0.0142445513544521,0.127124342455198,0.0347742329033791,0.0453957135217409,0.0140749945623649,0.0243506273328456,0.0074750901209413,0.7328370463531203,0.0175347950623099
cold,XGBoost,100,0.0446347833983358,0.0090852842832702,0.0718753776243821,0.0183944750503015,0.0241720107555531,0.0079683735988752,0.0176069590346938,0.0104578517535221,0.6391599856495445,0.0185249585632157
warm,Global popularity,20,0.0547015352325466,0.0013015238356757,0.1115696614228982,0.0082348444393635,0.0491766508204215,0.0020924774348359,0.1003074743838226,0.0059829247226694,,
warm,Global popularity,100,0.0153678220042978,0.0004828103685499,0.0011618961161724,0.0007887153846077,0.0019414132722195,0.000377886454875,0.0011809575479394,0.0002303751611887,,
warm,HSTrans,20,0.0530865846787122,0.0036379366442248,0.1211919502010439,0.0113592839952626,0.0423698284951859,0.0023168123037603,0.1014685448907847,0.0101214300119729,,
warm,HSTrans,100,0.0151310900569914,0.0014311380942385,0.0132620232218433,0.0108068730561408,0.0053770429454232,0.0032789543635743,0.0072263509338281,0.004219346185357,,
warm,RF,20,0.0288107030944888,0.0012437122272948,0.0638703602803604,0.0059844056586491,0.0161540920549071,0.0014877940756292,0.0615842980879264,0.007833146909947,,
warm,RF,100,0.0215225443312897,0.0022185007352163,0.0477323936289518,0.0066349587109846,0.0105429057503981,0.0016674333079473,0.0485993850054134,0.013398856416469,,
warm,XGBoost,20,0.0205691080345479,0.0007112093574825,0.027701046890296,0.0059141267912118,0.0080133791718705,0.0011461106228217,0.0190679684547999,0.0035488916012533,,
warm,XGBoost,100,0.0115887363290947,0.0007285466997837,0.0156572560966833,0.0043690445657326,0.0046777688256731,0.0008983057852971,0.0126747146026295,0.0027855218026958,,
