drug_idx,model,n_pairs,matched_AUROC,matched_AUPR,pos_minus_ctrl_score,pos_gt_ctrl_rate
0,CAFNet-D,90,0.7888888888888889,0.7852295113638743,0.9006372388866213,0.8111111111111111
0,CAFNet,90,0.8401234567901235,0.8629900120778238,1.2082793758975134,0.8777777777777778
0,A3Net,90,0.7191358024691358,0.7078685191631383,1.039250313407845,0.7777777777777778
0,CAFNet-D w/o association residual,90,0.8462962962962962,0.8441583251489488,1.3774369506372346,0.8555555555555555
0,CAFNet-D w/o bias/popularity prior,90,0.787037037037037,0.8071717826819778,0.9541375646988551,0.8333333333333334
0,Global popularity,90,0.7086419753086419,0.7173373496559365,0.11962139917695473,0.7555555555555555
0,HSTrans100,90,0.5160493827160494,0.6087945333089556,0.04031084204713504,0.4666666666666667
1,CAFNet-D,80,0.5921875000000001,0.6172733631070988,0.5076025831978768,0.6875
1,CAFNet,80,0.47656250000000006,0.6088333068307229,0.0606663174927234,0.4625
1,A3Net,80,0.47968750000000004,0.5130867005023058,-0.17224089028313752,0.4625
1,CAFNet-D w/o association residual,80,0.5546874999999999,0.5902870108277521,0.372484173392877,0.6
1,CAFNet-D w/o bias/popularity prior,80,0.5546875,0.6420401437530558,0.36540498861577364,0.5875
1,Global popularity,80,0.5273437500000001,0.6052987870890848,0.06103703703703702,0.5
1,HSTrans100,80,0.5414062500000001,0.6446772932329079,0.27846423499286177,0.5375
2,CAFNet-D,500,0.6534199999999999,0.7199135735247761,0.7466693070456386,0.78
2,CAFNet,500,0.67814,0.7028420372964266,0.7060186842754483,0.784
2,A3Net,500,0.6734800000000001,0.7136999216555243,0.7140761098563672,0.774
2,CAFNet-D w/o association residual,500,0.67534,0.7152794170668251,0.9375669302009046,0.77
2,CAFNet-D w/o bias/popularity prior,500,0.64124,0.7118664931078424,0.4991674277484417,0.714
2,Global popularity,500,0.5848699999999999,0.684215175715764,0.07403555555555556,0.648
2,HSTrans100,500,0.6751,0.6668206342204828,0.850329812631011,0.72
3,CAFNet-D,110,0.5099173553719007,0.5317490963683131,0.13742978725243696,0.5272727272727272
3,CAFNet,110,0.518595041322314,0.5325661857230488,0.010651833564043041,0.5818181818181818
3,A3Net,110,0.5115702479338843,0.5130148609520926,0.003989346325397496,0.6272727272727273
3,CAFNet-D w/o association residual,110,0.5235537190082644,0.5470093511453947,0.1675383451310071,0.5818181818181818
3,CAFNet-D w/o bias/popularity prior,110,0.6033057851239669,0.5940890377970218,0.6779135013168508,0.7181818181818181
3,Global popularity,110,0.5103305785123967,0.5703036827742827,0.03197306397306397,0.4727272727272727
3,HSTrans100,110,0.5611570247933884,0.5951802702933877,0.2793570760298859,0.6
4,CAFNet-D,35,0.9142857142857143,0.87133060294825,0.9355817200882094,0.9428571428571428
4,CAFNet,35,0.8122448979591838,0.8458061188324346,0.7836331537791661,0.8571428571428571
4,A3Net,35,0.8653061224489795,0.8742454081796605,0.6156505175999233,0.8857142857142857
4,CAFNet-D w/o association residual,35,0.8979591836734695,0.860327716945364,0.9857978224754333,0.9428571428571428
4,CAFNet-D w/o bias/popularity prior,35,0.726530612244898,0.7942909912273768,0.4031808171953474,0.7428571428571429
4,Global popularity,35,0.836734693877551,0.8511152763804644,0.20901587301587302,0.8
4,HSTrans100,35,0.6612244897959183,0.7113002995355937,0.24311463151659285,0.7428571428571429
5,CAFNet-D,280,0.6973852040816326,0.7277639850451263,1.1599074692265796,0.7785714285714286
5,CAFNet,280,0.714158163265306,0.7142265995894485,0.8033174442526485,0.7785714285714286
5,A3Net,280,0.6237563775510204,0.6806187986515205,0.6396665561412062,0.7035714285714286
5,CAFNet-D w/o association residual,280,0.6237882653061224,0.6587426450193934,0.7030781995039433,0.6642857142857143
5,CAFNet-D w/o bias/popularity prior,280,0.6524234693877551,0.6774694847357176,0.7190092652770025,0.7035714285714286
5,Global popularity,280,0.5629464285714285,0.6500008990205456,0.07555026455026455,0.6214285714285714
5,HSTrans100,280,0.5424107142857143,0.6336621280786853,0.11785755189401763,0.5892857142857143
6,CAFNet-D,110,0.315702479338843,0.41147465338419587,-1.101296373524449,0.19090909090909092
6,CAFNet,110,0.44008264462809915,0.5086157297416224,-0.21394688757983127,0.37272727272727274
6,A3Net,110,0.4322314049586777,0.4625716101473064,-0.24072478975762032,0.36363636363636365
6,CAFNet-D w/o association residual,110,0.5024793388429752,0.5030515220756278,0.020427167144688674,0.5363636363636364
6,CAFNet-D w/o bias/popularity prior,110,0.4677685950413223,0.5208216801786697,-0.29262430698356845,0.4
6,Global popularity,110,0.5177685950413223,0.5209300797086341,-0.009575757575757574,0.5181818181818182
6,HSTrans100,110,0.5586776859504132,0.5436091902058023,-0.06982740516012365,0.5818181818181818
7,CAFNet-D,310,0.5740894901144641,0.5818954944425044,0.6212238988208194,0.7096774193548387
7,CAFNet,310,0.6075962539021852,0.6114551977519233,0.5112997215241194,0.6741935483870968
7,A3Net,310,0.5573881373569198,0.5621286217924173,0.2800972273633365,0.635483870967742
7,CAFNet-D w/o association residual,310,0.5848074921956296,0.5594183157405985,0.5703111082135189,0.667741935483871
7,CAFNet-D w/o bias/popularity prior,310,0.4567637877211238,0.502284661830665,-0.1569025626105647,0.4096774193548387
7,Global popularity,310,0.5359261186264308,0.5558313117743254,0.02625089605734767,0.5
7,HSTrans100,310,0.6206555671175858,0.5986613952465949,0.3400149639335371,0.6709677419354839
8,CAFNet-D,415,0.5745971839163885,0.5612051570960537,0.2809139362311956,0.5903614457831325
8,CAFNet,415,0.5503556394251705,0.5546653113173972,0.18789151700505288,0.5710843373493976
8,A3Net,415,0.5301640296124256,0.5175888928303207,0.14633599949708903,0.5373493975903615
8,CAFNet-D w/o association residual,415,0.546058934533314,0.5426700767370871,0.3394322682576007,0.5180722891566265
8,CAFNet-D w/o bias/popularity prior,415,0.5509943388009871,0.5762909096023858,0.15513544059302434,0.5590361445783133
8,Global popularity,415,0.5248512120772244,0.5400766797440317,0.013779562695225348,0.5397590361445783
8,HSTrans100,415,0.5347365365074757,0.5554968867478487,0.16204602332359336,0.5710843373493976
9,CAFNet-D,85,0.8477508650519031,0.8981958089132317,1.2386067343108795,0.9058823529411765
9,CAFNet,85,0.7965397923875431,0.8547287233847763,1.1143618501284542,0.8352941176470589
9,A3Net,85,0.7737024221453287,0.7912523316838252,1.183366877059726,0.8117647058823529
9,CAFNet-D w/o association residual,85,0.7951557093425605,0.8591905563546857,1.2463718594873652,0.8705882352941177
9,CAFNet-D w/o bias/popularity prior,85,0.847750865051903,0.8783997642970379,1.3415169509456437,0.9058823529411765
9,Global popularity,85,0.7173010380622837,0.8148118446206921,0.1900479302832244,0.7294117647058823
9,HSTrans100,85,0.6138408304498271,0.6618550719098713,0.4496036299011287,0.6470588235294118
10,CAFNet-D,110,0.7119834710743802,0.7342688292742504,1.3958042780106719,0.8181818181818182
10,CAFNet,110,0.7495867768595043,0.7727518380647422,1.0761556972156872,0.7909090909090909
10,A3Net,110,0.7016528925619834,0.7406373038573146,0.8036855520511216,0.8
10,CAFNet-D w/o association residual,110,0.7673553719008266,0.7806793221059306,1.6669625756754116,0.8272727272727273
10,CAFNet-D w/o bias/popularity prior,110,0.6669421487603305,0.7213073122348811,0.8168415619568391,0.7636363636363637
10,Global popularity,110,0.5797520661157025,0.6454160152816772,0.08461952861952862,0.6363636363636364
10,HSTrans100,110,0.5252066115702478,0.5497033797979393,0.12076095870950006,0.5545454545454546
11,CAFNet-D,85,0.6131487889273356,0.6468869051595925,0.2006805711042355,0.5647058823529412
11,CAFNet,85,0.6041522491349481,0.6039495878257582,0.32132771716398356,0.611764705882353
11,A3Net,85,0.5529411764705883,0.594124393682205,0.2388457606820499,0.5764705882352941
11,CAFNet-D w/o association residual,85,0.5916955017301039,0.6468312929261447,0.3224297017516459,0.6235294117647059
11,CAFNet-D w/o bias/popularity prior,85,0.6809688581314878,0.6873066790096182,0.33656511543428197,0.6705882352941176
11,Global popularity,85,0.6186851211072664,0.6413844214110836,0.0802962962962963,0.6
11,HSTrans100,85,0.4228373702422145,0.46020123287504555,-0.45697515957495743,0.4235294117647059
12,CAFNet-D,50,0.9179999999999999,0.8683592315363605,2.9740615022182464,0.92
12,CAFNet,50,0.8059999999999999,0.7372872412764411,0.7082814738154412,0.76
12,A3Net,50,0.74,0.6736105336674597,0.5274545665085316,0.78
12,CAFNet-D w/o association residual,50,0.91,0.8558173525820585,3.572255686894059,0.88
12,CAFNet-D w/o bias/popularity prior,50,0.854,0.7732290593940827,2.974607409834862,0.86
12,Global popularity,50,0.509,0.5315540329083518,-0.020651851851851852,0.28
12,HSTrans100,50,0.548,0.5426572277804176,-0.16098896518349648,0.62
13,CAFNet-D,85,0.8256055363321798,0.8428457375293203,0.9332499913652154,0.8588235294117647
13,CAFNet,85,0.776470588235294,0.8025016225060212,0.732892187202678,0.8235294117647058
13,A3Net,85,0.859515570934256,0.8523183273173345,1.0134593234342688,0.9176470588235294
13,CAFNet-D w/o association residual,85,0.7612456747404843,0.7997298950252931,0.8123443391831482,0.8235294117647058
13,CAFNet-D w/o bias/popularity prior,85,0.8629757785467127,0.8790942203481147,1.454001308802296,0.8941176470588236
13,Global popularity,85,0.6961937716262976,0.7550843490517456,0.14239651416122007,0.6588235294117647
13,HSTrans100,85,0.7231833910034601,0.7727495998284447,0.37686621196129744,0.7764705882352941
14,CAFNet-D,155,0.6722164412070759,0.7420906826821229,1.2263448474387968,0.8258064516129032
14,CAFNet,155,0.7454734651404786,0.7821054170333115,0.9544985934370949,0.8
14,A3Net,155,0.6181061394380853,0.6822624629381255,0.4323896912797805,0.6838709677419355
14,CAFNet-D w/o association residual,155,0.7383975026014568,0.7804864522134529,1.4643233239951152,0.8580645161290322
14,CAFNet-D w/o bias/popularity prior,155,0.7165452653485952,0.7584692954403377,1.301719393941664,0.864516129032258
14,Global popularity,155,0.5607700312174818,0.6397167441645245,0.07502986857825568,0.6
14,HSTrans100,155,0.5623309053069718,0.6024156407322951,0.21288231841979488,0.5483870967741935
15,CAFNet-D,110,0.6615702479338843,0.6783987843798833,0.7282408372245052,0.7727272727272727
15,CAFNet,110,0.6210743801652893,0.6321294150166663,0.4163591276515614,0.6090909090909091
15,A3Net,110,0.6413223140495868,0.6055994397624866,0.6142161363905126,0.7
15,CAFNet-D w/o association residual,110,0.65,0.6769410583885083,0.5561818086288192,0.7272727272727273
15,CAFNet-D w/o bias/popularity prior,110,0.5706611570247934,0.633853654264968,0.10253090939738534,0.5363636363636364
15,Global popularity,110,0.5754132231404959,0.6350927469894488,0.06505050505050507,0.5454545454545454
15,HSTrans100,110,0.5330578512396694,0.5656491984174226,-0.0022058600729162044,0.5363636363636364
16,CAFNet-D,60,0.5597222222222221,0.6537305743361457,0.30263715038696926,0.6333333333333333
16,CAFNet,60,0.6819444444444445,0.6581736440483524,0.7970835427443187,0.7166666666666667
16,A3Net,60,0.4930555555555556,0.5798921050170474,0.01259198139111198,0.5
16,CAFNet-D w/o association residual,60,0.5819444444444445,0.68120080583361,0.23306482521196212,0.6833333333333333
16,CAFNet-D w/o bias/popularity prior,60,0.6958333333333333,0.6922546172256334,0.7311853557825089,0.75
16,Global popularity,60,0.5472222222222223,0.6608505845825919,0.09417283950617282,0.6333333333333333
16,HSTrans100,60,0.45833333333333337,0.5269688099465851,-0.29139138037959733,0.4166666666666667
17,CAFNet-D,215,0.5047052460789615,0.6218780436297683,-0.11495484127554782,0.5441860465116279
17,CAFNet,215,0.6103839913466739,0.6179432827520392,0.4450113071258678,0.7023255813953488
17,A3Net,215,0.6524067063277447,0.7034296497387199,0.6353952191206952,0.6697674418604651
17,CAFNet-D w/o association residual,215,0.5385613845321796,0.6498343683015869,-0.06472487612519154,0.5255813953488372
17,CAFNet-D w/o bias/popularity prior,215,0.47441860465116276,0.589837722624968,-0.42195536262074185,0.4558139534883721
17,Global popularity,215,0.6277988101676582,0.7055593419437561,0.09500086132644273,0.6558139534883721
17,HSTrans100,215,0.5433207138994051,0.5998484459588108,0.027671021638914595,0.5534883720930233
18,CAFNet-D,100,0.6085,0.602326594440923,0.717738734856248,0.59
18,CAFNet,100,0.5735,0.5316128683446988,0.15953143097460273,0.51
18,A3Net,100,0.523,0.4968243960731711,-0.06254894562065598,0.47
18,CAFNet-D w/o association residual,100,0.6355,0.6015776891217046,0.7786778151243925,0.7
18,CAFNet-D w/o bias/popularity prior,100,0.7130000000000001,0.6971216766162108,1.2890453362837433,0.77
18,Global popularity,100,0.47725,0.4931688990275941,-0.01928888888888889,0.33
18,HSTrans100,100,0.5025,0.5075120905243349,0.008289948329329491,0.48
19,CAFNet-D,210,0.6429705215419501,0.6790194352818244,0.452763776942378,0.6666666666666666
19,CAFNet,210,0.6555555555555554,0.6823682107547233,0.5165868268126533,0.7476190476190476
19,A3Net,210,0.6546485260770976,0.6326852206519298,0.41677444385630746,0.6666666666666666
19,CAFNet-D w/o association residual,210,0.5750566893424037,0.632426816840758,0.19808605290239767,0.5714285714285714
19,CAFNet-D w/o bias/popularity prior,210,0.6482993197278911,0.6569465401420139,0.4729378573241688,0.6904761904761905
19,Global popularity,210,0.6267006802721089,0.6890514832544047,0.09696649029982364,0.7238095238095238
19,HSTrans100,210,0.6416099773242631,0.6508643132765104,0.45004678478553184,0.6904761904761905
20,CAFNet-D,135,0.7508916323731138,0.7797070588549821,0.6712778139445517,0.7111111111111111
20,CAFNet,135,0.7635116598079561,0.8000264703953557,1.3080122936654974,0.7481481481481481
20,A3Net,135,0.8584362139917695,0.8529695441698402,1.5169750778763382,0.8518518518518519
20,CAFNet-D w/o association residual,135,0.7643347050754459,0.7873486055651076,0.72913793132261,0.7481481481481481
20,CAFNet-D w/o bias/popularity prior,135,0.7440329218106996,0.7485207902797983,0.8552832046040783,0.7037037037037037
20,Global popularity,135,0.8319615912208506,0.8159053828030662,0.16198628257887515,0.8148148148148148
20,HSTrans100,135,0.7352537722908093,0.6875317112603789,0.37297159632047017,0.7407407407407407
21,CAFNet-D,60,0.6916666666666667,0.7461750093121906,0.5010160184154909,0.6833333333333333
21,CAFNet,60,0.7291666666666667,0.7536042733149758,0.8962494353453319,0.7333333333333333
21,A3Net,60,0.6208333333333333,0.7376117313928576,-0.03430239955584202,0.65
21,CAFNet-D w/o association residual,60,0.725,0.768358757843148,0.8217588633298875,0.7166666666666667
21,CAFNet-D w/o bias/popularity prior,60,0.7222222222222222,0.7902120334964134,0.5697826037804286,0.75
21,Global popularity,60,0.6319444444444444,0.730264865899435,0.12348148148148148,0.6
21,HSTrans100,60,0.47916666666666663,0.6441313571856945,-0.04161684438586235,0.4166666666666667
22,CAFNet-D,70,0.6755102040816326,0.7491978823045131,1.0296794538785303,0.8142857142857143
22,CAFNet,70,0.6704081632653062,0.7082881765954518,0.7162857685770307,0.7714285714285715
22,A3Net,70,0.7163265306122449,0.7180352864669581,0.8367801644972392,0.8
22,CAFNet-D w/o association residual,70,0.5459183673469387,0.6846843680639856,0.20289691425859938,0.5857142857142857
22,CAFNet-D w/o bias/popularity prior,70,0.6357142857142857,0.7370948187785502,0.6818085200818521,0.7285714285714285
22,Global popularity,70,0.6081632653061224,0.7184043104082399,0.1497142857142857,0.7571428571428571
22,HSTrans100,70,0.6795918367346938,0.7346421381993674,0.713017546917711,0.7428571428571429
23,CAFNet-D,175,0.640326530612245,0.6311472719527083,0.3892469209432602,0.7028571428571428
23,CAFNet,175,0.6546938775510204,0.6421824290874145,0.5038801934889384,0.6514285714285715
23,A3Net,175,0.7008979591836735,0.6789190732293264,0.561307772227696,0.6971428571428572
23,CAFNet-D w/o association residual,175,0.5737142857142857,0.5743017535365709,0.1846285813195365,0.6285714285714286
23,CAFNet-D w/o bias/popularity prior,175,0.6599183673469387,0.6523487308430816,0.3778307281434536,0.6742857142857143
23,Global popularity,175,0.584,0.5922241221170069,0.04265820105820106,0.64
23,HSTrans100,175,0.4961632653061224,0.49144836634679123,-0.08786402038165501,0.5542857142857143
24,CAFNet-D,170,0.764878892733564,0.7708500154892756,0.9195518247344915,0.7647058823529411
24,CAFNet,170,0.7570934256055363,0.778859328098771,1.1299724664758233,0.7647058823529411
24,A3Net,170,0.6826989619377163,0.6401088317139164,0.9041787871981368,0.7
24,CAFNet-D w/o association residual,170,0.7659169550173011,0.7580624094636214,0.878411932552562,0.7588235294117647
24,CAFNet-D w/o bias/popularity prior,170,0.7726643598615917,0.7934029264024913,1.0925785566954052,0.7411764705882353
24,Global popularity,170,0.7270761245674741,0.7363684835035058,0.11057952069716777,0.7647058823529411
24,HSTrans100,170,0.5271626297577855,0.5745866910441272,0.033043065491844624,0.5058823529411764
25,CAFNet-D,180,0.737037037037037,0.7148775639245921,1.4655586693228946,0.7611111111111111
25,CAFNet,180,0.7240740740740741,0.7352357365046109,0.6175109304901626,0.7722222222222223
25,A3Net,180,0.7330246913580247,0.7493449579565863,0.9367179752017061,0.7666666666666667
25,CAFNet-D w/o association residual,180,0.7347222222222222,0.724915053850684,1.1073570681528913,0.7722222222222223
25,CAFNet-D w/o bias/popularity prior,180,0.682253086419753,0.6788384834798123,0.7408253134124809,0.7166666666666667
25,Global popularity,180,0.6840277777777778,0.7342996954616083,0.12322633744855968,0.6944444444444444
25,HSTrans100,180,0.6459876543209877,0.7164839815108961,0.4507611419177718,0.6833333333333333
26,CAFNet-D,85,0.6359861591695503,0.6732500206621707,0.3755325928549556,0.6941176470588235
26,CAFNet,85,0.582006920415225,0.6474248131430227,0.39784519707455357,0.6
26,A3Net,85,0.6366782006920415,0.7140408928424025,0.39850485780659844,0.6705882352941176
26,CAFNet-D w/o association residual,85,0.6602076124567474,0.7098406237747572,0.5394698643728214,0.7411764705882353
26,CAFNet-D w/o bias/popularity prior,85,0.590311418685121,0.6151561300528464,0.29951989900539905,0.5411764705882353
26,Global popularity,85,0.6055363321799309,0.6594599478690104,0.08578649237472767,0.7058823529411765
26,HSTrans100,85,0.5730103806228374,0.5884585857625912,0.3746883765739553,0.5882352941176471
27,CAFNet-D,455,0.5380268083564788,0.6397359269941112,0.12959044145031293,0.5428571428571428
27,CAFNet,455,0.5634826711749787,0.6571557241085231,0.27690592449936235,0.6043956043956044
27,A3Net,455,0.54850863422292,0.5896350108260218,0.10575045769686227,0.5868131868131868
27,CAFNet-D w/o association residual,455,0.5260958821398383,0.6029171006561008,0.19633849024117644,0.5384615384615384
27,CAFNet-D w/o bias/popularity prior,455,0.5291389928752566,0.613680335330481,-0.009660969527213127,0.5296703296703297
27,Global popularity,455,0.585025963047941,0.6568397411553808,0.06434513634513635,0.6087912087912087
27,HSTrans100,455,0.5086583745924406,0.5680174738526387,0.0036626580979797867,0.4901098901098901
28,CAFNet-D,30,0.4833333333333334,0.5241677406910581,-0.1057466169198354,0.5666666666666667
