drug_idx,fold,group,model,AP,nDCG@10,P@15,R@15
0,6,rare,CAFNet-D,,,,
0,6,rare,CAFNet,,,,
0,6,rare,A3Net,,,,
0,6,rare,CAFNet-D w/o association residual,,,,
0,6,rare,CAFNet-D w/o bias/popularity prior,,,,
0,6,rare,Global popularity,,,,
0,6,rare,HSTrans100,,,,
0,6,mid,CAFNet-D,,,,
0,6,mid,CAFNet,,,,
0,6,mid,A3Net,,,,
0,6,mid,CAFNet-D w/o association residual,,,,
0,6,mid,CAFNet-D w/o bias/popularity prior,,,,
0,6,mid,Global popularity,,,,
0,6,mid,HSTrans100,,,,
0,6,frequent,CAFNet-D,0.5039690805107915,0.7065632165480473,0.5333333333333333,0.4444444444444444
0,6,frequent,CAFNet,0.6547819591447043,0.8669479898642711,0.6,0.5
0,6,frequent,A3Net,0.40082987216877974,0.5357086937004183,0.4,0.3333333333333333
0,6,frequent,CAFNet-D w/o association residual,0.6049044296485244,0.7125523635307983,0.4666666666666667,0.3888888888888889
0,6,frequent,CAFNet-D w/o bias/popularity prior,0.5050695018174036,0.6473362615659566,0.5333333333333333,0.4444444444444444
0,6,frequent,Global popularity,0.41213480665639446,0.5517854393872874,0.4666666666666667,0.3888888888888889
0,6,frequent,HSTrans100,0.28990821567686975,0.5036067026046992,0.3333333333333333,0.2777777777777778
1,3,rare,CAFNet-D,0.015530303030303031,0.0,0.0,0.0
1,3,rare,CAFNet,0.003861657055431329,0.0,0.0,0.0
1,3,rare,A3Net,0.018333333333333333,0.0,0.0,0.0
1,3,rare,CAFNet-D w/o association residual,0.009788634788634789,0.0,0.0,0.0
1,3,rare,CAFNet-D w/o bias/popularity prior,0.008279264666125979,0.0,0.0,0.0
1,3,rare,Global popularity,0.01398533950617284,0.0,0.0,0.0
1,3,rare,HSTrans100,0.006145551626100825,0.0,0.0,0.0
1,3,mid,CAFNet-D,0.02369420702754036,0.0,0.0,0.0
1,3,mid,CAFNet,0.02945752164502164,0.0,0.0,0.0
1,3,mid,A3Net,0.021169424634771172,0.0,0.0,0.0
1,3,mid,CAFNet-D w/o association residual,0.04585759068517689,0.0,0.0,0.0
1,3,mid,CAFNet-D w/o bias/popularity prior,0.017783019536175216,0.0,0.0,0.0
1,3,mid,Global popularity,0.017803102247546693,0.0,0.0,0.0
1,3,mid,HSTrans100,0.03348280751506558,0.0,0.06666666666666667,0.3333333333333333
1,3,frequent,CAFNet-D,0.22094694610823642,0.3187939258847264,0.2,0.2727272727272727
1,3,frequent,CAFNet,0.3230720449094572,0.45374257454118555,0.26666666666666666,0.36363636363636365
1,3,frequent,A3Net,0.06285957956447286,0.06625422345438904,0.06666666666666667,0.09090909090909091
1,3,frequent,CAFNet-D w/o association residual,0.19282372824918873,0.3024038304938509,0.2,0.2727272727272727
1,3,frequent,CAFNet-D w/o bias/popularity prior,0.3419990750225792,0.5231737964779629,0.26666666666666666,0.36363636363636365
1,3,frequent,Global popularity,0.2623659363258747,0.400023248309252,0.2,0.2727272727272727
1,3,frequent,HSTrans100,0.2999035106418743,0.47890155528769296,0.26666666666666666,0.36363636363636365
2,0,rare,CAFNet-D,0.06429348494005381,0.0,0.06666666666666667,0.09090909090909091
2,0,rare,CAFNet,0.21686722823499827,0.36288691033421755,0.2,0.2727272727272727
2,0,rare,A3Net,0.13145761239613704,0.17993148201117182,0.13333333333333333,0.18181818181818182
2,0,rare,CAFNet-D w/o association residual,0.09961578688376956,0.13886244387355456,0.13333333333333333,0.18181818181818182
2,0,rare,CAFNet-D w/o bias/popularity prior,0.09750990299062907,0.13886244387355456,0.06666666666666667,0.09090909090909091
2,0,rare,Global popularity,0.030234929701916255,0.13886244387355456,0.06666666666666667,0.09090909090909091
2,0,rare,HSTrans100,0.042414684117839156,0.0,0.0,0.0
2,0,mid,CAFNet-D,0.27612921562998444,0.5107164012496702,0.3333333333333333,0.21739130434782608
2,0,mid,CAFNet,0.22662526135112576,0.3565964385966263,0.3333333333333333,0.21739130434782608
2,0,mid,A3Net,0.3401805134410953,0.5734923014668308,0.4666666666666667,0.30434782608695654
2,0,mid,CAFNet-D w/o association residual,0.2950139575871227,0.6046855387118413,0.3333333333333333,0.21739130434782608
2,0,mid,CAFNet-D w/o bias/popularity prior,0.19918369733613328,0.3976722328631674,0.26666666666666666,0.17391304347826086
2,0,mid,Global popularity,0.145201132950974,0.39639187290150935,0.2,0.13043478260869565
2,0,mid,HSTrans100,0.20665032077371162,0.3151625504769837,0.2,0.13043478260869565
2,0,frequent,CAFNet-D,0.7800033215511446,1.0,1.0,0.22727272727272727
2,0,frequent,CAFNet,0.7152932760252981,0.841492960259019,0.8,0.18181818181818182
2,0,frequent,A3Net,0.7334876188646264,0.9148568823583791,0.9333333333333333,0.21212121212121213
2,0,frequent,CAFNet-D w/o association residual,0.7403951631592094,1.0,0.9333333333333333,0.21212121212121213
2,0,frequent,CAFNet-D w/o bias/popularity prior,0.745539672115401,1.0,0.9333333333333333,0.21212121212121213
2,0,frequent,Global popularity,0.752063933938045,1.0,0.9333333333333333,0.21212121212121213
2,0,frequent,HSTrans100,0.59511469799712,0.6156886473955917,0.7333333333333333,0.16666666666666666
3,5,rare,CAFNet-D,0.014903232144611454,0.0,0.0,0.0
3,5,rare,CAFNet,0.03091716987581178,0.0,0.0,0.0
3,5,rare,A3Net,0.013989309040041694,0.0,0.0,0.0
3,5,rare,CAFNet-D w/o association residual,0.007850894453765267,0.0,0.0,0.0
3,5,rare,CAFNet-D w/o bias/popularity prior,0.06929046563192905,0.0,0.06666666666666667,0.3333333333333333
3,5,rare,Global popularity,0.0067988064791133845,0.0,0.0,0.0
3,5,rare,HSTrans100,0.014393389657734238,0.0,0.0,0.0
3,5,mid,CAFNet-D,0.04323808413220401,0.0,0.0,0.0
3,5,mid,CAFNet,0.045681194006764195,0.0,0.0,0.0
3,5,mid,A3Net,0.034453665615612104,0.0,0.0,0.0
3,5,mid,CAFNet-D w/o association residual,0.05039322600369658,0.0,0.06666666666666667,0.16666666666666666
3,5,mid,CAFNet-D w/o bias/popularity prior,0.28802830940988833,0.3026024134988135,0.13333333333333333,0.3333333333333333
3,5,mid,Global popularity,0.035592594699692996,0.0,0.0,0.0
3,5,mid,HSTrans100,0.06036500412026064,0.0,0.06666666666666667,0.16666666666666666
