group,model,AP_mean,AP_std,AP_n,nDCG@10_mean,nDCG@10_std,nDCG@10_n,P@15_mean,P@15_std,P@15_n,R@15_mean,R@15_std,R@15_n
frequent,A3Net,0.4139401438485485,0.20908014128964406,749,0.4928016651202946,0.29456260893111275,749,0.45287049399198936,0.26977823575231025,749,0.2802691491081605,0.1790777147295259,749
frequent,CAFNet,0.4225528504365539,0.20987221873620238,749,0.5098076342607918,0.28879628257481127,749,0.4630173564753004,0.27087538463321464,749,0.28973625302935735,0.17748615878516258,749
frequent,CAFNet-D,0.4879777336072625,0.2131928428975669,749,0.6307968474831543,0.2872414271432038,749,0.5279038718291055,0.28581051984566314,749,0.33451744626349933,0.18809025625325965,749
frequent,CAFNet-D w/o association residual,0.49040058038725226,0.21358160543420768,749,0.6342588448361918,0.2889580634392641,749,0.5264797507788163,0.2848010022563339,749,0.3345684264795751,0.18575852306510446,749
frequent,CAFNet-D w/o bias/popularity prior,0.4683216098267566,0.2124235446514157,749,0.6036897688194595,0.29219724952423803,749,0.507254116599911,0.2824052309237548,749,0.3208710968324727,0.1853531515291773,749
frequent,Global popularity,0.48681552447043985,0.2141091965344167,749,0.6338161952298714,0.29027781395571883,749,0.5250556297285269,0.28534675826231115,749,0.3315507870420345,0.18262646725888457,749
frequent,HSTrans100,0.367884964311358,0.1970622998916774,749,0.45726315434966475,0.2768786430623898,749,0.4030262572318647,0.2528795143440384,749,0.2449146229360847,0.15613318156264186,749
mid,A3Net,0.10877818082211362,0.13524962202163615,631,0.11512297117729506,0.18500933415329063,631,0.08230322239830956,0.12802355510435312,631,0.14427683468454067,0.24005937704369598,631
mid,CAFNet,0.12113550009861303,0.16710593128259235,631,0.13198747507903041,0.2183970532257011,631,0.08642366613840465,0.14063553446916247,631,0.14472304837389677,0.24413386817268948,631
mid,CAFNet-D,0.11050270452994496,0.13013081083866013,631,0.11563624981893539,0.18279365501067987,631,0.08219756999471738,0.13132762209701113,631,0.1537022775799456,0.25511769191417943,631
mid,CAFNet-D w/o association residual,0.11659710454287736,0.14414937474677342,631,0.12475090801831032,0.20220737829668922,631,0.08547279450607502,0.13877233556929303,631,0.1537497358823431,0.24777268956436727,631
mid,CAFNet-D w/o bias/popularity prior,0.11077034262589701,0.1277854045709405,631,0.11544032594845134,0.18373190116832933,631,0.08008452192287374,0.12802774682003917,631,0.14850023685132877,0.245598872637231,631
mid,Global popularity,0.07912871381606401,0.11104631264720372,631,0.09568870977165753,0.18001117705449968,631,0.07385103011093501,0.14011010911331467,631,0.08842204512952063,0.1728218338297928,631
mid,HSTrans100,0.0830631691313686,0.11016324321631035,631,0.07368806086616263,0.13514808538624087,631,0.054094030639197044,0.09256516250722614,631,0.09452309216724679,0.19042482909677366,631
rare,A3Net,0.06580384681935098,0.13222799629822046,506,0.07375119765839686,0.17145340863194816,506,0.036758893280632414,0.07616576396663353,506,0.10636449152569823,0.22933956825159144,506
rare,CAFNet,0.07010294019575561,0.12256506814490473,506,0.0828928042616826,0.17080000226540154,506,0.04137022397891963,0.07765236600076195,506,0.11936294022665347,0.23731955344842282,506
rare,CAFNet-D,0.05848417685193596,0.10368743581989612,506,0.059938467766833856,0.1477959584104527,506,0.03610013175230566,0.07756630768569178,506,0.09172061040992943,0.2120486680350126,506
rare,CAFNet-D w/o association residual,0.05969145150314317,0.10442716683166048,506,0.05995195597892348,0.14283067716355263,506,0.03293807641633728,0.06689612086929708,506,0.09020040315041565,0.21166495149458958,506
rare,CAFNet-D w/o bias/popularity prior,0.05777210420334952,0.10535167773145186,506,0.05704157007879829,0.13957838242108966,506,0.03412384716732542,0.06819559353023605,506,0.08971505610322947,0.2035851187862405,506
rare,Global popularity,0.028477215576140122,0.04086307657514114,506,0.039552928021756945,0.11489287621496025,506,0.02779973649538867,0.06913030912048886,506,0.050472813270493286,0.1407715900774397,506
rare,HSTrans100,0.03501349856445605,0.06506515947215409,506,0.023444338711618124,0.08469355045156476,506,0.017127799736495388,0.03759558882836754,506,0.051650367219594435,0.16125046141876362,506
