drug_index,drug,smiles,murcko_scaffold,split_group,has_murcko_scaffold,n_positive,scaffold_fold
0,levocarnitine,C[N+](C)(C)CC(CC(=O)O)O,,ACYCLIC::C[N+](C)(C)CC(O)CC(=O)O,False,28,5
1,aminolevulinic.acid,C(CC(=O)O)C(=O)CN,,ACYCLIC::NCC(=O)CCC(=O)O,False,19,2
2,calcium.folinate,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,O=c1nc[nH]c2c1NC(CNc1ccccc1)CN2,O=c1nc[nH]c2c1NC(CNc1ccccc1)CN2,True,18,7
3,epoprostenol,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,C=C1CC2CCCC2O1,C=C1CC2CCCC2O1,True,41,3
4,adenosine,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,c1ncc2ncn(C3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,True,18,9
5,alprostadil,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,O=C1CCCC1,O=C1CCCC1,True,5,6
6,betaine,C[N+](C)(C)CC(=O)[O-],,ACYCLIC::C[N+](C)(C)CC(=O)[O-],False,16,8
7,bupropion,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,c1ccccc1,c1ccccc1,True,193,0
8,estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,c1ccc2c(c1)CCC1C2CCC2CCCC21,c1ccc2c(c1)CCC1C2CCC2CCCC21,True,79,9
9,mannitol,C(C(C(C(C(CO)O)O)O)O)O,,ACYCLIC::OCC(O)C(O)C(O)C(O)CO,False,13,5
10,acetylcysteine,CC(=O)NC(CS)C(=O)O,,ACYCLIC::CC(=O)NC(CS)C(=O)O,False,14,1
11,cytarabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,O=c1ncccn1C1CCCO1,O=c1ncccn1C1CCCO1,True,73,1
12,mesna,C(CS(=O)(=O)O)S,,ACYCLIC::O=S(=O)(O)CCS,False,35,3
13,estrone,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,O=C1CCC2C1CCC1c3ccccc3CCC12,O=C1CCC2C1CCC1c3ccccc3CCC12,True,70,8
14,glutamine,C(CC(=O)N)C(C(=O)O)N,,ACYCLIC::NC(=O)CCC(N)C(=O)O,False,63,9
15,sodium.bicarbonate,C(=O)(O)O,,ACYCLIC::O=C(O)O,False,6,1
16,nicotine,CN1CCCC1C2=CN=CC=C2,c1cncc(C2CCCN2)c1,c1cncc(C2CCCN2)c1,True,16,2
17,sodium.phosphate,OP(=O)(O)[O-],,ACYCLIC::O=P([O-])(O)O,False,6,2
18,quinidine,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,True,20,3
19,sapropterin,CC(C(C1CNC2=C(N1)C(=O)N=C(N2)N)O)O,O=c1nc[nH]c2c1NCCN2,O=c1nc[nH]c2c1NCCN2,True,8,8
20,telbivudine,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,O=c1ccn(C2CCCO2)c(=O)[nH]1,O=c1ccn(C2CCCO2)c(=O)[nH]1,True,37,8
