fold,test_drugs,train_drugs,test_groups,train_groups,group_overlap,test_positive_pairs,train_positive_pairs,test_mean_positive_per_drug,test_murcko_drugs,test_acyclic_or_empty_scaffold_drugs
0,75,675,33,545,0,3961,33110,52.81333333333333,75,0
1,75,675,60,518,0,3670,33401,48.93333333333333,71,4
2,75,675,60,518,0,4461,32610,59.48,70,5
3,75,675,60,518,0,2903,34168,38.70666666666666,71,4
4,75,675,60,518,0,3573,33498,47.64,71,4
5,75,675,61,517,0,3410,33661,45.46666666666667,70,5
6,75,675,61,517,0,3383,33688,45.10666666666667,70,5
7,75,675,61,517,0,4118,32953,54.906666666666666,71,4
8,75,675,61,517,0,3360,33711,44.8,69,6
9,75,675,61,517,0,4232,32839,56.42666666666667,69,6
