model,fold,pearson,rMSE,spearman,MAE,auc_all,aupr_all,drugAUC,drugAUPR,MAP,nDCG,P1,P5,P10,P15,R1,R5,R10,R15
CAFNet,0,0.3791118125627782,1.9087687252502672,0.3937742929535424,1.588629,0.7582363369175089,0.2259353065442684,0.8154581289033276,0.3281526652675782,0.3277622571414647,0.7351640500239085,0.5466666666666666,0.5013333333333333,0.4640000000000001,0.431111111111111,0.0210814882920063,0.0932396846979111,0.1549438357133145,0.20472475473599
CAFNet,1,0.3607855572032271,2.024331620668168,0.3727695090399249,1.6649401,0.7718609166354001,0.2426293234735855,0.8248811589130556,0.327208440291498,0.326272380785474,0.7216952339857299,0.5866666666666667,0.488,0.4653333333333332,0.4417777777777779,0.0213034131782067,0.07734312502496,0.150268077934981,0.2029443515263604
CAFNet,2,0.365642644001923,1.7948877374933112,0.3675189951208868,1.4166112,0.7806726576853105,0.2860197766534439,0.834054057620977,0.3382664325825105,0.3381065641107079,0.7103312525988237,0.52,0.4800000000000002,0.4626666666666667,0.4515555555555555,0.0227392063987772,0.0880936062264335,0.1644171099776554,0.228490483781665
CAFNet,3,0.3580911391705847,1.743449348591325,0.3692918881251794,1.378709,0.8154330498946348,0.2500961053945663,0.8613144171241485,0.3322610937164034,0.3321682118478904,0.6770658865516794,0.4133333333333333,0.4746666666666668,0.4506666666666665,0.4168888888888887,0.01625854640589,0.0981951333907472,0.1789912189479262,0.2476457566238848
CAFNet,4,0.4742582044113918,1.586799575197102,0.4884474784527774,1.2392782,0.7789982312399533,0.2325885284167096,0.8503015947223167,0.316511719091984,0.3164424856834274,0.6622154530510305,0.3866666666666666,0.4213333333333333,0.4066666666666665,0.4062222222222221,0.0166597933473672,0.0760703720061653,0.1464077900881356,0.2202964060995482
CAFNet,5,0.3232250513080282,1.7366308714288865,0.3246429010793865,1.3505416,0.8119993577572454,0.2395315393798947,0.8562575024168645,0.341197761304365,0.3406885356852189,0.7502796164130571,0.5333333333333333,0.5146666666666665,0.4733333333333333,0.4497777777777778,0.0184683754081262,0.0926691377660612,0.1660801393278972,0.2345082047745569
CAFNet,6,0.263015805581296,1.987923520626144,0.2739320649607836,1.5966641,0.7910542260324259,0.2427458528435258,0.8465090618318396,0.3377265551781181,0.3374910787879484,0.695948605615354,0.52,0.4853333333333333,0.4800000000000001,0.4586666666666666,0.0212514273902068,0.0923151398185712,0.1666195617006736,0.231059685822828
CAFNet,7,0.3492620311187527,1.8111781199891053,0.3829426983548479,1.4874113,0.7984799101621431,0.2414026259970862,0.84734755823513,0.3206461813364851,0.320463005918403,0.6771075357218409,0.4133333333333333,0.4639999999999998,0.4626666666666667,0.4239999999999997,0.0141461744051355,0.0764171199350503,0.1618345418279349,0.2041955643855863
CAFNet,8,0.4145575873880756,1.7346213225982494,0.4192658427021179,1.3791546,0.799949370480739,0.251719598433134,0.8484804177870119,0.3387984466955427,0.338185585346919,0.7358719510682704,0.56,0.5439999999999999,0.4999999999999999,0.4719999999999997,0.0199810917648466,0.0916845252771324,0.1622040174626134,0.2282248494124326
CAFNet,9,0.3974013569230378,1.9182077169621667,0.4136000849052677,1.5776101,0.7695342821089675,0.2486014529087308,0.8404025219611819,0.3634720016036941,0.3631543232763617,0.7417233471036487,0.5333333333333333,0.5279999999999999,0.4946666666666667,0.4755555555555556,0.0179404002152317,0.0938583657419613,0.1768974727221901,0.2391813306039769
A3Net,0,0.3874588994769375,1.846389820380553,0.4065179768961559,1.5097861,0.754689717613896,0.2138739414654137,0.8156327045225517,0.30353326107711,0.3033515387880148,0.6528067083764372,0.5066666666666667,0.448,0.3826666666666667,0.3937777777777776,0.0162050389788597,0.071250694665896,0.1127284858805015,0.1711338482080406
A3Net,1,0.3731546828658135,1.803668572589744,0.3856540810183173,1.4561089,0.7940799509167737,0.2451378713406402,0.8274922426224436,0.3252502346903258,0.3251866770092694,0.6951921600511828,0.4666666666666667,0.4826666666666667,0.4946666666666666,0.4506666666666666,0.0144883611815923,0.0744058174329063,0.159347656246499,0.2125437985107937
A3Net,2,0.3954414669317472,1.8455083189192607,0.4130465090406978,1.5141865,0.7634175891951818,0.245344389493554,0.8302598748827734,0.316233997280305,0.3159930824593963,0.6120663182469578,0.4,0.4213333333333333,0.4213333333333333,0.4079999999999998,0.0159309502888043,0.0731546569419745,0.1434238566223295,0.1891919864287243
A3Net,3,0.357289689065591,1.948768701371852,0.3856998339407195,1.5783111,0.7840312251418318,0.2281293535819051,0.8488706736053206,0.3368364141941607,0.3368364141941607,0.7154832403572251,0.4666666666666667,0.496,0.4613333333333334,0.4293333333333332,0.0270151467677289,0.1176269539224763,0.2117064001168576,0.2775374911650339
