model,metric,direction,mean,std
CAFNet,mAP,higher,0.33407344285838153,0.013058523234721764
CAFNet,AUROC,higher,0.7876218338914329,0.0188888731125247
CAFNet,AUPR,higher,0.24612701100449455,0.016072985985100284
CAFNet,nDCG@10,higher,0.7107402932133342,0.03110946273967744
CAFNet,P@1,higher,0.5013333333333334,0.07004760286167308
CAFNet,P@15,higher,0.44275555555555546,0.02310142247058849
CAFNet,R@1,higher,0.01898299168057942,0.0027407557369920443
CAFNet,R@15,higher,0.22412713877668292,0.015664950195360777
CAFNet,Spearman,higher,0.3806185755694715,0.05702214612739931
CAFNet,RMSE,lower,1.8246798558804727,0.13434870612422187
CAFNet,MAE,lower,1.46795492,0.13617786392103204
A3Net,mAP,higher,0.3272313572906951,0.0332369238219726
A3Net,AUROC,higher,0.7836973422031043,0.01488554480736879
A3Net,AUPR,higher,0.23318042758484592,0.01436780058118457
A3Net,nDCG@10,higher,0.6910216571824895,0.07150104811542381
A3Net,P@1,higher,0.48933333333333334,0.09859256476611457
A3Net,P@15,higher,0.4325333333333331,0.04294191055083408
A3Net,R@1,higher,0.01921423735635537,0.006542926387976806
A3Net,R@15,higher,0.22082697058552508,0.03696086962810328
A3Net,Spearman,higher,0.3971055853172369,0.06412440501731864
A3Net,RMSE,lower,1.7874848301215045,0.11699771444546886
A3Net,MAE,lower,1.44292942,0.10494635527570793
