model,metric,bootstrap_n,estimate_mean,ci95_low,ci95_high
CAFNet,AUROC,2000,0.5457088268463103,0.49488666540847037,0.6051164178646538
CAFNet,AUPR,2000,0.5426866132818382,0.49971626942227765,0.6035636790947209
CAFNet,tie_aware_concordance,2000,0.6058028013250852,0.5220986085904417,0.693657548125633
CAFNet-D,AUROC,2000,0.5366244328167082,0.5093807067732313,0.5646354949513579
CAFNet-D,AUPR,2000,0.5637644477079927,0.535688511800715,0.5949618094427427
CAFNet-D,tie_aware_concordance,2000,0.6201060128542213,0.5529334365325078,0.6813205980066446
CAFNet-DG,AUROC,2000,0.5413782210248648,0.5104548212985952,0.5779175840413139
CAFNet-DG,AUPR,2000,0.5587859269080313,0.526749373196963,0.598754010173145
CAFNet-DG,tie_aware_concordance,2000,0.6009555028307705,0.5260829307568438,0.6656510416666666
Global popularity,AUROC,2000,0.516981869481382,0.5095213041142987,0.5272814215167548
Global popularity,AUPR,2000,0.5661785287552236,0.5442056500402725,0.591148696469875
Global popularity,tie_aware_concordance,2000,0.6242796224607621,0.5863636363636363,0.6552111037234042
