ingredient_id,effect_meddra_id,rxnorm_id,rxnorm_name,drug_index,meddra_id,meddra_name,side_index,drug_name_benchmark,side_effect_benchmark,mapping_rule,known_in_sider_matrix
35302,10000496,35302,sirolimus,327,10000496,Acne,11,sirolimus,acne,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
35302,10037844,35302,sirolimus,327,10037844,Rash,778,sirolimus,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
140587,10037844,140587,celecoxib,95,10037844,Rash,778,celecoxib,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10037844,5487,hydrochlorothiazide,195,10037844,Rash,778,hydrochlorothiazide,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
194000,10037844,194000,capecitabine,487,10037844,Rash,778,capecitabine,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6375,10037844,6375,levodopa,527,10037844,Rash,778,levodopa,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
73689,10037844,73689,febuxostat,559,10037844,Rash,778,febuxostat,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
114477,10037844,114477,levetiracetam,462,10037844,Rash,778,levetiracetam,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
89013,10037844,89013,aripiprazole,475,10037844,Rash,778,aripiprazole,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
39998,10037844,39998,zonisamide,402,10037844,Rash,778,zonisamide,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
17767,10037844,17767,amlodipine,45,10037844,Rash,778,amlodipine,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
300195,10037844,300195,tenofovir disoproxil,538,10037844,Rash,778,tenofovir disoproxil,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
276237,10037844,276237,emtricitabine,485,10037844,Rash,778,emtricitabine,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
190521,10037844,190521,abacavir,28,10037844,Rash,778,abacavir,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
337525,10037844,337525,erlotinib,585,10037844,Rash,778,erlotinib,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6809,10037844,6809,metformin,244,10037844,Rash,778,metformin,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
68244,10037844,68244,lamivudine,220,10037844,Rash,778,lamivudine,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
22299,10037844,22299,daptomycin,700,10037844,Rash,778,daptomycin,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
519,10037844,519,allopurinol,37,10037844,Rash,778,allopurinol,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
140587,10028813,140587,celecoxib,95,10028813,Nausea,621,celecoxib,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
5487,10028813,5487,hydrochlorothiazide,195,10028813,Nausea,621,hydrochlorothiazide,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
194000,10028813,194000,capecitabine,487,10028813,Nausea,621,capecitabine,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6375,10028813,6375,levodopa,527,10028813,Nausea,621,levodopa,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
89013,10028813,89013,aripiprazole,475,10028813,Nausea,621,aripiprazole,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
39998,10028813,39998,zonisamide,402,10028813,Nausea,621,zonisamide,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
25255,10028813,25255,formoterol,175,10028813,Nausea,621,formoterol,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
134748,10028813,134748,rasagiline,542,10028813,Nausea,621,rasagiline,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
190521,10028813,190521,abacavir,28,10028813,Nausea,621,abacavir,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
4337,10028813,4337,fentanyl,160,10028813,Nausea,621,fentanyl,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
6809,10028813,6809,metformin,244,10028813,Nausea,621,metformin,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,True
