ingredient_id,effect_meddra_id,rxnorm_id,rxnorm_name,drug_index,meddra_id,meddra_name,side_index,drug_name_benchmark,side_effect_benchmark,mapping_rule,known_in_sider_matrix
140587,10037844,140587,celecoxib,95,10037844,Rash,778,celecoxib,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
6375,10037844,6375,levodopa,527,10037844,Rash,778,levodopa,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
114477,10037844,114477,levetiracetam,462,10037844,Rash,778,levetiracetam,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
17767,10037844,17767,amlodipine,45,10037844,Rash,778,amlodipine,rash,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10028813,5487,hydrochlorothiazide,195,10028813,Nausea,621,hydrochlorothiazide,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
25255,10028813,25255,formoterol,175,10028813,Nausea,621,formoterol,nausea,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10003239,5487,hydrochlorothiazide,195,10003239,Arthralgia,74,hydrochlorothiazide,arthralgia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
17767,10003239,17767,amlodipine,45,10003239,Arthralgia,74,amlodipine,arthralgia,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10033645,5487,hydrochlorothiazide,195,10033645,Pancreatitis,689,hydrochlorothiazide,pancreatitis,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10001507,5487,hydrochlorothiazide,195,10001507,Agranulocytosis,22,hydrochlorothiazide,agranulocytosis,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10015218,5487,hydrochlorothiazide,195,10015218,Erythema multiforme,307,hydrochlorothiazide,erythema multiforme,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10020751,5487,hydrochlorothiazide,195,10020751,Hypersensitivity,443,hydrochlorothiazide,hypersensitivity,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
114477,10020751,114477,levetiracetam,462,10020751,Hypersensitivity,443,levetiracetam,hypersensitivity,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
25255,10020751,25255,formoterol,175,10020751,Hypersensitivity,443,formoterol,hypersensitivity,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
17767,10020751,17767,amlodipine,45,10020751,Hypersensitivity,443,amlodipine,hypersensitivity,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
41126,10020751,41126,fluticasone,490,10020751,Hypersensitivity,443,fluticasone,hypersensitivity,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
19831,10020751,19831,budesonide,73,10020751,Hypersensitivity,443,budesonide,hypersensitivity,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
6809,10020751,6809,metformin,244,10020751,Hypersensitivity,443,metformin,hypersensitivity,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
33738,10020751,33738,pioglitazone,310,10020751,Hypersensitivity,443,pioglitazone,hypersensitivity,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
519,10020751,519,allopurinol,37,10020751,Hypersensitivity,443,allopurinol,hypersensitivity,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
10379,10020751,10379,testosterone,361,10020751,Hypersensitivity,443,testosterone,hypersensitivity,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10015150,5487,hydrochlorothiazide,195,10015150,Erythema,306,hydrochlorothiazide,erythema,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
17767,10011224,17767,amlodipine,45,10011224,Cough,215,amlodipine,cough,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
5487,10012601,5487,hydrochlorothiazide,195,10012601,Diabetes mellitus,242,hydrochlorothiazide,diabetes mellitus,exact normalized RxNorm ingredient and exact normalized MedDRA PT,False
