model,drug_index,n_rows,strict_positive_outranks_control,tie_rate,tie_aware_concordance,mean_score_difference
CAFNet,27,5,0.4,0.0,0.4,-0.3314109802246093
CAFNet,37,5,0.0,0.0,0.0,-0.6977956295013428
CAFNet,45,80,0.4375,0.0,0.4375,-0.12457222677767277
CAFNet,73,20,0.9,0.0,0.9,1.2087893679738044
CAFNet,95,5,0.4,0.0,0.4,-0.35263667106628416
CAFNet,175,10,0.9,0.0,0.9,0.36233937740325933
CAFNet,195,115,0.6347826086956522,0.0,0.6347826086956522,0.28935406473667724
CAFNet,220,15,0.4666666666666667,0.0,0.4666666666666667,-0.38064685960610706
CAFNet,244,15,0.4666666666666667,0.0,0.4666666666666667,-0.2505609482526779
CAFNet,245,5,0.0,0.0,0.0,-0.633817958831788
CAFNet,310,5,0.6,0.0,0.6,0.2757755160331727
CAFNet,319,10,1.0,0.0,1.0,1.4000745534896855
CAFNet,361,5,0.8,0.0,0.8,0.33235654830932615
CAFNet,462,15,0.2,0.0,0.2,-0.5245429356892902
CAFNet,475,20,0.7,0.0,0.7,0.28534576892852775
CAFNet,485,10,1.0,0.0,1.0,1.522402723133564
CAFNet,487,5,1.0,0.0,1.0,1.581581997871399
CAFNet,490,10,0.7,0.0,0.7,0.47799899578094485
CAFNet,498,10,0.3,0.0,0.3,-0.44203768968582136
CAFNet,527,45,0.5777777777777777,0.0,0.5777777777777777,-0.02946294943491628
CAFNet,529,5,1.0,0.0,1.0,0.541661262512207
CAFNet,531,5,0.8,0.0,0.8,0.5865414857864379
CAFNet,538,5,1.0,0.0,1.0,2.4421195041388275
CAFNet,542,15,0.7333333333333333,0.0,0.7333333333333333,0.38373294671376545
CAFNet,558,5,1.0,0.0,1.0,0.3613417148590086
CAFNet,585,5,0.6,0.0,0.6,0.09366629719734192
CAFNet,700,5,0.6,0.0,0.6,0.0018556512892246245
CAFNet-D,27,5,0.8,0.0,0.8,0.367178964614868
CAFNet-D,37,5,0.0,0.0,0.0,-0.3488949626684189
CAFNet-D,45,80,0.5875,0.0,0.5875,0.28841627631336453
CAFNet-D,73,20,0.55,0.0,0.55,0.11123191490769387
CAFNet-D,95,5,0.8,0.0,0.8,0.08703050613403356
CAFNet-D,175,10,0.4,0.0,0.4,-0.13950469195842743
CAFNet-D,195,115,0.6521739130434783,0.0,0.6521739130434783,0.5084538974191831
CAFNet-D,220,15,0.3333333333333333,0.0,0.3333333333333333,-0.032753310600916664
CAFNet-D,244,15,0.7333333333333333,0.0,0.7333333333333333,0.9770297035574913
CAFNet-D,245,5,0.6,0.0,0.6,0.09036502838134775
CAFNet-D,310,5,0.2,0.0,0.2,-0.5028146088123322
CAFNet-D,319,10,1.0,0.0,1.0,1.1251029402017594
CAFNet-D,361,5,0.2,0.0,0.2,-0.4915380984544754
CAFNet-D,462,15,0.4,0.0,0.4,-0.033772333463032954
CAFNet-D,475,20,0.7,0.0,0.7,0.11111915335059167
CAFNet-D,485,10,0.6,0.0,0.6,0.3450742462649942
CAFNet-D,487,5,1.0,0.0,1.0,0.5236783504486084
CAFNet-D,490,10,0.9,0.0,0.9,0.5548103287816047
CAFNet-D,498,10,0.4,0.0,0.4,-0.89153216406703
CAFNet-D,527,45,0.7333333333333333,0.0,0.7333333333333333,0.21525450117058223
CAFNet-D,529,5,1.0,0.0,1.0,0.7557397603988647
CAFNet-D,531,5,0.2,0.0,0.2,-0.2357718229293823
CAFNet-D,538,5,1.0,0.0,1.0,4.221431308984757
CAFNet-D,542,15,0.6,0.0,0.6,-0.06734597881635018
CAFNet-D,558,5,0.0,0.0,0.0,-2.3104623317718507
CAFNet-D,585,5,1.0,0.0,1.0,1.162952971458435
CAFNet-D,700,5,1.0,0.0,1.0,2.0757765054702757
CAFNet-DG,27,5,0.6,0.0,0.6,0.0877429866790771
CAFNet-DG,37,5,0.0,0.0,0.0,-0.4884552294015885
CAFNet-DG,45,80,0.55,0.0,0.55,0.12322087507694963
CAFNet-DG,73,20,0.75,0.0,0.75,0.550254896134138
CAFNet-DG,95,5,0.4,0.0,0.4,-0.08883636474609329
CAFNet-DG,175,10,0.5,0.0,0.5,0.06123293578624711
CAFNet-DG,195,115,0.6434782608695652,0.0,0.6434782608695652,0.42081396434618074
CAFNet-DG,220,15,0.4,0.0,0.4,-0.17191073020299277
CAFNet-DG,244,15,0.6,0.0,0.6,0.48599344283342366
CAFNet-DG,245,5,0.2,0.0,0.2,-0.1993081665039064
CAFNet-DG,310,5,0.6,0.0,0.6,-0.1913785588741305
CAFNet-DG,319,10,1.0,0.0,1.0,1.23509158551693
CAFNet-DG,361,5,0.2,0.0,0.2,-0.1619802397489547
CAFNet-DG,462,15,0.26666666666666666,0.0,0.26666666666666666,-0.2300805743535358
CAFNet-DG,475,20,0.8,0.0,0.8,0.18080979958176607
CAFNet-DG,485,10,0.9,0.0,0.9,0.8160056370124223
CAFNet-DG,487,5,1.0,0.0,1.0,0.9468398094177243
CAFNet-DG,490,10,0.8,0.0,0.8,0.5240857955813407
CAFNet-DG,498,10,0.0,0.0,0.0,-0.7117343743145466
CAFNet-DG,527,45,0.6,0.0,0.6,0.11736752092838292
CAFNet-DG,529,5,1.0,0.0,1.0,0.6701083612442018
CAFNet-DG,531,5,0.6,0.0,0.6,0.09315350055694593
CAFNet-DG,538,5,1.0,0.0,1.0,3.5097065870463853
CAFNet-DG,542,15,0.6,0.0,0.6,0.11308559139569588
CAFNet-DG,558,5,0.0,0.0,0.0,-1.2417407131195068
CAFNet-DG,585,5,1.0,0.0,1.0,0.7352383017539978
CAFNet-DG,700,5,1.0,0.0,1.0,1.2462081637978553
Global popularity,27,5,0.8,0.0,0.8,7.4
Global popularity,37,5,0.2,0.4,0.4,-0.4
Global popularity,45,80,0.575,0.15,0.65,14.9625
Global popularity,73,20,0.25,0.5,0.5,0.15
Global popularity,95,5,0.6,0.0,0.6,26.0
Global popularity,175,10,0.8,0.0,0.8,50.0
Global popularity,195,115,0.48695652173913045,0.28695652173913044,0.6304347826086957,17.704347826086956
Global popularity,220,15,0.4,0.4,0.6,0.2
Global popularity,244,15,0.4666666666666667,0.3333333333333333,0.6333333333333333,1.2666666666666666
Global popularity,245,5,0.8,0.0,0.8,51.6
Global popularity,310,5,0.4,0.0,0.4,0.2
Global popularity,319,10,0.7,0.1,0.75,0.6
Global popularity,361,5,0.6,0.0,0.6,1.2
Global popularity,462,15,0.5333333333333333,0.06666666666666667,0.5666666666666667,9.4
Global popularity,475,20,0.4,0.3,0.55,0.65
Global popularity,485,10,0.0,1.0,0.5,0.0
Global popularity,487,5,0.6,0.0,0.6,0.6
Global popularity,490,10,0.4,0.1,0.45,0.1
Global popularity,498,10,0.2,0.5,0.45,-0.5
Global popularity,527,45,0.6,0.1111111111111111,0.6555555555555556,16.133333333333333
Global popularity,529,5,1.0,0.0,1.0,164.0
Global popularity,531,5,1.0,0.0,1.0,2.8
Global popularity,538,5,0.0,1.0,0.5,0.0
Global popularity,542,15,0.6,0.4,0.8,79.13333333333334
Global popularity,558,5,0.0,1.0,0.5,0.0
Global popularity,585,5,0.0,1.0,0.5,0.0
Global popularity,700,5,0.0,1.0,0.5,0.0
