condition,model,n_positive_control_rows,n_unique_regulatory_signals,n_drugs,AUROC,AUPR,strict_positive_outranks_control,tie_rate,tie_aware_concordance,mean_score_difference
all,CAFNet,455,91,27,0.5428812945296462,0.5327588996971914,0.6021978021978022,0.0,0.6021978021978022,0.20769344100339723
all,CAFNet-D,455,91,27,0.53541842772612,0.557514381088015,0.621978021978022,0.0,0.621978021978022,0.31920705469181904
all,CAFNet-DG,455,91,27,0.5401280038642676,0.5522137168151167,0.6021978021978022,0.0,0.6021978021978022,0.2746016092164504
all,Global popularity,455,91,27,0.5160246347059534,0.5635675220472671,0.4901098901098901,0.2703296703296703,0.6252747252747253,15.59120879120879
rare,CAFNet,20,4,4,0.625,0.7095238095238094,0.75,0.0,0.75,0.4375977128744125
rare,CAFNet-D,20,4,4,0.5625,0.6399428274428275,0.6,0.0,0.6,0.3440416958183049
rare,CAFNet-DG,20,4,4,0.5625,0.6207251799924214,0.55,0.0,0.55,0.38146410264074804
rare,Global popularity,20,4,4,0.5,0.5,0.0,1.0,0.5,0.0
middle,CAFNet,25,5,4,0.856,0.8675716440422323,0.84,0.0,0.84,0.5489298196136951
middle,CAFNet-D,25,5,4,0.8640000000000001,0.8072847203397487,0.92,0.0,0.92,1.5710412937402725
middle,CAFNet-DG,25,5,4,0.8720000000000001,0.8126610644257702,0.92,0.0,0.92,1.1621967040896415
middle,Global popularity,25,5,4,0.5,0.5,0.0,1.0,0.5,0.0
frequent,CAFNet,410,82,25,0.535930993456276,0.5314470221065686,0.5804878048780487,0.0,0.5804878048780487,0.17567150221637837
frequent,CAFNet-D,410,82,25,0.5353955978584176,0.5616329136379277,0.6048780487804878,0.0,0.6048780487804878,0.24166425274367012
frequent,CAFNet-DG,410,82,25,0.5397977394408091,0.5553751781240612,0.5853658536585366,0.0,0.5853658536585366,0.21526715253275344
frequent,Global popularity,410,82,25,0.5197352766210589,0.5705444451987964,0.5439024390243903,0.1902439024390244,0.6390243902439025,17.302439024390242
nonhot100,CAFNet,140,28,15,0.7086734693877552,0.6670164995514196,0.7714285714285715,0.0,0.7714285714285715,0.5667762152983674
nonhot100,CAFNet-D,140,28,15,0.6191326530612244,0.6106461672014522,0.6714285714285714,0.0,0.6714285714285714,0.7029978991220039
nonhot100,CAFNet-DG,140,28,15,0.6456632653061225,0.6265128167852477,0.7142857142857143,0.0,0.7142857142857143,0.6485092255925494
nonhot100,Global popularity,140,28,15,0.5035714285714286,0.5098749226413624,0.16428571428571428,0.7642857142857142,0.5464285714285714,0.1
