drug_index,positive_side_index,control_side_index,fold,positive_prevalence,control_prevalence,positive_prevalence_group,positive_is_top100,control_is_top100
95,778,236,4,350.0,359.0,frequent,True,True
95,778,80,4,350.0,386.0,frequent,True,True
95,778,758,4,350.0,295.0,frequent,True,True
95,778,332,4,350.0,294.0,frequent,True,True
95,778,207,4,350.0,286.0,frequent,True,True
527,778,236,0,361.0,367.0,frequent,True,True
527,778,2,0,361.0,311.0,frequent,True,True
527,778,364,0,361.0,307.0,frequent,True,True
527,778,758,0,361.0,301.0,frequent,True,True
527,778,604,0,361.0,273.0,frequent,True,True
462,778,236,5,353.0,363.0,frequent,True,True
462,778,2,5,353.0,304.0,frequent,True,True
462,778,978,5,353.0,402.0,frequent,True,True
462,778,364,5,353.0,300.0,frequent,True,True
462,778,269,5,353.0,259.0,frequent,True,True
45,778,236,0,361.0,367.0,frequent,True,True
45,778,978,0,361.0,403.0,frequent,True,True
45,778,243,0,361.0,417.0,frequent,True,True
45,778,758,0,361.0,301.0,frequent,True,True
45,778,207,0,361.0,279.0,frequent,True,True
195,621,243,7,501.0,426.0,frequent,True,True
195,621,80,7,501.0,388.0,frequent,True,True
195,621,758,7,501.0,293.0,frequent,True,True
195,621,332,7,501.0,291.0,frequent,True,True
195,621,129,7,501.0,265.0,frequent,True,True
175,621,401,7,501.0,461.0,frequent,True,True
175,621,252,7,501.0,440.0,frequent,True,True
175,621,978,7,501.0,405.0,frequent,True,True
175,621,80,7,501.0,388.0,frequent,True,True
175,621,2,7,501.0,317.0,frequent,True,True
195,74,861,7,206.0,194.0,frequent,True,True
195,74,334,7,206.0,191.0,frequent,True,True
195,74,445,7,206.0,191.0,frequent,True,True
195,74,225,7,206.0,225.0,frequent,True,True
195,74,35,7,206.0,182.0,frequent,True,True
45,74,225,0,215.0,228.0,frequent,True,True
45,74,273,0,215.0,235.0,frequent,True,True
45,74,334,0,215.0,195.0,frequent,True,True
45,74,445,0,215.0,193.0,frequent,True,True
45,74,683,0,215.0,239.0,frequent,True,True
195,689,327,7,57.0,57.0,frequent,False,False
195,689,548,7,57.0,57.0,frequent,False,False
