drug_index,positive_side_index,control_side_index,fold,positive_prevalence,control_prevalence,positive_prevalence_group,positive_is_top100,control_is_top100,model,positive_score,control_score
95,778,236,4,350.0,359.0,frequent,True,True,CAFNet,3.0089502334594727,2.9779539108276367
95,778,236,4,350.0,359.0,frequent,True,True,CAFNet-D,1.8180031776428225,1.7776038646697998
95,778,236,4,350.0,359.0,frequent,True,True,CAFNet-DG,2.2943819999694828,2.2577438831329344
95,778,236,4,350.0,359.0,frequent,True,True,Global popularity,350.0,359.0
95,778,80,4,350.0,386.0,frequent,True,True,CAFNet,3.0089502334594727,3.613999128341675
95,778,80,4,350.0,386.0,frequent,True,True,CAFNet-D,1.8180031776428225,1.9416606426239007
95,778,80,4,350.0,386.0,frequent,True,True,CAFNet-DG,2.2943819999694828,2.6105960369110104
95,778,80,4,350.0,386.0,frequent,True,True,Global popularity,350.0,386.0
95,778,758,4,350.0,295.0,frequent,True,True,CAFNet,3.0089502334594727,2.8737945556640625
95,778,758,4,350.0,295.0,frequent,True,True,CAFNet-D,1.8180031776428225,1.6497777700424194
95,778,758,4,350.0,295.0,frequent,True,True,CAFNet-DG,2.2943819999694828,2.1393844842910767
95,778,758,4,350.0,295.0,frequent,True,True,Global popularity,350.0,295.0
95,778,332,4,350.0,294.0,frequent,True,True,CAFNet,3.0089502334594727,3.6896588802337646
95,778,332,4,350.0,294.0,frequent,True,True,CAFNet-D,1.8180031776428225,1.728387475013733
95,778,332,4,350.0,294.0,frequent,True,True,CAFNet-DG,2.2943819999694828,2.5128960371017457
95,778,332,4,350.0,294.0,frequent,True,True,Global popularity,350.0,294.0
95,778,207,4,350.0,286.0,frequent,True,True,CAFNet,3.0089502334594727,3.6525280475616455
95,778,207,4,350.0,286.0,frequent,True,True,CAFNet-D,1.8180031776428225,1.5574336051940918
95,778,207,4,350.0,286.0,frequent,True,True,CAFNet-DG,2.2943819999694828,2.395471382141113
95,778,207,4,350.0,286.0,frequent,True,True,Global popularity,350.0,286.0
527,778,236,0,361.0,367.0,frequent,True,True,CAFNet,2.36492133140564,2.3765740394592285
527,778,236,0,361.0,367.0,frequent,True,True,CAFNet-D,1.897820234298706,1.9172998666763303
527,778,236,0,361.0,367.0,frequent,True,True,CAFNet-DG,2.08466067314148,2.1010095357894896
527,778,236,0,361.0,367.0,frequent,True,True,Global popularity,361.0,367.0
527,778,2,0,361.0,311.0,frequent,True,True,CAFNet,2.36492133140564,2.7831828594207764
527,778,2,0,361.0,311.0,frequent,True,True,CAFNet-D,1.897820234298706,1.7232813835144043
527,778,2,0,361.0,311.0,frequent,True,True,CAFNet-DG,2.08466067314148,2.147241973876953
527,778,2,0,361.0,311.0,frequent,True,True,Global popularity,361.0,311.0
527,778,364,0,361.0,307.0,frequent,True,True,CAFNet,2.36492133140564,2.788268566131592
527,778,364,0,361.0,307.0,frequent,True,True,CAFNet-D,1.897820234298706,1.7357670068740845
527,778,364,0,361.0,307.0,frequent,True,True,CAFNet-DG,2.08466067314148,2.156767630577088
527,778,364,0,361.0,307.0,frequent,True,True,Global popularity,361.0,307.0
527,778,758,0,361.0,301.0,frequent,True,True,CAFNet,2.36492133140564,2.6702613830566406
527,778,758,0,361.0,301.0,frequent,True,True,CAFNet-D,1.897820234298706,1.5408228635787964
527,778,758,0,361.0,301.0,frequent,True,True,CAFNet-DG,2.08466067314148,1.9925982713699344
527,778,758,0,361.0,301.0,frequent,True,True,Global popularity,361.0,301.0
527,778,604,0,361.0,273.0,frequent,True,True,CAFNet,2.36492133140564,3.186107635498047
527,778,604,0,361.0,273.0,frequent,True,True,CAFNet-D,1.897820234298706,1.3080229759216309
527,778,604,0,361.0,273.0,frequent,True,True,CAFNet-DG,2.08466067314148,2.059256839752197
527,778,604,0,361.0,273.0,frequent,True,True,Global popularity,361.0,273.0
462,778,236,5,353.0,363.0,frequent,True,True,CAFNet,3.3033652305603027,3.303302764892578
462,778,236,5,353.0,363.0,frequent,True,True,CAFNet-D,2.7079668045043945,2.7401375770568848
462,778,236,5,353.0,363.0,frequent,True,True,CAFNet-DG,2.946126174926758,2.965403652191162
462,778,236,5,353.0,363.0,frequent,True,True,Global popularity,353.0,363.0
462,778,2,5,353.0,304.0,frequent,True,True,CAFNet,3.3033652305603027,3.763727903366089
462,778,2,5,353.0,304.0,frequent,True,True,CAFNet-D,2.7079668045043945,2.4994304180145264
462,778,2,5,353.0,304.0,frequent,True,True,CAFNet-DG,2.946126174926758,3.005149412155151
462,778,2,5,353.0,304.0,frequent,True,True,Global popularity,353.0,304.0
462,778,978,5,353.0,402.0,frequent,True,True,CAFNet,3.3033652305603027,3.764112710952759
462,778,978,5,353.0,402.0,frequent,True,True,CAFNet-D,2.7079668045043945,3.1882224082946777
462,778,978,5,353.0,402.0,frequent,True,True,CAFNet-DG,2.946126174926758,3.41857852935791
462,778,978,5,353.0,402.0,frequent,True,True,Global popularity,353.0,402.0
462,778,364,5,353.0,300.0,frequent,True,True,CAFNet,3.3033652305603027,3.763725280761719
462,778,364,5,353.0,300.0,frequent,True,True,CAFNet-D,2.7079668045043945,2.4684112071990967
462,778,364,5,353.0,300.0,frequent,True,True,CAFNet-DG,2.946126174926758,2.986536836624146
462,778,364,5,353.0,300.0,frequent,True,True,Global popularity,353.0,300.0
462,778,269,5,353.0,259.0,frequent,True,True,CAFNet,3.3033652305603027,3.759191036224365
462,778,269,5,353.0,259.0,frequent,True,True,CAFNet-D,2.7079668045043945,2.240209579467773
462,778,269,5,353.0,259.0,frequent,True,True,CAFNet-DG,2.946126174926758,2.84780216217041
462,778,269,5,353.0,259.0,frequent,True,True,Global popularity,353.0,259.0
45,778,236,0,361.0,367.0,frequent,True,True,CAFNet,3.6767499446868896,3.6828668117523193
45,778,236,0,361.0,367.0,frequent,True,True,CAFNet-D,1.1522576808929443,1.1747314929962158
45,778,236,0,361.0,367.0,frequent,True,True,CAFNet-DG,2.1620545864105227,2.1779856204986574
45,778,236,0,361.0,367.0,frequent,True,True,Global popularity,361.0,367.0
45,778,978,0,361.0,403.0,frequent,True,True,CAFNet,3.6767499446868896,3.890709161758423
45,778,978,0,361.0,403.0,frequent,True,True,CAFNet-D,1.1522576808929443,1.4023277759552002
45,778,978,0,361.0,403.0,frequent,True,True,CAFNet-DG,2.1620545864105227,2.397680330276489
45,778,978,0,361.0,403.0,frequent,True,True,Global popularity,361.0,403.0
45,778,243,0,361.0,417.0,frequent,True,True,CAFNet,3.6767499446868896,4.014337062835693
45,778,243,0,361.0,417.0,frequent,True,True,CAFNet-D,1.1522576808929443,1.2856601476669312
45,778,243,0,361.0,417.0,frequent,True,True,CAFNet-DG,2.1620545864105227,2.377130913734436
45,778,243,0,361.0,417.0,frequent,True,True,Global popularity,361.0,417.0
