scenario,fold,n,qwk,within_one_accuracy,exact_accuracy,macro_recall,rmse_unclipped,mae_unclipped,spearman_unclipped,recall_class_1,mae_class_1,n_class_1,recall_class_2,mae_class_2,n_class_2,recall_class_3,mae_class_3,n_class_3,recall_class_4,mae_class_4,n_class_4,recall_class_5,mae_class_5,n_class_5
cold,0,2889,0.39554460083586873,0.8303911388023537,0.470404984423676,0.3268473414518145,1.219284948814893,0.8512609503433423,0.480750373205921,0.3150684931506849,1.2764329779638004,73,0.26973684210526316,1.0692625210473412,152,0.22406639004149378,1.1538379299525239,723,0.6937860345932095,0.6128033174298498,1561,0.13157894736842105,1.0862488765465586,380
cold,1,3457,0.38067616651685776,0.8602834827885449,0.47411050043390224,0.3238432280411985,1.1035549425614382,0.7715561950968841,0.48445685606829875,0.20454545454545456,1.8605740889906883,176,0.2888198757763975,1.0099121920810723,322,0.31770334928229665,0.796778460438742,1045,0.7653263019116677,0.477510301942643,1517,0.042821158690176324,1.1526457978135694,397
cold,2,4941,0.30086808892714256,0.8018619712608783,0.4183363691560413,0.31096424055913224,1.3235482868031578,0.9398865495657444,0.38979233535273505,0.27956989247311825,1.4139409385701662,93,0.2808219178082192,0.9215154609043305,584,0.34824046920821117,0.8777298876616961,1364,0.5861182519280206,0.8405737351329283,2334,0.06007067137809187,1.44027427628689,566
cold,3,3098,0.360431455058412,0.8544222078760491,0.4854744996772111,0.33496718381853147,1.142325900937353,0.7883232159334432,0.4738841053816889,0.20588235294117646,1.8730823000272114,102,0.33980582524271846,0.7385295625643437,309,0.3914285714285714,0.7769269277368273,700,0.6722741433021807,0.604738722486288,1605,0.06544502617801047,1.331180090367482,382
cold,4,2835,0.35002877085887274,0.8663139329805997,0.4818342151675485,0.3047371351169395,1.11245639084792,0.7805998026799063,0.4148867299042298,0.13725490196078433,1.8146567718655455,153,0.21468926553672316,1.1630058625323625,177,0.297244094488189,0.8528161074702195,508,0.689987163029525,0.5612745173323292,1558,0.1845102505694761,0.960841995980039,439
cold,5,4453,0.39226534671896307,0.7920503031664047,0.4318437008758141,0.281382958100726,1.3025032199366964,0.9404230483751364,0.49065574534018347,0.24352331606217617,1.6301156307131515,193,0.18410041841004185,1.0562357957393056,478,0.22723543888433143,1.167527756503217,1219,0.7054924242424242,0.6708780134830511,2112,0.04656319290465632,1.1709536755428611,451
cold,6,4083,0.42259710583257826,0.8670095518001469,0.4452608376193975,0.3051704617540519,1.0804438265869754,0.7936779757851687,0.4858371896057777,0.1095890410958904,2.0245403541277533,73,0.29473684210526313,0.9355991420889259,665,0.3809106830122592,0.7595775832019211,1142,0.6340782122905028,0.6048828601837158,1790,0.10653753026634383,1.2601558838860463,413
cold,7,4023,0.43399334251915767,0.8814317673378076,0.4792443450161571,0.35395844409536326,1.0151418431492354,0.7322863627807613,0.5004979781892882,0.3875,1.320973089337349,80,0.25251076040172166,0.9452340089778818,697,0.44016393442622953,0.6917562828689325,1220,0.6710301650540694,0.5710991996218009,1757,0.01858736059479554,1.2420748224045708,269
cold,8,3088,0.38779408491030876,0.8296632124352331,0.4566062176165803,0.29449929534513297,1.1706986571528686,0.8351107169077804,0.478971068462813,0.17435897435897435,1.6802433619132409,195,0.18181818181818182,1.1988348724063398,297,0.2162962962962963,0.9497693344398781,675,0.724002616088947,0.5706550250886078,1529,0.1760204081632653,0.9732006301685255,392
cold,9,4204,0.35051256234945893,0.8280209324452902,0.4303044719314938,0.32660099031517603,1.1801352542390495,0.861257009853305,0.4402396150186391,0.3076923076923077,1.4693537514943342,52,0.27524752475247527,0.9508169537723654,505,0.361794500723589,0.9152168613439359,1382,0.6122337520480612,0.7036275182637538,1831,0.07603686635944701,1.1773820838071234,434
