fold,drug_index,model,macro_AP,nDCG@10,rare_AP,middle_AP,frequent_AP
0,2,CAFNet,0.6506632254235699,0.866947989864271,,,0.6518109393016022
0,2,CAFNet-D,0.500548168787626,0.7065632165480472,,,0.5015365166860862
0,2,CAFNet-DG,0.5887649696851304,0.756902106715231,,,0.5896916056769502
0,2,Group-only,0.4021223830492001,0.5617131059245698,,,0.4029424001670758
0,2,Global gate,0.45644522866748655,0.604685538711841,,,0.4645739145026033
0,2,Drug gate,0.41694609381427206,0.49152618230759804,,,0.4176954466459174
0,2,Drug-stratum gate,0.4938687214505093,0.6122496142821666,,,0.49558574130428196
0,6,CAFNet,0.21952913701059218,0.4537425745411855,,0.009270193670288144,0.2745816733510629
0,6,CAFNet-D,0.16305833749716672,0.31879392588472627,,0.025373220835782834,0.1930089214045722
0,6,CAFNet-DG,0.20817341548240686,0.42492601381667106,,0.025676937441643323,0.24918710618625523
0,6,Group-only,0.23335326444313115,0.4537425745411855,,0.01893910032813994,0.28425650246501827
0,6,Global gate,0.1627725624398444,0.38241471408367794,,0.01467797847108192,0.1980092426857998
0,6,Drug gate,0.1493442464701441,0.30308203017988256,,0.1882051282051282,0.17298418487755854
0,6,Drug-stratum gate,0.23250297836453054,0.4440973278132557,,0.01413878896882494,0.281580638455309
0,22,CAFNet,0.5675506802026319,0.8414929602590189,0.1879817842588501,0.1658398909228422,0.6586275465552971
0,22,CAFNet-D,0.6067662349644718,1.0,0.11637734615675792,0.10979015958625893,0.7136668272928888
0,22,CAFNet-DG,0.6259866226079583,1.0,0.2626872815075062,0.19550702462704692,0.7287609616004838
0,22,Group-only,0.6071166312216691,1.0,0.16633338070377113,0.1140815401836759,0.7194917563961007
0,22,Global gate,0.5922470262482245,1.0,0.12989996467950113,0.08846317516044956,0.7055012241648476
0,22,Drug gate,0.6139841709924769,1.0,0.16145930508502315,0.10199955057939485,0.7149820672874053
0,22,Drug-stratum gate,0.6258153844031329,1.0,0.2770176252319109,0.16072543132540673,0.7222321847649069
0,42,CAFNet,0.087310847678146,0.1388624438735545,0.03018018018018018,0.031502256074843735,0.10669817307959892
0,42,CAFNet-D,0.08891510603116234,0.18844415212771548,0.010048630408892418,0.03596917337924532,0.11024407901533848
0,42,CAFNet-DG,0.09568888364705624,0.2719144540092835,0.012293604441560314,0.038961801825993556,0.11695180326400653
