model,fold,Spearman,RMSE,MAE
CAFNet-D frequency,0,0.4409262490928558,1.1963223419987694,0.8770380963342594
CAFNet-D frequency,1,0.33902814363967054,1.378730328658741,0.9597328631689503
CAFNet-D frequency,2,0.4563690994337798,1.1920852708315628,0.859850945106084
CAFNet-D frequency,3,0.46573921868416684,1.129836676076597,0.8200604445434134
CAFNet-D frequency,4,0.514240696298677,1.0768809242706279,0.7681200999757205
CAFNet-D frequency,5,0.4173905472675109,1.1545176316135164,0.8109061224719296
CAFNet-D frequency,6,0.35954480829816393,1.1810012198038728,0.8447603439742067
CAFNet-D frequency,7,0.4720302874542486,1.1591017405494795,0.8174699924419434
CAFNet-D frequency,8,0.4481861894293813,1.325938667453159,0.9426737495121502
CAFNet-D frequency,9,0.5412315531195613,1.1458308751855668,0.8457790654863887
