model,fold,AP,AUROC,nDCG@10,P@1,P@15,R@15,rare_AP,middle_AP,frequent_AP,nonhot100_AP,global_AUROC,global_AUPR
CAFNet,0,0.32815266526757825,0.8154581289033277,0.4890456910440279,0.5466666666666666,0.43111111111111117,0.20472475473599008,0.054680428075637576,0.09339220524754516,0.3816487636248974,0.10370431503632169,0.7582363369175089,0.22593530654426847
CAFNet,1,0.32720844029149776,0.8248811589130556,0.49175148423120846,0.5866666666666667,0.44177777777777777,0.20294435152636042,0.07063514260336044,0.08578254908241385,0.3764414975803768,0.08766497893230671,0.7718609166354001,0.24262932347358557
CAFNet,2,0.3382664325825105,0.8340540576209771,0.4872865329606039,0.52,0.4515555555555555,0.22849048378166495,0.06729017117923307,0.09570746860326117,0.39295686397084656,0.13892904644397885,0.7806726576853105,0.2860197766534439
CAFNet,3,0.33226109371640344,0.8613144171241487,0.4595220013311494,0.41333333333333333,0.41688888888888886,0.24764575662388477,0.051609531652099305,0.1077860050798403,0.3740508084989376,0.08727828550724952,0.8154330498946348,0.2500961053945663
CAFNet,4,0.316511719091984,0.8503015947223167,0.4140075576963411,0.38666666666666666,0.4062222222222222,0.22029640609954815,0.04765578992665168,0.10993912083257434,0.35692499702723507,0.10900672456371768,0.7789982312399533,0.23258852841670968
CAFNet,5,0.341197761304365,0.8562575024168649,0.4951609539993631,0.5333333333333333,0.4497777777777778,0.23450820477455708,0.07820322021913129,0.0987039509990649,0.38472523707550377,0.11232360153714012,0.8119993577572454,0.2395315393798947
CAFNet,6,0.3377265551781181,0.8465090618318397,0.49268879656003295,0.52,0.45866666666666667,0.23105968582282807,0.07415378968837655,0.09021648256240813,0.3859905970008383,0.10396797798487993,0.7910542260324259,0.24274585284352584
CAFNet,7,0.3206461813364851,0.8473475582351299,0.46192886897252367,0.41333333333333333,0.424,0.20419556438558636,0.08193851223187455,0.11847743135553923,0.366065439433871,0.09940928766687035,0.7984799101621431,0.2414026259970862
CAFNet,8,0.33879844669554265,0.8484804177870122,0.5206395568378882,0.56,0.47199999999999986,0.22822484941243265,0.08424820579054886,0.07827915696397868,0.39005085129601913,0.09999896390887456,0.799949370480739,0.251719598433134
CAFNet,9,0.3634720016036941,0.8404025219611818,0.5170959800839906,0.5333333333333333,0.4755555555555556,0.23918133060397706,0.058055507829402934,0.10693382265119301,0.41909091493634887,0.11057477190092167,0.7695342821089675,0.24860145290873087
